Origin,Problem ID,Duration,Labeling state,User ID ,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22
ID2000,25261945,84.593,Labeled,579501,c,high relevance,high relevance,high relevance,low relevance,low relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID2000,25261945,180.905,Labeled,579796,d,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID2000,25261945,72.242,Labeled,581648,a,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,,,,,,,,,,,,,,
ID1999,25261946,292.634,Labeled,579918,e,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1999,25261946,203.529,Labeled,581304,e,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1999,25261946,226.492,Labeled,579536,e,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1999,25261946,217.128,Labeled,579516,c,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1998,25261947,302.918,Labeled,348391,d,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1998,25261947,175.523,Labeled,579501,a,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1998,25261947,168.096,Labeled,581648,a,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not relevant,,,,,,,,,,,,,
ID1997,25261948,217.483,Labeled,579918,c,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not relevant,low relevance,low relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1997,25261948,118.894,Labeled,580677,b,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1997,25261948,101.389,Labeled,579493,c,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1996,25261949,113.831,Labeled,586785,b,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1996,25261949,62.123,Labeled,579600,d,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1996,25261949,64.334,Labeled,580677,d,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1995,25261950,28.983,Labeled,579470,a,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1995,25261950,75.688,Labeled,580256,d,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1995,25261950,142.543,Labeled,579502,d,high relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1994,25261951,2871.492,Labeled,580262,d,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1994,25261951,123.001,Labeled,586785,e,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1994,25261951,571.455,Labeled,387188,i,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1993,25261952,87.694,Labeled,579494,d,high relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1993,25261952,55.45,Labeled,579470,d,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1993,25261952,45.239,Labeled,586807,c,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1992,25261953,183.59,Labeled,579600,f,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1992,25261953,269.511,Labeled,387188,f,high relevance,high relevance,low relevance,low relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1992,25261953,149.072,Labeled,586785,e,high relevance,low relevance,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1991,25261954,357.886,Labeled,586778,d,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1991,25261954,257.687,Labeled,586802,d,high relevance,high relevance,low relevance,not relevant,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not relevant,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
ID1991,25261954,364.144,Labeled,586785,d,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
