Origin,Problem ID,Duration,Labeling state,User ID ,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,ID,centaur_question,sentence_number,answer,data_source,Match
ID2000,25261945,84.593,Labeled,579501,c,high relevance,high relevance,high relevance,low relevance,low relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID2000,"**Step 1: Read excerpt**

1. A 30-year-old nulliparous female presents to the office with the complaint of mood changes.
2. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses.
3. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic.
4. She has no psychiatric history.
5. Physical examination findings are normal.
6. She and her husband have been trying to conceive for over 2 years.
7. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube.

**Step 2: Answer QA Details**

The most likely diagnosis is

A. adjustment disorder with depressed mood

B. bipolar I disorder, mixed

C. cyclothymic personality

D. generalized anxiety disorder

**Step 3: Determine sentence relevance**

1. A 30-year-old nulliparous female presents to the office with the complaint of mood changes.
2. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses.
3. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic.
4. She has no psychiatric history.
5. Physical examination findings are normal.
6. She and her husband have been trying to conceive for over 2 years.
7. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube.",7,A,mmlu,False
ID2000,25261945,180.905,Labeled,579796,d,low relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID2000,"**Step 1: Read excerpt**

1. A 30-year-old nulliparous female presents to the office with the complaint of mood changes.
2. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses.
3. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic.
4. She has no psychiatric history.
5. Physical examination findings are normal.
6. She and her husband have been trying to conceive for over 2 years.
7. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube.

**Step 2: Answer QA Details**

The most likely diagnosis is

A. adjustment disorder with depressed mood

B. bipolar I disorder, mixed

C. cyclothymic personality

D. generalized anxiety disorder

**Step 3: Determine sentence relevance**

1. A 30-year-old nulliparous female presents to the office with the complaint of mood changes.
2. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses.
3. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic.
4. She has no psychiatric history.
5. Physical examination findings are normal.
6. She and her husband have been trying to conceive for over 2 years.
7. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube.",7,A,mmlu,False
ID2000,25261945,72.242,Labeled,581648,a,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,,,,,,,,,,,,,,,ID2000,"**Step 1: Read excerpt**

1. A 30-year-old nulliparous female presents to the office with the complaint of mood changes.
2. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses.
3. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic.
4. She has no psychiatric history.
5. Physical examination findings are normal.
6. She and her husband have been trying to conceive for over 2 years.
7. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube.

**Step 2: Answer QA Details**

The most likely diagnosis is

A. adjustment disorder with depressed mood

B. bipolar I disorder, mixed

C. cyclothymic personality

D. generalized anxiety disorder

**Step 3: Determine sentence relevance**

1. A 30-year-old nulliparous female presents to the office with the complaint of mood changes.
2. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses.
3. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic.
4. She has no psychiatric history.
5. Physical examination findings are normal.
6. She and her husband have been trying to conceive for over 2 years.
7. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube.",7,A,mmlu,True
ID1999,25261946,292.634,Labeled,579918,e,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID1999,"### Step 1: Read excerpt
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.

### Step 2: Answer QA Details
What is the most likely diagnosis?

A. Premenstrual dysphoric disorder  
B. Persistent depressive disorder  
C. Cyclothymic disorder  
D. Generalized anxiety disorder  
E. Bipolar II disorder  
F. Borderline personality disorder  
G. Adjustment disorder with depressed mood  
H. Bipolar I disorder  
I. Substance-induced mood disorder  
J. Major depressive disorder  

### Step 3: Determine sentence relevance
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.",5,C,medxpert,False
ID1999,25261946,203.529,Labeled,581304,e,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID1999,"### Step 1: Read excerpt
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.

### Step 2: Answer QA Details
What is the most likely diagnosis?

A. Premenstrual dysphoric disorder  
B. Persistent depressive disorder  
C. Cyclothymic disorder  
D. Generalized anxiety disorder  
E. Bipolar II disorder  
F. Borderline personality disorder  
G. Adjustment disorder with depressed mood  
H. Bipolar I disorder  
I. Substance-induced mood disorder  
J. Major depressive disorder  

### Step 3: Determine sentence relevance
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.",5,C,medxpert,False
ID1999,25261946,226.492,Labeled,579536,e,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID1999,"### Step 1: Read excerpt
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.

### Step 2: Answer QA Details
What is the most likely diagnosis?

A. Premenstrual dysphoric disorder  
B. Persistent depressive disorder  
C. Cyclothymic disorder  
D. Generalized anxiety disorder  
E. Bipolar II disorder  
F. Borderline personality disorder  
G. Adjustment disorder with depressed mood  
H. Bipolar I disorder  
I. Substance-induced mood disorder  
J. Major depressive disorder  

### Step 3: Determine sentence relevance
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.",5,C,medxpert,False
ID1999,25261946,217.128,Labeled,579516,c,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID1999,"### Step 1: Read excerpt
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.

### Step 2: Answer QA Details
What is the most likely diagnosis?

A. Premenstrual dysphoric disorder  
B. Persistent depressive disorder  
C. Cyclothymic disorder  
D. Generalized anxiety disorder  
E. Bipolar II disorder  
F. Borderline personality disorder  
G. Adjustment disorder with depressed mood  
H. Bipolar I disorder  
I. Substance-induced mood disorder  
J. Major depressive disorder  

### Step 3: Determine sentence relevance
1. A 28-year-old woman visits her physician with complaints of low energy and irritability lasting for several weeks.
2. She was thrilled after being accepted into a master's program, but after the semester began, she started experiencing feelings of ""worthlessness."" Her history reveals self-reported ""mood swings,"" characterized by several weeks of increased productivity and elevated mood, followed by several weeks of fatigue, guilt, and depressive symptoms.
3. She is not on any medications and consumes 2-3 glasses of wine on weekends.
4. Physical examination findings are normal.
5. Mental status examination shows a tired-appearing woman with difficulty maintaining attention, requiring questions to be repeated.",5,C,medxpert,True
ID1998,25261947,302.918,Labeled,348391,d,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID1998,"### Step 1: Read excerpt
1. A 6-month-old girl is brought to the pediatrician by her father for a scheduled check-up.
2. She was in her usual state of health until 6 weeks ago when she was hospitalized for bacterial pneumonia.
3. She received amoxicillin and had a resolution of her symptoms.
4. Her father reports that she seems “back to normal.” She can roll over by herself and can sit up without support.
5. She often babbles but sometimes does make identifiable sounds like “dada” and “baba.” They recently started feeding her mushy cereal, which she seems to like but occasionally spits up.
6. She has started teething and sometimes becomes “fussy.” Vital signs are within normal limits.
7. A physical examination is unremarkable.
8. The patient’s father brought a 4-week follow-up chest radiograph taken at the hospital, as shown in Figure A.

### Step 2: Answer QA Details
Which of the structures labeled in Figure A would be most likely to change in response to another infectious illness?

A. A  
B. B  
C. C  
D. D  

### Step 3: Determine sentence relevance
1. A 6-month-old girl is brought to the pediatrician by her father for a scheduled check-up.
2. She was in her usual state of health until 6 weeks ago when she was hospitalized for bacterial pneumonia.
3. She received amoxicillin and had a resolution of her symptoms.
4. Her father reports that she seems “back to normal.” She can roll over by herself and can sit up without support.
5. She often babbles but sometimes does make identifiable sounds like “dada” and “baba.” They recently started feeding her mushy cereal, which she seems to like but occasionally spits up.
6. She has started teething and sometimes becomes “fussy.” Vital signs are within normal limits.
7. A physical examination is unremarkable.
8. The patient’s father brought a 4-week follow-up chest radiograph taken at the hospital, as shown in Figure A.",8,A,medbullets,False
ID1998,25261947,175.523,Labeled,579501,a,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,ID1998,"### Step 1: Read excerpt
1. A 6-month-old girl is brought to the pediatrician by her father for a scheduled check-up.
2. She was in her usual state of health until 6 weeks ago when she was hospitalized for bacterial pneumonia.
3. She received amoxicillin and had a resolution of her symptoms.
4. Her father reports that she seems “back to normal.” She can roll over by herself and can sit up without support.
5. She often babbles but sometimes does make identifiable sounds like “dada” and “baba.” They recently started feeding her mushy cereal, which she seems to like but occasionally spits up.
6. She has started teething and sometimes becomes “fussy.” Vital signs are within normal limits.
7. A physical examination is unremarkable.
8. The patient’s father brought a 4-week follow-up chest radiograph taken at the hospital, as shown in Figure A.

### Step 2: Answer QA Details
Which of the structures labeled in Figure A would be most likely to change in response to another infectious illness?

A. A  
B. B  
C. C  
D. D  

### Step 3: Determine sentence relevance
1. A 6-month-old girl is brought to the pediatrician by her father for a scheduled check-up.
2. She was in her usual state of health until 6 weeks ago when she was hospitalized for bacterial pneumonia.
3. She received amoxicillin and had a resolution of her symptoms.
4. Her father reports that she seems “back to normal.” She can roll over by herself and can sit up without support.
5. She often babbles but sometimes does make identifiable sounds like “dada” and “baba.” They recently started feeding her mushy cereal, which she seems to like but occasionally spits up.
6. She has started teething and sometimes becomes “fussy.” Vital signs are within normal limits.
7. A physical examination is unremarkable.
8. The patient’s father brought a 4-week follow-up chest radiograph taken at the hospital, as shown in Figure A.",8,A,medbullets,True
ID1998,25261947,168.096,Labeled,581648,a,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not relevant,,,,,,,,,,,,,,ID1998,"### Step 1: Read excerpt
1. A 6-month-old girl is brought to the pediatrician by her father for a scheduled check-up.
2. She was in her usual state of health until 6 weeks ago when she was hospitalized for bacterial pneumonia.
3. She received amoxicillin and had a resolution of her symptoms.
4. Her father reports that she seems “back to normal.” She can roll over by herself and can sit up without support.
5. She often babbles but sometimes does make identifiable sounds like “dada” and “baba.” They recently started feeding her mushy cereal, which she seems to like but occasionally spits up.
6. She has started teething and sometimes becomes “fussy.” Vital signs are within normal limits.
7. A physical examination is unremarkable.
8. The patient’s father brought a 4-week follow-up chest radiograph taken at the hospital, as shown in Figure A.

### Step 2: Answer QA Details
Which of the structures labeled in Figure A would be most likely to change in response to another infectious illness?

A. A  
B. B  
C. C  
D. D  

### Step 3: Determine sentence relevance
1. A 6-month-old girl is brought to the pediatrician by her father for a scheduled check-up.
2. She was in her usual state of health until 6 weeks ago when she was hospitalized for bacterial pneumonia.
3. She received amoxicillin and had a resolution of her symptoms.
4. Her father reports that she seems “back to normal.” She can roll over by herself and can sit up without support.
5. She often babbles but sometimes does make identifiable sounds like “dada” and “baba.” They recently started feeding her mushy cereal, which she seems to like but occasionally spits up.
6. She has started teething and sometimes becomes “fussy.” Vital signs are within normal limits.
7. A physical examination is unremarkable.
8. The patient’s father brought a 4-week follow-up chest radiograph taken at the hospital, as shown in Figure A.",8,A,medbullets,True
