Model,MMLU_Mean,MMLU_SD,JAMA_Mean,JAMA_SD,MedBullets_Mean,MedBullets_SD,MedXpertQA_Mean,MedXpertQA_SD,Overall_Mean,Overall_SD
Qwen-72B (CC),26.9,22.2,45.5,23.9,49.8,24.8,51.8,30.3,44.9,26.7
Qwen-72B (SR),72.6,21.2,69.0,16.7,68.9,18.7,69.3,21.3,69.6,19.0
Llama-70B (CC),70.7,24.7,62.1,22.6,66.6,23.6,69.3,27.2,65.9,24.5
Llama-70B (SR),57.4,21.3,57.5,16.1,52.1,18.7,53.2,22.2,55.6,19.1
Qwen-14B (CC),56.9,19.6,59.1,20.1,53.9,17.8,51.9,19.9,56.2,19.8
Qwen-14B (SR),53.6,23.9,55.9,18.3,47.7,20.6,50.4,24.0,52.9,21.2
MedGemma-27B (SR),66.1,21.9,63.1,17.4,61.3,19.2,63.3,24.0,63.3,20.2
GPT-4o (SR),50.5,29.4,45.2,29.3,45.2,28.4,52.1,35.4,47.7,30.9
GPT-5 (SR),60.3,17.0,35.7,18.2,50.2,11.3,64.3,12.2,48.7,20.1
Physicians (SR),77.1,18.2,69.2,16.8,72.1,16.0,74.1,19.4,72.0,17.7
