QA_ID,Round 1,data_source,Ground_Truth_Answer
Merge_Q1,A,medxpert,D
Merge_Q2,A,medxpert,C
Merge_Q3,D,medxpert,D
Merge_Q4,D,medxpert,C
Merge_Q5,C,medxpert,B
Merge_Q6,C,medxpert,C
Merge_Q7,C,jama,C
Merge_Q8,B,medxpert,B
Merge_Q9,C,jama,B
Merge_Q10,C,jama,C
Merge_Q11,B,medbullets,B
Merge_Q12,D,medxpert,D
Merge_Q13,D,mmlu,D
Merge_Q14,B,mmlu,B
Merge_Q15,C,medxpert,D
Merge_Q16,C,medbullets,B
Merge_Q17,D,jama,B
Merge_Q18,C,medbullets,A
Merge_Q19,D,jama,D
Merge_Q20,C,medxpert,C
Merge_Q21,C,medxpert,C
Merge_Q22,D,jama,D
Merge_Q23,A,medbullets,D
Merge_Q24,C,medxpert,C
Merge_Q25,B,jama,B
Merge_Q26,NONE,medxpert,B
Merge_Q27,C,medxpert,C
Merge_Q28,C,medxpert,D
Merge_Q29,D,medxpert,B
Merge_Q30,C,medxpert,A
Merge_Q31,B,medxpert,C
Merge_Q32,C,medxpert,C
Merge_Q33,D,jama,D
Merge_Q34,D,jama,D
Merge_Q35,C,medxpert,C
Merge_Q36,D,medxpert,D
Merge_Q37,B,medxpert,C
Merge_Q38,C,medxpert,C
Merge_Q39,D,medxpert,C
Merge_Q40,B,medxpert,B
Merge_Q41,B,jama,B
Merge_Q42,C,medxpert,C
Merge_Q43,C,medxpert,C
Merge_Q44,D,medxpert,D
Merge_Q45,C,medxpert,B
Merge_Q46,C,jama,A
Merge_Q47,NONE,medxpert,A
Merge_Q48,B,jama,C
Merge_Q49,C,medxpert,C
Merge_Q50,D,jama,A
Merge_Q51,C,medxpert,C
Merge_Q52,NONE,medxpert,C
Merge_Q53,D,medxpert,C
Merge_Q54,C,medxpert,C
Merge_Q55,C,medxpert,A
Merge_Q56,D,medxpert,C
Merge_Q57,B,jama,C
Merge_Q58,A,medxpert,B
Merge_Q59,B,jama,B
Merge_Q60,C,medxpert,D
Merge_Q61,NONE,mmlu,A
Merge_Q62,A,jama,A
Merge_Q63,C,medbullets,C
Merge_Q64,C,jama,C
Merge_Q65,C,jama,B
Merge_Q66,C,mmlu,D
Merge_Q67,A,medxpert,C
Merge_Q68,A,mmlu,A
Merge_Q69,B,medxpert,D
Merge_Q70,C,medxpert,C
Merge_Q71,B,medxpert,B
Merge_Q72,B,medxpert,A
Merge_Q73,D,jama,A
Merge_Q74,B,jama,B
Merge_Q75,C,medxpert,C
Merge_Q76,C,medxpert,C
Merge_Q77,C,medxpert,C
Merge_Q78,A,medxpert,A
Merge_Q79,B,medxpert,B
Merge_Q80,C,medxpert,C
Merge_Q81,C,jama,C
Merge_Q82,D,medxpert,D
Merge_Q83,D,medxpert,C
Merge_Q84,B,medxpert,B
Merge_Q85,B,medxpert,C
Merge_Q86,B,jama,B
Merge_Q87,A,medxpert,C
Merge_Q88,C,jama,A
Merge_Q89,C,medxpert,C
Merge_Q90,B,jama,A
Merge_Q91,C,medxpert,A
Merge_Q92,D,medxpert,D
Merge_Q93,D,medxpert,A
Merge_Q94,A,medxpert,C
Merge_Q95,B,medxpert,D
Merge_Q96,A,medxpert,B
Merge_Q97,C,jama,C
Merge_Q98,D,medxpert,D
Merge_Q99,B,jama,B
Merge_Q100,C,medxpert,D
Merge_Q101,B,mmlu,B
Merge_Q102,A,jama,A
Merge_Q103,NONE,jama,A
Merge_Q104,C,medbullets,C
Merge_Q105,A,jama,D
Merge_Q106,C,mmlu,C
Merge_Q107,C,medxpert,C
Merge_Q108,B,mmlu,B
Merge_Q109,C,medxpert,B
Merge_Q110,B,medxpert,B
Merge_Q111,C,medxpert,C
Merge_Q112,B,medxpert,B
Merge_Q113,B,jama,A
Merge_Q114,D,jama,D
Merge_Q115,A,medxpert,C
Merge_Q116,C,medxpert,D
Merge_Q117,C,medxpert,C
Merge_Q118,A,medxpert,C
Merge_Q119,A,medxpert,D
Merge_Q120,A,medxpert,B
Merge_Q121,D,jama,C
Merge_Q122,C,medxpert,A
Merge_Q123,A,medxpert,A
Merge_Q124,D,medxpert,B
Merge_Q125,D,medxpert,B
Merge_Q126,C,jama,C
Merge_Q127,C,medxpert,C
Merge_Q128,B,jama,D
Merge_Q129,C,medxpert,B
Merge_Q130,B,jama,B
Merge_Q131,D,medxpert,D
Merge_Q132,B,medxpert,C
Merge_Q133,B,medxpert,B
Merge_Q134,C,medxpert,C
Merge_Q135,B,medxpert,B
Merge_Q136,B,medxpert,B
Merge_Q137,C,jama,B
Merge_Q138,C,medbullets,C
Merge_Q139,A,jama,C
Merge_Q140,A,medxpert,D
Merge_Q141,A,medxpert,A
Merge_Q142,D,jama,D
Merge_Q143,C,medxpert,C
Merge_Q144,B,medxpert,B
Merge_Q145,C,jama,C
Merge_Q146,B,medxpert,C
Merge_Q147,D,medxpert,D
Merge_Q148,D,medxpert,D
Merge_Q149,B,medxpert,B
Merge_Q150,D,medxpert,C
Merge_Q151,B,medxpert,D
Merge_Q152,B,medxpert,C
Merge_Q153,A,jama,D
Merge_Q154,C,jama,C
Merge_Q155,B,medxpert,D
Merge_Q156,NONE,medxpert,B
Merge_Q157,B,medxpert,D
Merge_Q158,B,medxpert,D
Merge_Q159,B,medxpert,A
Merge_Q160,A,medxpert,D
Merge_Q161,C,jama,C
Merge_Q162,B,medxpert,B
Merge_Q163,C,medxpert,C
Merge_Q164,D,medxpert,C
Merge_Q165,A,medxpert,A
Merge_Q166,B,jama,B
Merge_Q167,C,medxpert,C
Merge_Q168,D,jama,B
Merge_Q169,B,medxpert,C
Merge_Q170,C,jama,C
Merge_Q171,C,medbullets,C
Merge_Q172,C,medxpert,C
Merge_Q173,C,mmlu,A
Merge_Q174,B,mmlu,B
Merge_Q175,A,medxpert,B
Merge_Q176,D,medbullets,D
Merge_Q177,D,jama,D
Merge_Q178,D,medbullets,D
Merge_Q179,C,jama,A
Merge_Q180,C,medxpert,B
Merge_Q181,B,medxpert,A
Merge_Q182,A,jama,B
Merge_Q183,A,medxpert,C
Merge_Q184,A,medxpert,D
Merge_Q185,C,jama,B
Merge_Q186,C,medxpert,B
Merge_Q187,C,medxpert,B
Merge_Q188,C,medxpert,C
Merge_Q189,A,medxpert,A
Merge_Q190,A,medxpert,C
Merge_Q191,NONE,medxpert,C
Merge_Q192,C,medxpert,C
Merge_Q193,D,jama,D
Merge_Q194,D,jama,D
Merge_Q195,C,medbullets,C
Merge_Q196,B,medxpert,D
Merge_Q197,C,medxpert,C
Merge_Q198,B,medxpert,A
Merge_Q199,D,medxpert,D
Merge_Q200,D,medxpert,D
Merge_Q201,A,medxpert,C
Merge_Q202,D,medxpert,C
Merge_Q203,D,jama,C
Merge_Q204,B,jama,B
Merge_Q205,B,medxpert,B
Merge_Q206,A,medxpert,D
Merge_Q207,C,medxpert,D
Merge_Q208,A,medxpert,A
Merge_Q209,C,medxpert,C
Merge_Q210,D,medxpert,B
Merge_Q211,B,mmlu,C
Merge_Q212,C,jama,B
Merge_Q213,A,medbullets,A
Merge_Q214,C,medbullets,C
Merge_Q215,D,jama,D
Merge_Q216,A,mmlu,A
Merge_Q217,C,medxpert,C
Merge_Q218,C,mmlu,C
Merge_Q219,C,medxpert,A
Merge_Q220,C,jama,D
Merge_Q221,B,medxpert,B
Merge_Q222,B,medxpert,A
Merge_Q223,A,medxpert,A
Merge_Q224,D,medxpert,B
Merge_Q225,D,medxpert,D
Merge_Q226,C,medxpert,C
Merge_Q227,D,jama,D
