Origin,Question,Labels,Category,Combination
ID0007,q2,"('Low',)",Low Relevance Labels,"('Low',)"
ID0007,q3,"('High',)",High Relevance Labels,"('High',)"
ID0007,q4,"('High',)",High Relevance Labels,"('High',)"
ID0007,q5,"('High',)",High Relevance Labels,"('High',)"
ID0007,q6,"('High',)",High Relevance Labels,"('High',)"
ID0007,q7,"('Low',)",Low Relevance Labels,"('Low',)"
ID0007,q8,"('High',)",High Relevance Labels,"('High',)"
ID0007,q9,"('not applicable',)",Other,
ID0007,q10,"('not applicable',)",Other,
ID0007,q11,"('not applicable',)",Other,
ID0007,q12,"('not applicable',)",Other,
ID0007,q13,"('not applicable',)",Other,
ID0007,q14,"('not applicable',)",Other,
ID0007,q15,"('not applicable',)",Other,
ID0007,q16,"('not applicable',)",Other,
ID0007,q17,"('not applicable',)",Other,
ID0007,q18,"('not applicable',)",Other,
ID0007,q19,"('not applicable',)",Other,
ID0007,q20,"('not applicable',)",Other,
ID0007,q21,"('not applicable',)",Other,
ID0007,q22,"('not applicable',)",Other,
ID0009,q2,"('Low',)",Low Relevance Labels,"('Low',)"
ID0009,q3,"('High',)",High Relevance Labels,"('High',)"
ID0009,q4,"('High',)",High Relevance Labels,"('High',)"
ID0009,q5,"('High',)",High Relevance Labels,"('High',)"
ID0009,q6,"('High',)",High Relevance Labels,"('High',)"
ID0009,q7,"('High',)",High Relevance Labels,"('High',)"
ID0009,q8,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0009,q9,"('Low',)",Low Relevance Labels,"('Low',)"
ID0009,q10,"('not applicable',)",Other,
ID0009,q11,"('not applicable',)",Other,
ID0009,q12,"('not applicable',)",Other,
ID0009,q13,"('not applicable',)",Other,
ID0009,q14,"('not applicable',)",Other,
ID0009,q15,"('not applicable',)",Other,
ID0009,q16,"('not applicable',)",Other,
ID0009,q17,"('not applicable',)",Other,
ID0009,q18,"('not applicable',)",Other,
ID0009,q19,"('not applicable',)",Other,
ID0009,q20,"('not applicable',)",Other,
ID0009,q21,"('not applicable',)",Other,
ID0009,q22,"('not applicable',)",Other,
ID0010,q2,"('High',)",High Relevance Labels,"('High',)"
ID0010,q3,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0010,q4,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0010,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0010,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0010,q7,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0010,q8,"('High',)",High Relevance Labels,"('High',)"
ID0010,q9,"('not applicable',)",Other,
ID0010,q10,"('not applicable',)",Other,
ID0010,q11,"('not applicable',)",Other,
ID0010,q12,"('not applicable',)",Other,
ID0010,q13,"('not applicable',)",Other,
ID0010,q14,"('not applicable',)",Other,
ID0010,q15,"('not applicable',)",Other,
ID0010,q16,"('not applicable',)",Other,
ID0010,q17,"('not applicable',)",Other,
ID0010,q18,"('not applicable',)",Other,
ID0010,q19,"('not applicable',)",Other,
ID0010,q20,"('not applicable',)",Other,
ID0010,q21,"('not applicable',)",Other,
ID0010,q22,"('not applicable',)",Other,
ID0016,q2,"('High',)",High Relevance Labels,"('High',)"
ID0016,q3,"('Low',)",Low Relevance Labels,"('Low',)"
ID0016,q4,"('High',)",High Relevance Labels,"('High',)"
ID0016,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0016,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0016,q7,"('Low',)",Low Relevance Labels,"('Low',)"
ID0016,q8,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0016,q9,"('not applicable',)",Other,
ID0016,q10,"('not applicable',)",Other,
ID0016,q11,"('not applicable',)",Other,
ID0016,q12,"('not applicable',)",Other,
ID0016,q13,"('not applicable',)",Other,
ID0016,q14,"('not applicable',)",Other,
ID0016,q15,"('not applicable',)",Other,
ID0016,q16,"('not applicable',)",Other,
ID0016,q17,"('not applicable',)",Other,
ID0016,q18,"('not applicable',)",Other,
ID0016,q19,"('not applicable',)",Other,
ID0016,q20,"('not applicable',)",Other,
ID0016,q21,"('not applicable',)",Other,
ID0016,q22,"('not applicable',)",Other,
ID0030,q2,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q3,"('High',)",High Relevance Labels,"('High',)"
ID0030,q4,"('High',)",High Relevance Labels,"('High',)"
ID0030,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q6,"('High',)",High Relevance Labels,"('High',)"
ID0030,q7,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q8,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q9,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0030,q10,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0030,q11,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q12,"('High',)",High Relevance Labels,"('High',)"
ID0030,q13,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q14,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q15,"('Low',)",Low Relevance Labels,"('Low',)"
ID0030,q16,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0030,q17,"('not applicable',)",Other,
ID0030,q18,"('not applicable',)",Other,
ID0030,q19,"('not applicable',)",Other,
ID0030,q20,"('not applicable',)",Other,
ID0030,q21,"('not applicable',)",Other,
ID0030,q22,"('not applicable',)",Other,
ID0042,q2,"('High',)",High Relevance Labels,"('High',)"
ID0042,q3,"('High',)",High Relevance Labels,"('High',)"
ID0042,q4,"('High',)",High Relevance Labels,"('High',)"
ID0042,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0042,q6,"('High',)",High Relevance Labels,"('High',)"
ID0042,q7,"('High',)",High Relevance Labels,"('High',)"
ID0042,q8,"('High',)",High Relevance Labels,"('High',)"
ID0042,q9,"('High',)",High Relevance Labels,"('High',)"
ID0042,q10,"('not applicable',)",Other,
ID0042,q11,"('not applicable',)",Other,
ID0042,q12,"('not applicable',)",Other,
ID0042,q13,"('not applicable',)",Other,
ID0042,q14,"('not applicable',)",Other,
ID0042,q15,"('not applicable',)",Other,
ID0042,q16,"('not applicable',)",Other,
ID0042,q17,"('not applicable',)",Other,
ID0042,q18,"('not applicable',)",Other,
ID0042,q19,"('not applicable',)",Other,
ID0042,q20,"('not applicable',)",Other,
ID0042,q21,"('not applicable',)",Other,
ID0042,q22,"('not applicable',)",Other,
ID0043,q2,"('High',)",High Relevance Labels,"('High',)"
ID0043,q3,"('High',)",High Relevance Labels,"('High',)"
ID0043,q4,"('Low',)",Low Relevance Labels,"('Low',)"
ID0043,q5,"('High',)",High Relevance Labels,"('High',)"
ID0043,q6,"('High',)",High Relevance Labels,"('High',)"
ID0043,q7,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0043,q8,"('High',)",High Relevance Labels,"('High',)"
ID0043,q9,"('Low',)",Low Relevance Labels,"('Low',)"
ID0043,q10,"('not applicable',)",Other,
ID0043,q11,"('not applicable',)",Other,
ID0043,q12,"('not applicable',)",Other,
ID0043,q13,"('not applicable',)",Other,
ID0043,q14,"('not applicable',)",Other,
ID0043,q15,"('not applicable',)",Other,
ID0043,q16,"('not applicable',)",Other,
ID0043,q17,"('not applicable',)",Other,
ID0043,q18,"('not applicable',)",Other,
ID0043,q19,"('not applicable',)",Other,
ID0043,q20,"('not applicable',)",Other,
ID0043,q21,"('not applicable',)",Other,
ID0043,q22,"('not applicable',)",Other,
ID0048,q2,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q3,"('High',)",High Relevance Labels,"('High',)"
ID0048,q4,"('High',)",High Relevance Labels,"('High',)"
ID0048,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q7,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q8,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q9,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q10,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q11,"('Low',)",Low Relevance Labels,"('Low',)"
ID0048,q12,"('not applicable',)",Other,
ID0048,q13,"('not applicable',)",Other,
ID0048,q14,"('not applicable',)",Other,
ID0048,q15,"('not applicable',)",Other,
ID0048,q16,"('not applicable',)",Other,
ID0048,q17,"('not applicable',)",Other,
ID0048,q18,"('not applicable',)",Other,
ID0048,q19,"('not applicable',)",Other,
ID0048,q20,"('not applicable',)",Other,
ID0048,q21,"('not applicable',)",Other,
ID0048,q22,"('not applicable',)",Other,
ID0053,q2,"('High',)",High Relevance Labels,"('High',)"
ID0053,q3,"('Low',)",Low Relevance Labels,"('Low',)"
ID0053,q4,"('Low',)",Low Relevance Labels,"('Low',)"
ID0053,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0053,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0053,q7,"('High',)",High Relevance Labels,"('High',)"
ID0053,q8,"('High',)",High Relevance Labels,"('High',)"
ID0053,q9,"('not applicable',)",Other,
ID0053,q10,"('not applicable',)",Other,
ID0053,q11,"('not applicable',)",Other,
ID0053,q12,"('not applicable',)",Other,
ID0053,q13,"('not applicable',)",Other,
ID0053,q14,"('not applicable',)",Other,
ID0053,q15,"('not applicable',)",Other,
ID0053,q16,"('not applicable',)",Other,
ID0053,q17,"('not applicable',)",Other,
ID0053,q18,"('not applicable',)",Other,
ID0053,q19,"('not applicable',)",Other,
ID0053,q20,"('not applicable',)",Other,
ID0053,q21,"('not applicable',)",Other,
ID0053,q22,"('not applicable',)",Other,
ID0054,q2,"('High',)",High Relevance Labels,"('High',)"
ID0054,q3,"('High',)",High Relevance Labels,"('High',)"
ID0054,q4,"('High',)",High Relevance Labels,"('High',)"
ID0054,q5,"('High',)",High Relevance Labels,"('High',)"
ID0054,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0054,q7,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0054,q8,"('High',)",High Relevance Labels,"('High',)"
ID0054,q9,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0054,q10,"('High',)",High Relevance Labels,"('High',)"
ID0054,q11,"('Low',)",Low Relevance Labels,"('Low',)"
ID0054,q12,"('High',)",High Relevance Labels,"('High',)"
ID0054,q13,"('not applicable',)",Other,
ID0054,q14,"('not applicable',)",Other,
ID0054,q15,"('not applicable',)",Other,
ID0054,q16,"('not applicable',)",Other,
ID0054,q17,"('not applicable',)",Other,
ID0054,q18,"('not applicable',)",Other,
ID0054,q19,"('not applicable',)",Other,
ID0054,q20,"('not applicable',)",Other,
ID0054,q21,"('not applicable',)",Other,
ID0054,q22,"('not applicable',)",Other,
ID0055,q2,"('High',)",High Relevance Labels,"('High',)"
ID0055,q3,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0055,q4,"('High',)",High Relevance Labels,"('High',)"
ID0055,q5,"('High',)",High Relevance Labels,"('High',)"
ID0055,q6,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0055,q7,"('High',)",High Relevance Labels,"('High',)"
ID0055,q8,"('High',)",High Relevance Labels,"('High',)"
ID0055,q9,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0055,q10,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0055,q11,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0055,q12,"('High',)",High Relevance Labels,"('High',)"
ID0055,q13,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0055,q14,"('not applicable',)",Other,
ID0055,q15,"('not applicable',)",Other,
ID0055,q16,"('not applicable',)",Other,
ID0055,q17,"('not applicable',)",Other,
ID0055,q18,"('not applicable',)",Other,
ID0055,q19,"('not applicable',)",Other,
ID0055,q20,"('not applicable',)",Other,
ID0055,q21,"('not applicable',)",Other,
ID0055,q22,"('not applicable',)",Other,
ID0071,q2,"('High',)",High Relevance Labels,"('High',)"
ID0071,q3,"('Low',)",Low Relevance Labels,"('Low',)"
ID0071,q4,"('Low',)",Low Relevance Labels,"('Low',)"
ID0071,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0071,q6,"('not applicable',)",Other,
ID0071,q7,"('not applicable',)",Other,
ID0071,q8,"('not applicable',)",Other,
ID0071,q9,"('not applicable',)",Other,
ID0071,q10,"('not applicable',)",Other,
ID0071,q11,"('not applicable',)",Other,
ID0071,q12,"('not applicable',)",Other,
ID0071,q13,"('not applicable',)",Other,
ID0071,q14,"('not applicable',)",Other,
ID0071,q15,"('not applicable',)",Other,
ID0071,q16,"('not applicable',)",Other,
ID0071,q17,"('not applicable',)",Other,
ID0071,q18,"('not applicable',)",Other,
ID0071,q19,"('not applicable',)",Other,
ID0071,q20,"('not applicable',)",Other,
ID0071,q21,"('not applicable',)",Other,
ID0071,q22,"('not applicable',)",Other,
ID0079,q2,"('Low',)",Low Relevance Labels,"('Low',)"
ID0079,q3,"('Low',)",Low Relevance Labels,"('Low',)"
ID0079,q4,"('Low',)",Low Relevance Labels,"('Low',)"
ID0079,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0079,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0079,q7,"('High',)",High Relevance Labels,"('High',)"
ID0079,q8,"('High',)",High Relevance Labels,"('High',)"
ID0079,q9,"('High',)",High Relevance Labels,"('High',)"
ID0079,q10,"('High',)",High Relevance Labels,"('High',)"
ID0079,q11,"('Low',)",Low Relevance Labels,"('Low',)"
ID0079,q12,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0079,q13,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0079,q14,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0079,q15,"('High',)",High Relevance Labels,"('High',)"
ID0079,q16,"('High',)",High Relevance Labels,"('High',)"
ID0079,q17,"('not applicable',)",Other,
ID0079,q18,"('not applicable',)",Other,
ID0079,q19,"('not applicable',)",Other,
ID0079,q20,"('not applicable',)",Other,
ID0079,q21,"('not applicable',)",Other,
ID0079,q22,"('not applicable',)",Other,
ID0085,q2,"('High',)",High Relevance Labels,"('High',)"
ID0085,q3,"('Low',)",Low Relevance Labels,"('Low',)"
ID0085,q4,"('Low',)",Low Relevance Labels,"('Low',)"
ID0085,q5,"('High',)",High Relevance Labels,"('High',)"
ID0085,q6,"('not applicable',)",Other,
ID0085,q7,"('not applicable',)",Other,
ID0085,q8,"('not applicable',)",Other,
ID0085,q9,"('not applicable',)",Other,
ID0085,q10,"('not applicable',)",Other,
ID0085,q11,"('not applicable',)",Other,
ID0085,q12,"('not applicable',)",Other,
ID0085,q13,"('not applicable',)",Other,
ID0085,q14,"('not applicable',)",Other,
ID0085,q15,"('not applicable',)",Other,
ID0085,q16,"('not applicable',)",Other,
ID0085,q17,"('not applicable',)",Other,
ID0085,q18,"('not applicable',)",Other,
ID0085,q19,"('not applicable',)",Other,
ID0085,q20,"('not applicable',)",Other,
ID0085,q21,"('not applicable',)",Other,
ID0085,q22,"('not applicable',)",Other,
ID0086,q2,"('High',)",High Relevance Labels,"('High',)"
ID0086,q3,"('High',)",High Relevance Labels,"('High',)"
ID0086,q4,"('Irr',)",Irrelevant Labels,"('Irr',)"
ID0086,q5,"('High',)",High Relevance Labels,"('High',)"
ID0086,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0086,q7,"('Low',)",Low Relevance Labels,"('Low',)"
ID0086,q8,"('Low',)",Low Relevance Labels,"('Low',)"
ID0086,q9,"('High',)",High Relevance Labels,"('High',)"
ID0086,q10,"('High',)",High Relevance Labels,"('High',)"
ID0086,q11,"('not applicable',)",Other,
ID0086,q12,"('not applicable',)",Other,
ID0086,q13,"('not applicable',)",Other,
ID0086,q14,"('not applicable',)",Other,
ID0086,q15,"('not applicable',)",Other,
ID0086,q16,"('not applicable',)",Other,
ID0086,q17,"('not applicable',)",Other,
ID0086,q18,"('not applicable',)",Other,
ID0086,q19,"('not applicable',)",Other,
ID0086,q20,"('not applicable',)",Other,
ID0086,q21,"('not applicable',)",Other,
ID0086,q22,"('not applicable',)",Other,
ID0092,q2,"('Low',)",Low Relevance Labels,"('Low',)"
ID0092,q3,"('Low',)",Low Relevance Labels,"('Low',)"
ID0092,q4,"('Low',)",Low Relevance Labels,"('Low',)"
ID0092,q5,"('Low',)",Low Relevance Labels,"('Low',)"
ID0092,q6,"('Low',)",Low Relevance Labels,"('Low',)"
ID0092,q7,"('High',)",High Relevance Labels,"('High',)"
ID0092,q8,"('High',)",High Relevance Labels,"('High',)"
ID0092,q9,"('Low',)",Low Relevance Labels,"('Low',)"
ID0092,q10,"('not applicable',)",Other,
ID0092,q11,"('not applicable',)",Other,
ID0092,q12,"('not applicable',)",Other,
ID0092,q13,"('not applicable',)",Other,
ID0092,q14,"('not applicable',)",Other,
ID0092,q15,"('not applicable',)",Other,
ID0092,q16,"('not applicable',)",Other,
ID0092,q17,"('not applicable',)",Other,
ID0092,q18,"('not applicable',)",Other,
ID0092,q19,"('not applicable',)",Other,
ID0092,q20,"('not applicable',)",Other,
ID0092,q21,"('not applicable',)",Other,
ID0092,q22,"('not applicable',)",Other,
ID0099,q2,"('Low',)",Low Relevance Labels,"('Low',)"
ID0099,q3,"('High',)",High Relevance Labels,"('High',)"
ID0099,q4,"('Low',)",Low Relevance Labels,"('Low',)"
