Origin,Question,Labels,Category,Combination
ID0002,q2,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0002,q3,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0002,q4,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0002,q5,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0002,q6,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0002,q7,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0002,q8,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0002,q9,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0002,q10,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0002,q11,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0002,q12,"('High', 'Low', 'not applicable')",Other,
ID0002,q13,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q14,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q15,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q16,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q17,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q18,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q19,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q20,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q21,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0002,q22,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0013,q2,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0013,q3,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0013,q4,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0013,q5,"('Irr', 'Low', 'Low')",Irrelevant Labels,"('Low', 'Low', 'Irr')"
ID0013,q6,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0013,q7,"('High', 'Low', 'Low')",High Relevance Labels,"('High', 'Low', 'Low')"
ID0018,q2,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0018,q3,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0018,q4,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0018,q5,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0018,q6,"('High', 'Low', 'Low')",High Relevance Labels,"('High', 'Low', 'Low')"
ID0018,q7,"('High', 'Low', 'Low')",High Relevance Labels,"('High', 'Low', 'Low')"
ID0018,q8,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0018,q9,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0018,q10,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0018,q11,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0018,q12,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0018,q13,"('High', 'High', 'not applicable')",Other,
ID0018,q14,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q15,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q16,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q17,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q18,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q19,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q20,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q21,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0018,q22,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0021,q2,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0021,q3,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0021,q4,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0021,q5,"('High', 'Low', 'Low')",High Relevance Labels,"('High', 'Low', 'Low')"
ID0021,q6,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0021,q7,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0021,q8,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0021,q9,"('High', 'Low', 'Low')",High Relevance Labels,"('High', 'Low', 'Low')"
ID0021,q10,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0021,q11,"('High', 'Low', 'Low')",High Relevance Labels,"('High', 'Low', 'Low')"
ID0021,q12,"('High', 'High', 'not applicable')",Other,
ID0024,q2,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0024,q3,"('Irr', 'Low', 'Low')",Irrelevant Labels,"('Low', 'Low', 'Irr')"
ID0024,q4,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0024,q5,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0024,q6,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q7,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q8,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q9,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q10,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q11,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q12,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q13,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q14,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q15,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q16,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q17,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q18,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q19,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q20,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q21,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0024,q22,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0028,q2,"('High', 'Low', 'Low')",High Relevance Labels,"('High', 'Low', 'Low')"
ID0028,q3,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0028,q4,"('High', 'Low', 'not applicable')",Other,
ID0028,q5,"('Low', 'Low', 'Low')",Low Relevance Labels,"('Low', 'Low', 'Low')"
ID0028,q6,"('High', 'High', 'Low')",High Relevance Labels,"('High', 'High', 'Low')"
ID0028,q7,"('High', 'High', 'High')",High Relevance Labels,"('High', 'High', 'High')"
ID0028,q8,"('not applicable', 'not applicable', 'not applicable')",Other,
ID0028,q9,"('not applicable', 'not applicable', 'not applicable')",Other,
