Base Model,Low+Irr Labelers,MMLU,Jama,MedXpert,Medbullets,Total,MMLU_STD,JAMA_STD,MedXpert_STD,MedBullets_STD,Total_STD,,File Location,,No Result Note,MMLU,Jama,MedXpert,Medbullets,Total Loss,,,,,,
GPT4o,Original Accuracy,95.6,68.5,16.4,74.5,39.3,20.6,46.5,37,43.7,33.6,,NeuRIPS25/Merge/GPT4o_Prediction.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Trainee Removed,96.4,78.7,41.2,84.1,73.0,18.7,40.9,49.3,36.7,18.7,,NeuRIPS25/After_PT_Removal/After_Removal_GPT4o.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Trainee High Removed,64.3,48.3,24.8,45.9,44.5,48.1,50,43.3,50,49.7,,NeuRIPS25/After_PT_Removal/After_Removal_GPT4o.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Qwen-72 Removed,93.8,72.5,76.8,41.0,72.3,24.2,44.7,42.3,49.3,44.8,,NeuRIPS25/After_PT_Removal/GPT4o/RemoveLLM_Low%2BIrr/GPT4o%20on%20Llama70B%20and%20Qwen72B.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Llama-70b Removed,93.2,69.2,74.6,38.8,69.8,25.3,46.2,43.6,48.9,46,,NeuRIPS25/After_PT_Removal/GPT4o/RemoveLLM_Low%2BIrr/GPT4o%20on%20Llama70B%20and%20Qwen72B.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT-4o Removed,95.9,76.0,41.5,82.1,71.5,20,42.8,49.4,38.4,23.1,,NeuRIPS25/After_PT_Removal/After_Removal_GPT4o.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT5 Removed,95.9,77.8,40.3,80.2,71.7,20,41.2,49.1,40,23.6,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GPT 5 ,Original Accuracy,98.5,88.3,69.2,93.7,86.0,12.4,32.2,46.3,24.3,12.8,,NeuRIPS25/After_PT_Removal/GPT5/GPT5_Analysis_Original_And_Removed.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Trainee Removed,90.2,84.4,68.2,90.3,82.2,29.9,36.4,46.6,29.6,10.4,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Qwen-72b Removed,87.1,82.3,61.9,79.2,77.7,33.7,37.9,48.6,40.7,11,,,,,,,3,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Llama-70b Removed,88.1,82.0,56.8,75.4,75.7,32.5,38.5,49.6,43.2,13.5,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT-4o Removed,83.9,85.2,62.9,83.6,79.3,36.8,35.5,48.4,37.1,10.7,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT5 Removed ,97.9,86.6,67.0,91.3,84.2,14.3,34.1,47.1,28.3,13.3,,NeuRIPS25/After_PT_Removal/GPT5/GPT5_Analysis_Original_And_Removed.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Qwen-14B,Original Accuracy,66.9,45.2,12.0,40.9,26.3,47.1,49.8,32.5,49.3,44,,,,,0,9,15,0,24,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Trainee Removed,66.3,52.8,21.1,44.4,45.7,47.4,50,40.8,49.8,49.8,,NeuRIPS25/After_PT_Removal/Second_Removal_Qwen_14b.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Qwen-72 Removed,86.0,61.5,23.8,63.8,56.4,34.8,48.7,42.7,48.2,49.6,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Llama-70b Removed,75.6,62.7,11.4,30.9,47.1,43,48.4,31.9,46.3,50,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT-4o Removed,84.5,64.6,23.6,59.9,56.8,36.3,47.9,42.5,49.1,49.6,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT5 Removed,82.9,63.6,26.1,62.8,57.2,37.7,48.2,44,48.5,49.5,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Qwen 72B,Original Accuracy,90.4,56.7,16.5,16.5,35.1,29.5,49.6,37.1,37.1,47.7,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Trainee Removed,76.2,60.1,22.3,62.8,53.7,42.7,49,41.7,48.5,49.9,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Qwen-72 Removed,83.9,63.6,25.1,63.8,57.3,36.8,48.2,43.4,48.2,49.5,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Llama-70b Removed,83.9,64.8,27.9,65.2,58.8,36.8,47.8,44.9,47.7,49.2,,NeuRIPS25/After_PT_Removal/Qwen2.5-72B-Instruct/Qwen-72B_on_70B.ipynb,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT-4o Removed,88.6,67.2,26.7,68.1,60.6,31.9,47,44.3,46.7,48.9,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,GPT5 Removed,83.4,60.7,23.2,60.7,54.3,37.3,48.9,43.3,48.9,49.8,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
