Case ID,Origin,Origin Created At,Content ID,URL,data_source_corr,Has Consensus?,Qualified Reads,Correct Label,Majority Label,Difficulty,Agreement,Static Highlight Ranges,First Choice Answer,First Choice Votes,First Choice Weight,Second Choice Answer,Second Choice Votes,Second Choice Weight,Third Choice Answer,Third Choice Votes,Third Choice Weight,Fourth Choice Answer,Fourth Choice Votes,Fourth Choice Weight,Fifth Choice Answer,Fifth Choice Votes,Fifth Choice Weight,Sixth Choice Answer,Sixth Choice Votes,Sixth Choice Weight,Seventh Choice Answer,Seventh Choice Votes,Seventh Choice Weight,Eighth Choice Answer,Eighth Choice Votes,Eighth Choice Weight,Pre-Answer Explainer,Internal Notes,Comments,Flags,Explanation,Series,Series Index,Patch,DICOM Study UID,DICOM Series UID,DICOM Instance UID,Tags
25734236,ID001,2025-05-12 21:56:13+00:00,58431130,https://go.centaurlabs.com/task/5166/case/25734236,jama,Yes,3,'c','c',,0.667,,'c',2,0.02,'d',1,0.01,'a',0,0,'b',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],[],,,,,,,,[]
25734318,ID002,2025-05-12 21:56:13+00:00,58431048,https://go.centaurlabs.com/task/5166/case/25734318,jama,Yes,3,'b','b',,0.333,,'b',1,0.01,'c',1,0.01,'d',1,0.01,'a',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],"[{'messages': ['excerpt has answer choices'], 'labeler_id': 591924}]",,,,,,,,[]
25734091,ID003,2025-05-12 21:56:13+00:00,58431275,https://go.centaurlabs.com/task/5166/case/25734091,medxpert,Yes,3,'i','i',,1,,'i',3,0.03,'a',0,0,'b',0,0,'c',0,0,'d',0,0,'e',0,0,'f',0,0,'g',0,0,,,[],[],,,,,,,,[]
25734179,ID004,2025-05-12 21:56:13+00:00,58431187,https://go.centaurlabs.com/task/5166/case/25734179,jama,Yes,3,'b','b',,0.667,,'b',2,0.02,'d',1,0.01,'a',0,0,'c',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],"[{'messages': ['Unable to skip following instructions to refresh. Again think question is out of scope of knowledge for medical student'], 'labeler_id': 591931}]",,,,,,,,[]
25734090,ID005,2025-05-12 21:56:13+00:00,58431276,https://go.centaurlabs.com/task/5166/case/25734090,medxpert,Yes,3,'b','b',,0.667,,'b',2,0.02,'i',1,0.01,'a',0,0,'c',0,0,'d',0,0,'e',0,0,'f',0,0,'g',0,0,,,[],[],,,,,,,,[]
25734317,ID006,2025-05-12 21:56:13+00:00,58431049,https://go.centaurlabs.com/task/5166/case/25734317,mmlu,Yes,3,'a','a',,1,,'a',3,0.03,'b',0,0,'c',0,0,'d',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],[],,,,,,,,[]
25734316,ID007,2025-05-12 21:56:13+00:00,58431050,https://go.centaurlabs.com/task/5166/case/25734316,medbullets,Yes,3,'d','d',,0.667,,'d',2,0.02,'a',1,0.01,'b',0,0,'c',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],"[{'messages': ['incomplete info'], 'labeler_id': 591924}]",,,,,,,,[]
25734089,ID008,2025-05-12 21:56:13+00:00,58431277,https://go.centaurlabs.com/task/5166/case/25734089,medxpert,Yes,3,'d','d',,1,,'d',3,0.03,'a',0,0,'b',0,0,'c',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],[],,,,,,,,[]
25734178,ID009,2025-05-12 21:56:13+00:00,58431188,https://go.centaurlabs.com/task/5166/case/25734178,jama,Yes,3,'d','d',,0.667,,'d',2,0.02,'c',1,0.01,'a',0,0,'b',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],[],,,,,,,,[]
25734177,ID010,2025-05-12 21:56:13+00:00,58431189,https://go.centaurlabs.com/task/5166/case/25734177,mmlu,Yes,3,'d','d',,1,,'d',3,0.03,'a',0,0,'b',0,0,'c',0,0,'e',0,0,'f',0,0,'g',0,0,'h',0,0,,,[],[],,,,,,,,[]
