row_index,GPT4o_answer,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21
0,,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,
1,D,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,
2,D,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
3,C,Low Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,Irrelevant,High Relevance,Irrelevant,,,,,,,,,,,,,
4,,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,
5,E,Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,
6,A,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
7,,Low Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,,,
8,D,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,
9,,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,
10,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,
11,C,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,,
12,C,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
13,C,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,
14,C,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,
15,B,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,
16,D,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,A,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,
19,,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
20,C,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
21,,Low Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
22,,Low Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,Irrelevant,Irrelevant,,,,,,,,,,,
23,B,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,,
24,,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
25,B,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
26,D,High Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
27,A,Low Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,
28,C,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,
30,B,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,
31,D,High Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,
32,C,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
33,A,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,,
34,C,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
35,B,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,,,,,,,,
36,,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
37,,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,
38,B,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,
41,B,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,
42,D,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,
43,B,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,,,,,,,,
44,A,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
45,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,
46,A,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,
47,D,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,,,,,,,,,,,,,,
48,B,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,
49,E,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,
50,C,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,,,,,
51,C,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
52,,High Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,,,,,,
53,C,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,
54,B,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,
55,D,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
56,D,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,,
57,,High Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,,,
58,B,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,
59,B,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,
60,,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,High Relevance
61,C,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,
62,,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
63,D,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,,,
64,C,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,,
65,E,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,
67,C,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
68,D,High Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,
69,,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
70,B,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
71,A,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,Irrelevant,Low Relevance,,,,,,,,,,,,
72,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,
73,C,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
74,D,Low Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,,,,
75,C,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
76,,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
77,B,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,
78,B,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,
79,D,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
80,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
81,B,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,
82,,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,
83,D,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,
84,,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
