QA_ID,Origin,Round 2,Round 1,Ground_Truth,data_source
Merge Q1,ID0002,D,D,D,jama
Merge Q2,ID0003,G,C,G,medxpert
Merge Q3,ID0007,A,D,B,medbullets
Merge Q4,ID0009,D,D,D,jama
Merge Q5,ID0010,H,C,H,medxpert
Merge Q6,ID0013,B,C,B,mmlu
Merge Q7,ID0015,C,A,C,jama
Merge Q8,ID0016,B,B,B,jama
Merge Q9,ID0017,B,C,C,jama
Merge Q10,ID0018,D,C,D,jama
Merge Q11,ID0021,C,B,B,jama
Merge Q12,ID0024,B,D,B,mmlu
Merge Q13,ID0025,B,D,F,medxpert
Merge Q14,ID0027,D,B,D,mmlu
Merge Q15,ID0028,A,D,A,medbullets
Merge Q16,ID0029,A,B,A,medbullets
Merge Q17,ID0030,B,B,B,jama
Merge Q18,ID0032,D,D,D,medbullets
Merge Q19,ID0034,A,D,A,medbullets
Merge Q20,ID0039,B,C,B,mmlu
Merge Q21,ID0041,A,D,A,jama
Merge Q22,ID0042,C,D,B,medxpert
Merge Q23,ID0043,C,A,C,jama
Merge Q24,ID0044,B,C,B,jama
Merge Q25,ID0045,A,B,D,medxpert
Merge Q26,ID0046,D,B,D,medbullets
Merge Q27,ID0047,A,C,A,jama
Merge Q28,ID0048,D,B,D,medbullets
Merge Q29,ID0049,B,B,B,jama
Merge Q30,ID0052,C,C,C,jama
Merge Q31,ID0053,G,B,H,medxpert
Merge Q32,ID0054,B,C,A,jama
Merge Q33,ID0055,B,D,A,medbullets
Merge Q34,ID0056,D,D,D,medxpert
Merge Q35,ID0057,D,C,D,mmlu
Merge Q36,ID0059,B,D,B,mmlu
Merge Q37,ID0060,A,B,C,jama
Merge Q38,ID0062,B,C,B,jama
Merge Q39,ID0063,J,D,B,medxpert
Merge Q40,ID0064,D,B,D,mmlu
Merge Q41,ID0067,D,B,A,medbullets
Merge Q42,ID0069,D,A,D,jama
Merge Q43,ID0071,E,C,D,medxpert
Merge Q44,ID0072,C,D,C,jama
Merge Q45,ID0073,G,D,G,medxpert
Merge Q46,ID0074,C,C,C,mmlu
Merge Q47,ID0076,C,A,C,jama
Merge Q48,ID0078,B,C,B,medbullets
Merge Q49,ID0079,B,C,B,jama
