ID,centaur_second_round,answer,data_source,Filtered_Sentence_Count
ID001,"
### Step 1: Read excerpt
1. A 10-year-old girl is admitted to the medical floor for a respiratory infection.
2. The patient lives in a foster home and has been admitted many times.
3. Since birth, the patient has had repeated episodes of pain/pressure over her frontal sinuses and a chronic cough that produces mucus.
4. She was recently treated with amoxicillin for an infection.
5. The patient is in the 25th percentile for height and weight which has been constant since birth.
6. Her guardians state that the patient has normal bowel movements and has been gaining weight appropriately.
7. The patient has a history of tricuspid stenosis.
8. Her temperature is 99.5°F (37.5°C), blood pressure is 90/58 mmHg, pulse is 120/min, respirations are 18/min, and oxygen saturation is 94% on room air.
9. Physical exam is notable for bruises along the patient's shins which the guardians state are from playing soccer.
10. The rest of the exam is deferred because the patient starts crying.

### Step 2: Answer QA Details
Which of the following findings is associated with this patient's most likely underlying diagnosis?

A. Diastolic murmur best heard along the right lower sternal border  
B. Hypocalcemia  
C. Increased chloride in the patient's sweat  
D. Repeat sinus infections secondary to seasonal allergies
",A,medbullets,10
ID002,"
### Step 1: Read excerpt
1. A 7-year-old boy is brought to the emergency department by his mother due to 20 minutes of difficulty breathing.
2. While having lunch, his mother observed a rash along with swelling of his tongue and lips.
3. His vital signs are as follows: temperature 37°C (98.6°F), pulse 169/min, respirations 28/min, and blood pressure 90/50 mmHg.
4. Oxygen saturation on room air is 92%.
5. Treatment with intravenous fluids, supplemental oxygen, and intramuscular epinephrine is initiated, leading to complete resolution of his symptoms.

### Step 2: Answer QA Details
Which of the following interventions would be most effective in preventing future episodes?

A. Allergen identification  
B. Initiation of subcutaneous epinephrine injections on a weekly basis  
C. Administration of prophylactic corticosteroids before meals  
D. Avoidance of all potential allergens  
E. Desensitization therapy with gradual allergen exposure  
F. Monitoring serum IgE levels regularly  
G. Regular corticosteroid inhalation  
H. Long-term antihistamine therapy  
I. Epinephrine autoinjector  
J. Specific immunotherapy
",A,medxpert,5
ID003,"
### Step 1: Read excerpt
1. A woman in her 30s presented with multiple discrete and clustered blue papules on her face and extremities.
2. The lesions had been present since childhood, but the size of the lesions and the intensity of pain associated with them had recently increased with even light touch causing paroxysms of pain.
3. The pain associated with these papules worsened as the day progressed, and she could not tolerate elastic compression due to excessive pain on compression.
4. Her medical and family histories were unremarkable.
5. Physical examination revealed multiple discrete and agminated blue papules on the face, arms, hands, and thighs with a cobblestoned appearance (Figure 1).
6. On palpation, the papules were exquisitely tender and partially compressible.
7. The patient underwent duplex ultrasonography of representative papules on the thigh, and a skin biopsy specimen of a papule on the thigh was obtained for histopathologic evaluation.

### Step 2: Answer QA Details
What Is Your Diagnosis?

A: Blue rubber bleb nevus syndrome  
B: Venous malformation  
C: Hemangioma  
D: Glomuvenous malformation
",D,jama,7
ID004,"
### Step 1: Read excerpt
1. A 40-year-old male patient with a history of hypertension and dyslipidemia is in the intensive care unit (ICU) following an open reduction and internal fixation of a right femur fracture sustained in a motor vehicle accident.  
2. On postoperative day 3, he experienced transient hypotension due to Staphylococcus aureus bacteremia, requiring vasopressor support for 24 hours.  
3. He is currently on parenteral vancomycin, with negative repeat blood cultures and a normal echocardiogram.  
4. He no longer requires vasopressors and is preparing for transfer out of the ICU.  
5. The patient has an indwelling Foley catheter placed during surgery.  
6. The nurse observes slightly cloudy urine in the catheter bag.  
7. The patient reports 7/10 pain in the right leg but denies fever, chills, flank pain, or abdominal pain.  
8. His vital signs include a temperature of 36.6˚C, heart rate of 90 beats per minute, and blood pressure of 110/70 mm Hg.  

### Step 2: Answer QA Details
What is the most appropriate next step in managing this patient?

A. Replace the urinary catheter, repeat urinalysis with urine culture, and start empiric ciprofloxacin  
B. Replace the urinary catheter, and monitor for fever or other systemic signs of infection  
C. Continue parenteral vancomycin, and replace the urinary catheter  
D. Remove the urinary catheter, and perform a voiding trial  
E. Discontinue vancomycin, and initiate oral nitrofurantoin  
F. Perform a cystoscopy to evaluate for bladder pathology  
G. Start empiric trimethoprim-sulfamethoxazole, and continue the urinary catheter  
H. Start empiric ceftriaxone, and discontinue the urinary catheter  
I. Obtain blood cultures, and start empiric meropenem  
J. Send a urine culture, and start empiric ciprofloxacin now
",D,medxpert,8
ID005,"
### Step 1: Read excerpt
1. A 33-year-old white man presented with a 5-month history of a progressively necrotic plaque on the nose and scattered nodules on the extremities.
2. The plaque first appeared as a small inflammatory papule on the left nostril.
3. Shortly thereafter, the patient was hospitalized at an outside facility for multifocal pneumonia.
4. He was also treated for a methicillin-resistant Staphylococcus aureus infection of his nose.
5. Despite antibiotic therapy, the papule continued to grow and ulcerate and eventually became necrotic (Figure, A).
6. One month before presentation at our facility, the patient began developing erythematous papules on his arms and legs.
7. Some of them healed spontaneously with poxlike scars.
8. He had no recent history of travel.
9. At admission, the patient was tachycardic and febrile to a temperature of 38.5°C.
10. Routine laboratory testing revealed normocytic anemia (hemoglobin, 7.7 g/dL [to convert to grams per liter, multiply by 10]).
11. Shave biopsies of necrotic nodules on the left arm and left cheek (Figure, B-D) and, later, an excisional biopsy of a cervical lymph node were performed.
12. Head computed tomography demonstrated a soft-tissue mass that encased the nasal bone and extended into the right maxillary sinus and left nasal cavity.
13. Chest computed tomography showed bilateral pulmonary nodules.
14. Physical examination revealed a necrotic plaque with surrounding erythema on the distal nose (Figure, A).
15. A 1 × 1-cm crateriform papule with central necrosis was present on the left malar cheek.
16. Multiple nodules with central, dry necrosis and areas of poxlike scarring were scattered across the extremities.
17. Slight contractures of his fingers were also noted.A, Clinical photograph.
18. B-D, Analyses of a shave biopsy specimen of the necrotic papule on the patient’s left cheek (B, hematoxylin-eosin, original magnification ×400; C, original magnification ×400; D, original magnification ×200).

### Step 2: Answer QA Details
What Is Your Diagnosis?

A: Extranodal natural killer/T-cell lymphoma, nasal type  
B: Lymphomatoid granulomatosis  
C: Granulomatosis with polyangiitis (Wegener granulomatosis)  
D: Histoplasmosis
",B,jama,18
ID006,"
### Step 1: Read excerpt
1. A woman in her 50s presented with painless bilateral vision loss that developed over a period of 2 weeks to the point that she was unable to appreciate light in either eye.  
2. Two weeks prior to her visual symptoms, she had noticed intermittent painless, postmenopausal vaginal bleeding.  
3. Her examination results 2 years prior were normal, with a visual acuity of 20/20 OU.  
4. In the emergency department, the patient had a computed tomographic scan of the brain and orbits that was normal, and she was referred to Ophthalmology.  
5. Pupils were unreactive to light but constricted to a near target.  
6. Extraocular movements were full.  
7. Color fundus photographs of both eyes revealed bilateral optic nerve pallor and significantly attenuated retinal vessels.  
8. Obtain erythrocyte sedimentation rate and C-reactive protein level

### Step 2: Answer QA Details
What Would You Do Next?

A: Magnetic resonance imaging of the brain and orbits with gadolinium  
B: Test for antiretinal antibodies  
C: Syphilis and tuberculosis testing  
D: Obtain erythrocyte sedimentation rate and C-reactive protein level
",B,jama,8
ID007,"
### Step 1: Read excerpt
1. A 45-year-old male patient presents to the clinic for dyslipidemia evaluation.
2. He is currently asymptomatic.
3. His medical history includes an aortic valve replacement and type II diabetes mellitus.
4. His medications include aspirin, warfarin, regular insulin, and atorvastatin.
5. His mother has diabetes mellitus.
6. Vital signs show temperature 37.0°C (98.6°F), pulse 90/min, respirations 17/min, and blood pressure 125/80 mmHg.
7. Physical examination reveals no abnormalities.
8. Laboratory results show an INR of 1.5 and serum creatinine of 1.2 mg/dL.
9. The healthcare provider plans to initiate fenofibrate therapy for triglyceride management.

### Step 2: Answer QA Details
What intervention should be implemented prior to starting this medication?

A. Obtain baseline thyroid function tests  
B. Obtain gallbladder ultrasound  
C. Monitor blood glucose levels more frequently  
D. Obtain liver function test  
E. Increase aspirin dosage  
F. Decrease the warfarin dose  
G. Measure serum creatinine phosphokinase level  
H. Discontinue atorvastatin  
I. Check fasting lipid profile again  
J. Obtain renal function panel
",F,medxpert,9
ID008,"
### Step 1: Read excerpt
1. An adolescent boy presented with cognitive and behavioral changes, headaches, and progressively worsening weakness of the left arm and leg.
2. The patient was subsequently admitted to our hospital for further evaluation.
3. Sixteen months earlier, the patient was admitted to a hospital for weakness of the left fingers and mild spasticity of the left lower extremity.
4. Magnetic resonance imaging (MRI) at the time revealed a suspicious lesion in the right basal ganglia (Figure, A).
5. In addition, carotid and intracranial angiography revealed no abnormalities (not shown).
6. Slight weakness in the left lower extremity was detected 3 months later.
7. Magnetic resonance imaging revealed nonhomogeneous hyperintensity on T2-weighted images in the right basal ganglia without mass effect (Figure, B).
8. A, T2-weighted axial brain magnetic resonance imaging (MRI) at the basal ganglia level performed 16 months before the current hospitalization showing slight hyperintensity at the right putamen and posterior limb of the internal capsule (arrowhead).
9. B, T2-weighted axial MRI performed 13 months before the current hospitalization showing moderate hyperintensity at the right basal ganglia without mass effect (arrowhead).
10. C, T2-weighted axial MRI at the basal ganglia level showing remarkable progression of the lesions in the right basal ganglia and thalamus with heterogeneous high signal intensity and multicystic change (arrowhead).
11. There was no history of tumors elsewhere, and his family history was unremarkable.
12. Neurological examination revealed distal left hemiparesis, left facial palsy, and decreased pinprick sensation in his left face and extremities.
13. On MRI, the lesion appeared larger than before (Figure, C), with remarkable heterogeneous enhancement (not shown).
14. Human chorionic gonadotropin (HCG) levels in both serum and cerebrospinal fluid (CSF) were normal.
15. A hormone assay disclosed normal pituitary function.

### Step 2: Answer QA Details
What Is Your Diagnosis?

A: Glioma  
B: Infarction  
C: Germinoma  
D: Demyelination
",C,jama,15
ID009,"
### Step 1: Read excerpt
1. A black woman in her 50s presented to the clinic with a 3-month history of nontender mildly pruritic verrucous nodules in several areas of a polychromatic tattoo on her right lower leg and foot.  
2. She reported that these appeared 1 to 2 months following placement of the tattoo and were restricted to areas where the artist created pink zones by layering white ink over red ink.  
3. She denied pain, fevers, and chills and had no history of skin cancer.  
4. Physical examination revealed well-demarcated erythematous to violaceous verrucous nodules on the right lateral leg and dorsal foot (Figure 1A).  
5. A punch biopsy specimen from a representative nodule was obtained, with an additional biopsy for tissue culture (Figure 1B).  
6. A, Verrucous nodules are restricted to zones of pink pigment within the tattoo, sparing other colors present.  
7. B, Histologic reaction pattern from punch biopsy specimen of right lower leg nodule (hematoxylin-eosin, original magnification ×4).

### Step 2: Answer QA Details
What Is Your Diagnosis?

A: Hypertrophic discoid lupus  
B: Eruptive keratoacanthomas  
C: Pseudoepitheliomatous hyperplasia  
D: Sarcoidosis arising in a tattoo
",C,jama,7
ID010,"
### Step 1: Read excerpt
1. An otherwise healthy adult man presented with left upper eyelid swelling for 2 days.
2. This was accompanied by foreign-body sensation and discomfort of the left eye and was preceded by a week of general malaise without fevers or chills.
3. He denied vision changes, light sensitivity, or drainage from the eye.
4. He denied previous similar episodes of eyelid swelling or recurrent chalazia.
5. He had no relevant medical history and his family history was negative for malignancy.
6. The eyelid demonstrated mild boggy edema; however, there were no associated nodules, vesicles, or plaques on the surrounding skin or face.
7. There was mild madarosis in the area of ulceration.
8. There was also a tender and enlarged preauricular lymph node on the ipsilateral side.
9. The remainder of the clinical examination was unremarkable, including visual acuity, intraocular pressure, slitlamp biomicroscopy, and dilated fundus examination.
10. A photomicrograph of a hematoxylin-eosin–stained section from an incisional biopsy specimen is shown in Figure 1B.
11. A, External photograph of the left eye demonstrating central upper eyelid margin ulceration with sparse lashes and surrounding edema.
12. B, Incisional biopsy reveals a necrotic epithelium with multinucleated keratinocytes and cytoplasmic inclusions (hematoxylin-eosin, ×200).

### Step 2: Answer QA Details
What Would You Do Next?

A: Perform wide local excision with map biopsies  
B: Initiate treatment with oral valacyclovir  
C: Proceed with cryotherapy  
D: Perform Mohs micrographic surgery followed by reconstruction with flap
",B,jama,12
