QA_ID,Origin,Round 2,Round 1,Ground_Truth,data_source
Merge Q1,ID0002,D,D,D,jama
Merge Q2,ID0003,G,G,G,medxpert
Merge Q3,ID0007,A,A,B,medbullets
Merge Q4,ID0009,D,B,D,jama
Merge Q5,ID0010,H,H,H,medxpert
Merge Q6,ID0013,B,B,B,mmlu
Merge Q7,ID0015,C,C,C,jama
Merge Q8,ID0016,B,B,B,jama
Merge Q9,ID0017,B,B,C,jama
Merge Q10,ID0018,D,D,D,jama
Merge Q11,ID0021,C,C,B,jama
Merge Q12,ID0024,B,B,B,mmlu
Merge Q13,ID0025,B,B,F,medxpert
Merge Q14,ID0027,D,D,D,mmlu
Merge Q15,ID0028,A,A,A,medbullets
Merge Q16,ID0029,A,A,A,medbullets
Merge Q17,ID0030,B,B,B,jama
Merge Q18,ID0032,D,D,D,medbullets
Merge Q19,ID0034,A,A,A,medbullets
Merge Q20,ID0039,B,B,B,mmlu
Merge Q21,ID0041,A,A,A,jama
Merge Q22,ID0042,C,C,B,medxpert
Merge Q23,ID0043,C,C,C,jama
Merge Q24,ID0044,B,B,B,jama
Merge Q25,ID0045,A,F,D,medxpert
Merge Q26,ID0046,D,D,D,medbullets
Merge Q27,ID0047,A,A,A,jama
Merge Q28,ID0048,D,D,D,medbullets
Merge Q29,ID0049,B,B,B,jama
Merge Q30,ID0052,C,C,C,jama
Merge Q31,ID0053,G,G,H,medxpert
Merge Q32,ID0054,B,B,A,jama
Merge Q33,ID0055,B,B,A,medbullets
Merge Q34,ID0056,D,D,D,medxpert
Merge Q35,ID0057,D,D,D,mmlu
Merge Q36,ID0059,B,B,B,mmlu
Merge Q37,ID0060,A,D,C,jama
Merge Q38,ID0062,B,B,B,jama
Merge Q39,ID0063,J,B,B,medxpert
Merge Q40,ID0064,D,D,D,mmlu
Merge Q41,ID0067,D,A,A,medbullets
Merge Q42,ID0069,D,D,D,jama
Merge Q43,ID0071,E,C,D,medxpert
Merge Q44,ID0072,C,C,C,jama
Merge Q45,ID0073,G,G,G,medxpert
Merge Q46,ID0074,C,C,C,mmlu
Merge Q47,ID0076,C,C,C,jama
Merge Q48,ID0078,B,B,B,medbullets
Merge Q49,ID0079,B,B,B,jama
Merge Q50,ID0081,C,C,D,jama
Merge Q51,ID0082,B,B,B,medbullets
Merge Q52,ID0085,E,E,J,medxpert
Merge Q53,ID0086,D,E,H,medxpert
Merge Q54,ID0088,C,D,B,jama
Merge Q55,ID0089,A,A,A,jama
Merge Q56,ID0092,B,B,B,medxpert
Merge Q57,ID0093,C,C,C,jama
Merge Q58,ID0094,C,C,C,jama
Merge Q59,ID0096,D,D,E,medxpert
Merge Q60,ID0097,D,D,D,jama
Merge Q61,ID0098,D,D,D,mmlu
Merge Q62,ID0099,D,D,E,medxpert
Merge Q63,ID0101,A,A,A,medbullets
Merge Q64,ID0102,C,C,D,medbullets
Merge Q65,ID0106,A,A,C,medbullets
Merge Q66,ID0108,A,A,C,jama
Merge Q67,ID0109,A,A,A,jama
Merge Q68,ID0110,B,B,B,jama
Merge Q69,ID0111,D,D,D,medbullets
Merge Q70,ID0112,G,A,D,medxpert
Merge Q71,ID0113,D,D,D,mmlu
Merge Q72,ID0115,B,B,D,medbullets
Merge Q73,ID0116,A,C,A,jama
Merge Q74,ID0117,B,B,D,mmlu
Merge Q75,ID0119,C,D,D,jama
Merge Q76,ID0122,D,D,D,mmlu
