model,Origin,concordance_pct,n_sentence_pairs,missing_model_row,model_csv
GPT4o,ID0002,80.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0003,40.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0010,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0013,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0016,40.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0018,0.0,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0021,11.11111111111111,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0024,0.0,1,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0025,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0027,25.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0028,0.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0029,25.0,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0032,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0034,57.14285714285714,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0039,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0041,0.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0042,28.57142857142857,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0045,50.0,1,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0046,36.36363636363637,11,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0047,100.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0048,66.66666666666666,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0056,66.66666666666666,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0057,50.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0059,50.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0060,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0062,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0063,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0067,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0069,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0071,0.0,1,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0073,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0074,57.14285714285714,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0082,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0085,66.66666666666666,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0092,100.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0093,66.66666666666666,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
