model,avg_pairwise_jaccard_to_others_pct,jaccard_with_human_pct
Qwen-72B (SR),57.69854243613554,63.47629207781696
MedGemma-27B (SR),56.80984056595358,61.01344793961166
Human,54.894259372117936,100.0
GPT-5 (SR),53.988753796549474,61.15115020105107
Llama-70B (SR),53.89009708928284,54.596010151788654
Qwen-14B (CC),47.18230880188774,57.84365038543114
Llama-70B (CC),46.26692910311533,55.72683246840551
Qwen-72B (CC),46.23310894524289,55.804491383520755
Qwen-14B (SR),45.59349007657855,43.98536945487186
GPT-4o (SR),40.2850340512673,40.451090286563804
