model_a,model_b,n_origins_used,mean_jaccard_pct,sd_jaccard_pct,ci95_low_jaccard_pct,ci95_high_jaccard_pct
MedGemma-27B (SR),Qwen-72B (SR),623,72.57301508906646,23.42045337243351,70.66565918030606,74.35868603484975
MedGemma-27B (SR),Llama-70B (SR),621,70.03309537125962,23.88029690837701,68.1757284024796,71.88282804375801
Qwen-72B (SR),Llama-70B (SR),622,68.99663796367976,23.873870054325526,67.11283017402391,70.90733515100477
GPT-5 (SR),MedGemma-27B (SR),623,65.53146158282594,25.08045397226142,63.56489476503521,67.52967414474236
GPT-5 (SR),Qwen-72B (SR),623,64.00368301831311,24.838907654352223,62.086846847751715,65.94148617022154
Human,Qwen-72B (SR),623,63.47629207781696,22.59147362318895,61.66294031231833,65.16920489221854
Qwen-14B (SR),Llama-70B (SR),622,61.753739740074145,30.097145749434493,59.31737099984688,64.06698806507892
Human,GPT-5 (SR),623,61.15115020105107,23.90086097356052,59.35249664610089,63.028761291059475
Human,MedGemma-27B (SR),623,61.01344793961166,23.148551969615678,59.175207383574154,62.829093714828076
GPT-5 (SR),Llama-70B (SR),623,61.01037740853573,25.68653054567208,59.04154042889047,63.01406151952109
MedGemma-27B (SR),Qwen-14B (SR),619,58.66944310401499,28.096702995916914,56.58136521080786,60.90918345027796
Human,Qwen-14B (CC),623,57.84365038543114,26.241856873015827,55.81329584818397,59.93134527978972
Qwen-14B (CC),Llama-70B (CC),623,56.76176256102609,27.479105191059446,54.63526942494343,58.96594250701512
Qwen-14B (SR),Qwen-72B (SR),623,56.29455126646138,28.077963865671435,54.11801035597184,58.483763739381715
Human,Qwen-72B (CC),623,55.804491383520755,27.200449576403813,53.70907547561074,57.93416381507686
Human,Llama-70B (CC),623,55.72683246840551,26.985294983585042,53.65321447323855,57.914727527689
Qwen-14B (CC),Qwen-72B (CC),623,54.90534062293103,27.743045121338177,52.737988874342854,57.1102009928667
Qwen-72B (CC),Llama-70B (CC),623,54.67949543296536,27.69344911642924,52.531308824700616,56.84221594991942
Human,Llama-70B (SR),623,54.596010151788654,22.538558106831246,52.903540664124534,56.35400133017509
GPT-5 (SR),Qwen-14B (SR),623,49.84656574311893,27.236491266148512,47.71659354919999,51.99435963455035
Qwen-72B (SR),Qwen-14B (CC),623,49.708646521388474,22.792091851309703,47.8916998257358,51.472362943370165
Qwen-72B (SR),Qwen-72B (CC),623,48.704818220208644,23.668954461031824,46.80880838689946,50.549699179585396
Qwen-72B (SR),Llama-70B (CC),623,48.274553358705,22.729543652679805,46.54414219296844,50.10585671927554
GPT-5 (SR),Qwen-14B (CC),623,47.84924172249682,24.358367500124253,45.858814946249545,49.80834211804385
GPT-4o (SR),Qwen-72B (SR),623,47.25468440958007,31.562931903143895,44.780983807970166,49.853466958402755
MedGemma-27B (SR),Qwen-14B (CC),623,46.69738233943691,24.303789939917618,44.80885545366886,48.654273673535315
GPT-5 (SR),Qwen-72B (CC),623,46.52951023387193,24.83513225840897,44.52964342568615,48.5068007682824
GPT-5 (SR),Llama-70B (CC),623,46.23994278311624,23.561769573862684,44.40888092947035,48.081010310019614
GPT-4o (SR),MedGemma-27B (SR),621,46.088274312912,31.49865469722359,43.61798642625938,48.61134899721856
MedGemma-27B (SR),Qwen-72B (CC),623,45.381637726199145,23.639086707589588,43.51231233699839,47.232165007906204
MedGemma-27B (SR),Llama-70B (CC),623,45.30080762825546,23.665785886392268,43.44362479742166,47.1942640974307
GPT-4o (SR),Llama-70B (SR),622,44.2023615898214,32.56960796863727,41.582911104615285,46.782944536260445
Human,Qwen-14B (SR),623,43.98536945487186,24.509867669990363,42.101316342387776,45.86841976910195
GPT-4o (SR),GPT-5 (SR),623,43.736851475615524,30.82057503070961,41.40328350867075,46.16872329226864
Llama-70B (SR),Qwen-14B (CC),623,41.57627327665568,22.930405898634877,39.79962707530041,43.369745660894985
Llama-70B (SR),Qwen-72B (CC),623,41.51583433981224,24.15764763338336,39.606874904043494,43.447562016674354
Llama-70B (SR),Llama-70B (CC),623,41.32654396191834,22.851643230095586,39.49443276564181,43.11915328256444
Human,GPT-4o (SR),623,40.451090286563804,26.322911374639364,38.321118716534045,42.43192524547862
GPT-4o (SR),Qwen-14B (SR),622,37.3280138493161,32.00386674099081,34.82909856533249,39.77595104966488
GPT-4o (SR),Qwen-14B (CC),623,34.863179472045495,23.930444961432173,32.93583161637406,36.760846466215405
GPT-4o (SR),Qwen-72B (CC),623,34.50428394295829,24.36259287948566,32.6189218111487,36.43616478144911
Qwen-14B (SR),Qwen-14B (CC),623,34.43530231557803,22.603177852643306,32.70343633577158,36.1863353064963
GPT-4o (SR),Llama-70B (CC),623,34.13656712259299,23.6581808262238,32.27945981960004,35.915647178700716
Qwen-14B (SR),Qwen-72B (CC),623,34.07256860471854,23.729374920158527,32.240669943365624,35.9958438425002
Qwen-14B (SR),Llama-70B (CC),623,33.95585661105293,22.858478903176987,32.12668487606804,35.669029540317354
