Section,Model A,Model B,N Origins,Mean Jaccard (%),SD (%),95% CI
Top 10,MedGemma-27B (SR),Qwen-72B (SR),623,72.57301508906646,23.42045337243351,"[70.67, 74.36]"
Top 10,MedGemma-27B (SR),Llama-70B (SR),621,70.03309537125962,23.88029690837701,"[68.18, 71.88]"
Top 10,Qwen-72B (SR),Llama-70B (SR),622,68.99663796367976,23.87387005432553,"[67.11, 70.91]"
Top 10,GPT-5 (SR),MedGemma-27B (SR),623,65.53146158282594,25.08045397226142,"[63.56, 67.53]"
Top 10,GPT-5 (SR),Qwen-72B (SR),623,64.00368301831311,24.838907654352223,"[62.09, 65.94]"
Top 10,Human,Qwen-72B (SR),623,63.47629207781696,22.59147362318895,"[61.66, 65.17]"
Top 10,Qwen-14B (SR),Llama-70B (SR),622,61.75373974007415,30.097145749434493,"[59.32, 64.07]"
Top 10,Human,GPT-5 (SR),623,61.15115020105107,23.90086097356052,"[59.35, 63.03]"
Top 10,Human,MedGemma-27B (SR),623,61.01344793961166,23.14855196961568,"[59.18, 62.83]"
Top 10,GPT-5 (SR),Llama-70B (SR),623,61.01037740853573,25.68653054567208,"[59.04, 63.01]"
Bottom 10,Llama-70B (SR),Qwen-72B (CC),623,41.51583433981224,24.15764763338336,"[39.61, 43.45]"
Bottom 10,Llama-70B (SR),Llama-70B (CC),623,41.32654396191834,22.851643230095583,"[39.49, 43.12]"
Bottom 10,Human,GPT-4o (SR),623,40.451090286563804,26.322911374639364,"[38.32, 42.43]"
Bottom 10,GPT-4o (SR),Qwen-14B (SR),622,37.3280138493161,32.00386674099081,"[34.83, 39.78]"
Bottom 10,GPT-4o (SR),Qwen-14B (CC),623,34.863179472045495,23.930444961432173,"[32.94, 36.76]"
Bottom 10,GPT-4o (SR),Qwen-72B (CC),623,34.50428394295829,24.36259287948566,"[32.62, 36.44]"
Bottom 10,Qwen-14B (SR),Qwen-14B (CC),623,34.43530231557803,22.603177852643302,"[32.70, 36.19]"
Bottom 10,GPT-4o (SR),Llama-70B (CC),623,34.13656712259299,23.6581808262238,"[32.28, 35.92]"
Bottom 10,Qwen-14B (SR),Qwen-72B (CC),623,34.07256860471854,23.729374920158527,"[32.24, 36.00]"
Bottom 10,Qwen-14B (SR),Llama-70B (CC),623,33.95585661105293,22.858478903176987,"[32.13, 35.67]"
