,Human,GPT-4o (SR),GPT-5 (SR),MedGemma-27B (SR),Qwen-14B (SR),Qwen-72B (SR),Llama-70B (SR),Qwen-14B (CC),Qwen-72B (CC),Llama-70B (CC)
Human,100.0,40.45,61.15,61.01,43.99,63.48,54.6,57.84,55.8,55.73
GPT-4o (SR),40.45,100.0,43.74,46.09,37.33,47.25,44.2,34.86,34.5,34.14
GPT-5 (SR),61.15,43.74,100.0,65.53,49.85,64.0,61.01,47.85,46.53,46.24
MedGemma-27B (SR),61.01,46.09,65.53,100.0,58.67,72.57,70.03,46.7,45.38,45.3
Qwen-14B (SR),43.99,37.33,49.85,58.67,100.0,56.29,61.75,34.44,34.07,33.96
Qwen-72B (SR),63.48,47.25,64.0,72.57,56.29,100.0,69.0,49.71,48.7,48.27
Llama-70B (SR),54.6,44.2,61.01,70.03,61.75,69.0,100.0,41.58,41.52,41.33
Qwen-14B (CC),57.84,34.86,47.85,46.7,34.44,49.71,41.58,100.0,54.91,56.76
Qwen-72B (CC),55.8,34.5,46.53,45.38,34.07,48.7,41.52,54.91,100.0,54.68
Llama-70B (CC),55.73,34.14,46.24,45.3,33.96,48.27,41.33,56.76,54.68,100.0
