Base Model,Low+Irr Labelers,Total,MMLU,Jama,MedXpert,Medbullets,Total_STD,MMLU_STD,JAMA_STD,MedXpert_STD,MedBullets_STD
GPT4o,Original Accuracy,69.15384615384616,68.81028938906752,12.12121212121212,75.74850299401199,52.22666816809721,1.280964233426941,46.3516534100263,33.14339826398084,42.92471495430575,20.15250526653724
GPT4o,Trainee Removed,73.0,73.95498392282958,12.12121212121212,76.34730538922156,54.14116714442109,1.2313219912573017,43.91156384358971,33.14339826398084,42.55869335523184,21.021324614257928
GPT4o,Trainee Removed (IRR),44.53846153846154,45.98070739549839,12.12121212121212,43.71257485029941,33.9381647890033,1.378452755149532,49.86492110702456,33.14339826398084,49.677530923300935,10.928108620923815
GPT4o,Qwen-14B Removed,71.07692307692308,72.66881028938906,9.09090909090909,72.75449101796407,51.50473679942075,1.2575199382451976,44.58986516591411,29.19371040605711,44.58907703217236,21.20692827798104
GPT4o,Qwen-72B Removed,71.46153846153847,72.56162915326902,21.21212121212121,73.35329341317365,55.70901459285464,1.2525059087420598,44.64425077159147,41.51487502672805,44.2774595879133,17.24996060639337
GPT4o,Llama-70b Removed,65.76715497301466,68.06451612903226,9.09090909090909,64.97005988023952,47.37516170006029,1.3175164201601537,46.64775510149324,29.19371040605711,47.77794296147581,19.16295830719515
GPT4o,GPT-4o Removed,71.46153846153847,72.56162915326902,21.21212121212121,73.35329341317365,55.70901459285464,1.2525059087420598,44.64425077159147,41.51487502672805,44.2774595879133,17.24996060639337
GPT4o,GPT5 Removed,71.6923076923077,72.88317256162915,9.09090909090909,74.55089820359282,52.17499328537701,1.2494441185467082,44.48011883862611,29.19371040605711,43.62282493198558,21.54742103950584
GPT4o,MedGemma-27B Removed,69.61538461538461,71.70418006430869,12.12121212121212,69.46107784431138,51.09549000994407,1.2755803163177664,45.06778816093168,33.14339826398084,46.12631156568431,19.49789415640754
GPT 5,Original Accuracy,86.0,86.28081457663451,33.33333333333333,90.41916167664672,70.0111031955382,0.9623688721866716,34.42343040298488,47.8713553878169,29.47698839672651,18.377754494031564
GPT 5,Trainee Removed,84.76923076923077,85.7449088960343,33.33333333333333,87.12574850299401,68.73466357745389,0.9965712725741104,34.98017967789024,47.8713553878169,33.541723314277014,17.705152892072604
GPT 5,Qwen-14B Removed,85.07692307692307,86.17363344051448,27.27272727272727,87.72455089820359,67.05697053714844,0.9882422108337384,34.53616427912076,45.22670168666454,32.86475419223488,19.897159305891908
GPT 5,Qwen-72B Removed,82.28725452445128,82.76944489165933,36.36713690622046,85.48163588110648,68.20607255966209,1.0587306195387436,37.77599047521436,48.74657073020871,35.13618671878044,15.946412735967536
GPT 5,Llama-70b Removed,79.95373939861217,81.18279569892472,21.21212121212121,82.33532934131736,61.57674875078777,1.11164492094124,39.10597955498605,41.51487502672805,38.19416347381864,20.185055946588065
GPT 5,GPT-4o Removed,85.15384615384616,86.28081457663451,36.36363636363636,86.82634730538922,69.82359941522004,0.9861374145904648,34.42343040298488,48.85042104591972,33.87115350073877,16.730722708533786
GPT 5,GPT5 Removed,84.23076923076923,85.7449088960343,21.21212121212121,86.22754491017965,64.39485833944505,1.0108086777312442,34.98017967789024,41.51487502672805,34.5127693906399,21.59181807796804
GPT 5,MedGemma-27B Removed,84.15384615384616,84.78027867095392,33.33333333333333,87.42514970059881,68.51292056829536,1.0128082789563984,35.94046037819963,47.8713553878169,33.2063178593068,17.606356373079116
Qwen-14B,Original Accuracy,56.30769230769231,57.234726688102896,12.12121212121212,58.08383233532935,42.47992371488145,1.375671309621787,49.50035326157496,33.14339826398084,49.41622123356699,15.181334727451038
Qwen-14B,Trainee Removed,56.46153846153846,56.80600214362273,12.12121212121212,59.88023952095808,42.93581792859764,1.375121958426306,49.5611847810057,33.14339826398084,49.087628013242615,15.432840332242469
Qwen-14B,Qwen-14B Removed,53.899346907414525,55.3530425332941,12.124704594931256,53.96213564808503,40.47996092543679,1.3790400136294068,49.62292947286493,32.80649122996529,49.83111536550719,14.183508398001472
Qwen-14B,Qwen-72B Removed,56.163328197226505,57.25056652467657,11.114223903129911,57.58544544193585,41.98341195658077,1.3772115745555662,49.49312044810113,31.60316514505634,49.49209896365959,15.439542979613702
Qwen-14B,Llama-70b Removed,47.10871241326137,46.23655913978494,9.09090909090909,53.293413173652695,36.20696046811558,1.3860302181709236,49.88499105546818,29.19371040605711,49.96627227332291,13.710214913612226
Qwen-14B,GPT-4o Removed,56.76923076923077,57.66345123258306,12.12121212121212,58.68263473053892,42.82243269477804,1.3739828447011264,49.43572498956191,33.14339826398084,49.31422686015798,15.353429500502342
Qwen-14B,GPT5 Removed,57.15384615384615,59.05680600214362,6.06060606060606,56.88622754491018,40.66787986921995,1.3724830068184677,49.19927497461497,24.23058422987799,49.59783236105217,17.314978131259956
Qwen-14B,MedGemma-27B Removed,55.76923076923077,55.62700964630225,12.12121212121212,60.47904191616767,42.74242122789402,1.3774882315095112,49.70900514437037,33.14339826398084,48.96291890101679,15.37453944733855
Qwen 72B,Original Accuracy,53.56589147286822,56.57327586206896,6.25,49.69696969696969,37.50674851967955,1.3885702919970748,49.59276464915276,24.59346884189823,50.0750105114262,15.753932235433718
Qwen 72B,Trainee Removed,53.53846153846153,56.4844587352626,6.06060606060606,50.0,37.51502159862288,1.383273511510573,49.60432523726406,24.23058422987799,50.07501879687622,15.838215849657296
Qwen 72B,Qwen-14B Removed,55.65384615384615,57.39549839228296,4.545454545454545,55.83832335329341,39.25975876367697,1.3764965108060945,49.42160688793263,20.819174912723884,49.69374032666918,17.36324929605393
Qwen 72B,Qwen-72B Removed,56.833976833976834,58.67718771311188,1.5210015210015209,57.07677659773468,39.09165527728269,1.376340428502295,49.26104257022344,8.737488522872862,49.56616252962768,18.7957883058086
Qwen 72B,Llama-70b Removed,58.46153846153847,60.27837259100642,6.06060606060606,58.55855855855856,41.63251240339035,1.366748631118591,48.958363471762,24.23058422987799,49.33619935291618,17.79288088648017
Qwen 72B,GPT-4o Removed,60.61538461538461,62.59378349410504,3.03030303030303,60.77844311377245,42.13417654606017,1.3551365555565738,48.41393234838254,17.407765595569778,48.89768704314579,19.558958374841666
Qwen 72B,GPT5 Removed,54.32793807178044,57.24563206577595,6.06060606060606,51.32530120481928,38.21051311040043,1.321416975597327,49.49766480271668,24.23058422987799,50.04276152942783,16.16554949946142
Qwen 72B,MedGemma-27B Removed,58.692307692307686,59.59271168274384,3.03030303030303,61.67664670658682,41.43322047321123,1.3656341967075645,49.09749028182246,17.407765595569778,48.690389067252845,19.21088014113372
Llama-70B,Original Accuracy,54.0,54.340836012861736,15.151515151515149,56.88622754491018,42.12619290309569,1.3823057660189482,49.83793062000951,36.41095406272096,49.59783236105218,13.507339786995646
Llama-70B,Trainee Removed,62.23076923076923,64.84458735262594,15.151515151515149,59.58083832335329,46.52564694249812,1.3446212746814246,47.77116483918322,36.41095406272096,49.14711986970647,15.76048722480018
Llama-70B,Qwen-14B Removed,55.16711486746063,57.22624394703671,4.543708308594978,54.41307315472667,38.72767513678612,1.3548202033502963,48.6569432505714,20.81524320778671,48.80372617656228,17.118368863776674
Llama-70B,Qwen-72B Removed,62.841740469772816,63.92912010167717,6.060606060606059,65.41898874565078,45.13623830264467,1.3410060555143108,48.04637520481045,24.23058422987799,47.634268170541965,19.54264031457055
Llama-70B,Llama-70b Removed,62.37471087124133,64.19354838709678,6.06060606060606,62.87425149700599,44.37613531490294,1.3451608150094323,47.96892115148491,24.23058422987799,48.386603715364544,19.16154980334933
Llama-70B,GPT-4o Removed,65.07692307692308,66.77384780278672,3.03030303030303,66.46706586826348,45.42373890045106,1.322202821207718,47.12768340154811,17.407765595569778,47.28138050137462,21.19690293766288
Llama-70B,GPT5 Removed,64.3076923076923,66.2379421221865,6.06060606060606,64.67065868263472,45.65640228847576,1.3287616967654805,47.31520612366117,24.23058422987799,47.8710032307198,19.803067132258487
Llama-70B,MedGemma-27B Removed,62.846153846153854,64.41586280814576,6.06060606060606,64.07185628742515,44.849441718725664,1.3401998505851358,47.9024250242994,24.23058422987799,48.05097004295932,19.394672068259982
MedGemma-27B,Original Accuracy,21.69230769230769,26.79528403001072,3.03030303030303,9.2814371257485,13.035674728687416,1.1430978678785448,44.313043391823534,17.407765595569778,29.0607495067218,7.112531323038404
