scope,x_tick,x_label,original_acc_pct,best_acc_pct,abs_delta_pct_points,original_k,original_n_inferred,best_k,best_n_inferred,p_raw,star,source_from_report
jama,0.0,GPT4o,12.12121212121212,21.21212121212121,9.090909090909092,4,33,7,33,0.3217503382388916,,Original Accuracy → Qwen-72B Removed
jama,2.25,Qwen-14B,12.12121212121212,12.124704594931256,0.0034924737191364,4,33,242,1996,0.9995771069023368,,Original Accuracy → Original Accuracy
jama,4.5,Qwen 72B,6.25,6.06060606060606,-0.1893939393939403,10,160,2,33,0.9672772311847616,,Original Accuracy → Trainee Removed
jama,6.75,Llama-70B,15.151515151515149,15.151515151515149,0.0,5,33,5,33,1.0,,Original Accuracy → Original Accuracy
jama,9.0,MedGemma-27B,3.03030303030303,6.25,3.21969696969697,1,33,10,160,0.4675907799236264,,Original Accuracy → Llama-70b Removed
jama,11.25,GPT 5,33.33333333333333,36.36713690622046,3.0338035728871304,11,33,12,33,0.7961527042719321,,Original Accuracy → Qwen-72B Removed
jama,13.5,Physician + Trainee,62.8,71.19,8.39,157,250,1421,1996,0.0062092608161286,*,Physician+Trainee (custom computation)
medbullets,0.0,GPT4o,52.22666816809721,55.70901459285464,3.4823464247574307,130,249,517,928,0.3239580649815625,,Original Accuracy → Qwen-72B Removed
medbullets,2.25,Qwen-14B,42.47992371488145,42.93581792859764,0.4558942137161921,848,1996,857,1996,0.7733721111207289,,Original Accuracy → Trainee Removed
medbullets,4.5,Qwen 72B,37.50674851967955,42.13417654606017,4.6274280263806205,350,933,841,1996,0.017689695398755,*,Original Accuracy → GPT-4o Removed
medbullets,6.75,Llama-70B,42.12619290309569,46.52564694249812,4.399454039402428,393,933,341,733,0.0726143067554624,,Original Accuracy → Trainee Removed
medbullets,9.0,MedGemma-27B,13.035674728687416,35.14963291099322,22.1139581823058,121,928,328,933,7.178514795510092e-29,***,Original Accuracy → Qwen-72B Removed
medbullets,11.25,GPT 5,70.0111031955382,69.82359941522004,-0.1875037803181527,523,747,648,928,0.9343183680767048,,Original Accuracy → GPT-4o Removed
medbullets,13.5,Physician + Trainee,72.69,86.88,14.189999999999998,181,249,649,747,1.9574317778112737e-07,***,Physician+Trainee (custom computation)
medxpert,0.0,GPT4o,75.74850299401199,76.34730538922156,0.5988023952095745,253,334,255,334,0.8561227428959528,,Original Accuracy → Trainee Removed
medxpert,2.25,Qwen-14B,58.08383233532935,60.47904191616767,2.395209580838319,194,334,202,334,0.5286892466828393,,Original Accuracy → MedGemma-27B Removed
medxpert,4.5,Qwen 72B,49.69696969696969,61.67664670658682,11.979677009617134,992,1996,206,334,5.044350458785574e-05,***,Original Accuracy → MedGemma-27B Removed
medxpert,6.75,Llama-70B,56.88622754491018,66.46706586826348,9.580838323353298,190,334,222,334,0.0108761804314549,*,Original Accuracy → GPT-4o Removed
medxpert,9.0,MedGemma-27B,9.2814371257485,48.0272144255195,38.74577729977101,31,334,352,733,2.0635436853052772e-34,***,Original Accuracy → Qwen-72B Removed
medxpert,11.25,GPT 5,90.41916167664672,87.72455089820359,-2.694610778443135,302,334,293,334,0.264370841187344,,Original Accuracy → Qwen-14B Removed
medxpert,13.5,Physician + Trainee,27.31,43.36,16.05,68,249,405,934,4.3347683825807794e-06,***,Physician+Trainee (custom computation)
mmlu,0.0,GPT4o,68.81028938906752,73.95498392282958,5.144694533762063,642,933,690,933,0.0139509750732147,*,Original Accuracy → Trainee Removed
mmlu,2.25,Qwen-14B,57.234726688102896,59.05680600214362,1.822079314040721,534,933,551,933,0.4250182024667077,,Original Accuracy → GPT5 Removed
mmlu,4.5,Qwen 72B,56.57327586206896,62.59378349410504,6.020507632036079,525,928,584,933,0.0081366854151678,*,Original Accuracy → GPT-4o Removed
mmlu,6.75,Llama-70B,54.340836012861736,66.77384780278672,12.433011789924985,507,933,623,933,3.9160826001524686e-08,***,Original Accuracy → GPT-4o Removed
mmlu,9.0,MedGemma-27B,26.79528403001072,51.97404917232503,25.17876514231431,250,933,381,733,7.104639448175019e-26,***,Original Accuracy → Qwen-72B Removed
mmlu,11.25,GPT 5,86.28081457663451,86.28081457663451,0.0,805,933,805,933,1.0,,Original Accuracy → Original Accuracy
mmlu,13.5,Physician + Trainee,75.2,97.4,22.200000000000003,188,250,187,192,1.1195478094091264e-10,***,Physician+Trainee (custom computation)
