scope,comparison,original_n,original_k,original_acc_pct,condition_n,condition_k,condition_acc_pct,delta_pct,z_stat,p_raw,p_bonferroni_global_15,p_bonferroni_within_scope_3,star_raw,star_bonf15,star_bonf3
jama,Original vs GPT5 Removed,750,471,62.8,295,133,45.08474576271186,-17.715254237288136,-5.219265747990726,1.7963385775564248e-07,2.694507866334637e-06,5.389015732669274e-07,***,***,***
jama,Original vs Qwen-72B Removed,750,471,62.8,295,155,52.54237288135593,-10.257627118644066,-3.045457298885247,0.002323267661313456,0.03484901491970184,0.006969802983940369,*,*,*
jama,Original vs Trainee Removed,750,471,62.8,295,210,71.1864406779661,8.386440677966107,2.561257342589133,0.010429407025990073,0.1564411053898511,0.03128822107797022,*,,*
medbullets,Original vs GPT5 Removed,249,181,72.69076305220884,160,107,66.875,-5.815763052208837,-1.2575900537379807,0.20854005229183237,1.0,0.6256201568754971,,,
medbullets,Original vs Qwen-72B Removed,249,181,72.69076305220884,160,111,69.375,-3.315763052208837,-0.7241365192742849,0.46898192635465175,1.0,1.0,,,
medbullets,Original vs Trainee Removed,249,181,72.69076305220884,160,139,86.875,14.184236947791163,3.3927925353758557,0.0006918401521398826,0.010377602282098239,0.0020755204564196477,***,*,*
medxpert,Original vs GPT5 Removed,747,204,27.309236947791163,286,58,20.27972027972028,-7.029516668070883,-2.323491609945417,0.02015275785659004,0.3022913678488506,0.06045827356977011,*,,
medxpert,Original vs Qwen-72B Removed,747,204,27.309236947791163,286,81,28.321678321678323,1.0124413738871603,0.3257542824653963,0.7446102708264237,1.0,1.0,,,
medxpert,Original vs Trainee Removed,747,204,27.309236947791163,286,124,43.35664335664335,16.04740640885219,4.9575471043673,7.138873760307436e-07,1.0708310640461154e-05,2.141662128092231e-06,***,***,***
mmlu,Original vs GPT5 Removed,250,188,75.2,192,146,76.04166666666667,0.8416666666666686,0.20412056884054844,0.83825928110039,1.0,1.0,,,
mmlu,Original vs Qwen-72B Removed,250,188,75.2,192,159,82.8125,7.612499999999997,1.9312234176741834,0.053455429232356605,0.8018314384853491,0.16036628769706981,,,
mmlu,Original vs Trainee Removed,250,188,75.2,192,187,97.39583333333333,22.195833333333326,6.449858295588168,1.1195478094091265e-10,1.6793217141136899e-09,3.3586434282273793e-10,***,***,***
overall,Original vs GPT5 Removed,1996,1044,52.30460921843687,933,444,47.58842443729903,-4.716184781137841,-2.378691565818189,0.017374206664728116,0.26061309997092175,0.05212261999418435,*,,
overall,Original vs Qwen-72B Removed,1996,1044,52.30460921843687,933,506,54.233654876741696,1.9290456583048226,0.9744853197812019,0.3298156246795817,1.0,0.9894468740387451,,,
overall,Original vs Trainee Removed,1996,1044,52.30460921843687,933,660,70.73954983922829,18.434940620791416,9.423661541881552,4.356258568414685e-21,6.534387852622028e-20,1.3068775705244055e-20,***,***,***
