model,scope,r1_correct,r2_correct,delta,r1_acc_pct,r2_acc_pct,delta_pct_pt
Qwen-14B,ALL,534,521,-13,57.23,55.84,-1.39
Qwen-14B,mmlu,167,163,-4,86.98,84.9,-2.08
Qwen-14B,jama,203,204,1,68.81,69.15,0.34
Qwen-14B,medxpert,65,50,-15,22.73,17.48,-5.24
Qwen-14B,medbullets,99,104,5,61.88,65.0,3.12
Qwen-72B,ALL,527,570,43,56.48,61.09,4.61
Qwen-72B,mmlu,164,176,12,85.42,91.67,6.25
Qwen-72B,jama,176,218,42,59.66,73.9,14.24
Qwen-72B,medxpert,74,54,-20,25.87,18.88,-6.99
Qwen-72B,medbullets,113,122,9,70.62,76.25,5.62
Llama-70B,ALL,507,572,65,54.34,61.31,6.97
Llama-70B,mmlu,153,178,25,79.69,92.71,13.02
Llama-70B,jama,186,216,30,63.05,73.22,10.17
Llama-70B,medxpert,73,56,-17,25.52,19.58,-5.94
Llama-70B,medbullets,95,122,27,59.38,76.25,16.88
MedGemma-27B,ALL,250,186,-64,26.8,19.94,-6.86
MedGemma-27B,mmlu,104,54,-50,54.17,28.12,-26.04
MedGemma-27B,jama,39,39,0,13.22,13.22,0.0
MedGemma-27B,medxpert,38,31,-7,13.29,10.84,-2.45
MedGemma-27B,medbullets,69,62,-7,43.12,38.75,-4.38
