model,scope,r1_correct,r2_correct,delta,r1_acc_pct,r2_acc_pct,delta_pct_pt
Qwen-14B,ALL,534,552,18,57.23,59.16,1.93
Qwen-14B,mmlu,167,173,6,86.98,90.1,3.12
Qwen-14B,jama,203,216,13,68.81,73.22,4.41
Qwen-14B,medxpert,65,53,-12,22.73,18.53,-4.2
Qwen-14B,medbullets,99,110,11,61.88,68.75,6.88
Qwen-72B,ALL,527,608,81,56.48,65.17,8.68
Qwen-72B,mmlu,164,188,24,85.42,97.92,12.5
Qwen-72B,jama,176,232,56,59.66,78.64,18.98
Qwen-72B,medxpert,74,58,-16,25.87,20.28,-5.59
Qwen-72B,medbullets,113,130,17,70.62,81.25,10.62
Llama-70B,ALL,507,616,109,54.34,66.02,11.68
Llama-70B,mmlu,153,192,39,79.69,100.0,20.31
Llama-70B,jama,186,233,47,63.05,78.98,15.93
Llama-70B,medxpert,73,60,-13,25.52,20.98,-4.55
Llama-70B,medbullets,95,131,36,59.38,81.88,22.5
MedGemma-27B,ALL,250,189,-61,26.8,20.26,-6.54
MedGemma-27B,mmlu,104,55,-49,54.17,28.65,-25.52
MedGemma-27B,jama,39,40,1,13.22,13.56,0.34
MedGemma-27B,medxpert,38,31,-7,13.29,10.84,-2.45
MedGemma-27B,medbullets,69,63,-6,43.12,39.38,-3.75
