model,source,n_source,r2_correct,r2_incorrect,r2_acc_pct
Qwen-72B,mmlu,192,176,16,91.67
Qwen-72B,jama,295,218,77,73.9
Qwen-72B,medxpert,286,54,232,18.88
Qwen-72B,medbullets,160,122,38,76.25
Qwen-14B,mmlu,192,163,29,84.9
Qwen-14B,jama,295,204,91,69.15
Qwen-14B,medxpert,286,50,236,17.48
Qwen-14B,medbullets,160,104,56,65.0
Llama-70B,mmlu,192,178,14,92.71
Llama-70B,jama,295,216,79,73.22
Llama-70B,medxpert,286,56,230,19.58
Llama-70B,medbullets,160,122,38,76.25
MedGemma-27B,mmlu,192,54,138,28.12
MedGemma-27B,jama,295,39,256,13.22
MedGemma-27B,medxpert,286,31,255,10.84
MedGemma-27B,medbullets,160,62,98,38.75
GPT4o,mmlu,192,97,95,50.52
GPT4o,jama,295,127,168,43.05
GPT4o,medxpert,286,65,221,22.73
GPT4o,medbullets,160,73,87,45.62
GPT 5,mmlu,192,170,22,88.54
GPT 5,jama,295,218,77,73.9
GPT 5,medxpert,286,167,119,58.39
GPT 5,medbullets,160,134,26,83.75
