QA_ID,14B_Sentences
Merge_Q1,"1,2,3,4,5,6"
Merge_Q10,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q100,"1,2,3,6,7,8,11,12"
Merge_Q1000,"1,2,3,4,5,6,7,8,9"
Merge_Q1001,"1,2,3,4,7,8,9,10"
Merge_Q1002,"1,2,3,4,5,6,7,10"
Merge_Q1005,"1,2,3,4,5,6,7,8"
Merge_Q1006,"1,2,5,6,9,10"
Merge_Q1007,"1,2,5,6,9,12,13"
Merge_Q1008,"1,3,9"
Merge_Q1009,"20,21"
Merge_Q101,"1,2,3,4,7,8,9,12,13,16,17,18"
Merge_Q1010,6
Merge_Q1011,"1,2,3,5,6,7,8,9,10,11,14,15,16,17,18,19,20"
Merge_Q1012,"1,2,3,4"
Merge_Q1013,"1,6,7,8,9"
Merge_Q1015,"1,3,4,5,6,7,8,9,12,14,17"
Merge_Q1016,"1,2,3,4,5,6,9,10,11"
Merge_Q1017,"1,2,3,4,5,6,7,8,9,10,13,14,15"
Merge_Q1018,"1,2,3,4,5,6,7,8"
Merge_Q1019,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q102,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge_Q1020,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,20"
Merge_Q1021,"1,2,3,4,5,6,7,8,9"
Merge_Q1022,8
Merge_Q1023,"1,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1025,"1,2,3,4,5,6,7,10,11,12,15"
Merge_Q1027,"1,2,3,4,5,6,7,8,9,10"
Merge_Q103,"1,2,3,4,5,6,10,11,12,13"
Merge_Q1030,"1,2,3,4,5,6,7,8,9"
Merge_Q1032,"1,2,3,4,5,6,7,10"
Merge_Q1033,"1,2,3,4,5,6,7,8"
Merge_Q1034,9
Merge_Q1036,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1037,"1,2,3,4,5,6,7,8"
Merge_Q1038,"1,2,3,4,5,6"
Merge_Q1039,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q104,"1,2,3,6,7,8,9,10,11,12,13"
Merge_Q1040,"1,2,3,4,5,6,7"
Merge_Q1041,"1,2,3,4,5,6,7"
Merge_Q1042,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1044,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1045,"1,2,3,4,5,6,7"
Merge_Q1046,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1047,"1,2,3,4,5,6,7,8,10"
Merge_Q1048,"1,2,3,4,5,6"
Merge_Q1049,1
Merge_Q105,"1,2,3,4"
Merge_Q1050,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1051,"1,2,3,4,5,6"
Merge_Q1052,"1,2,3,4,5,6,7,8"
Merge_Q1053,"1,2,3,4,5,6,7,8,9"
Merge_Q1054,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1055,"1,2,3,4,5,6,7,8,9"
Merge_Q1056,10
Merge_Q1057,6
