QA_ID_std,14B_sentence_number,4k_ID_std,ID_corr,human_sentence_ids,data_source_corr,sentence_number_corr,keep_k
Merge Q1,"1,2,3,4,5,6",Merge Q1,ID1207,"1, 3, 4, 6",jama,6.0,4.0
Merge Q10,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q10,ID0589,"1, 2, 3, 4, 7, 11, 12",jama,12.0,7.0
Merge Q100,"1,2,3,5,6,7,8,10,11,12",Merge Q100,ID1123,"1, 2, 5, 6, 7, 8, 10, 11, 12",jama,12.0,9.0
Merge Q1000,"1,2,3,4,5,6,7,8,9,10",Merge Q1000,ID0021,"1, 2, 4, 5, 6, 8, 9, 10, 11",jama,11.0,9.0
Merge Q1001,"1,2,3,4,6,7,8,9,10,12,13",Merge Q1001,ID0044,"1, 2, 6, 8, 9, 12, 13",jama,13.0,7.0
Merge Q1006,"1,2,3,5,6,8,9,10,12",Merge Q1006,ID1702,"1, 3, 6, 8, 9, 12",jama,12.0,6.0
Merge Q1007,"1,2,4,5,6,9,10,12,13",Merge Q1007,ID1903,"1, 2, 4, 5, 7, 10",jama,13.0,6.0
Merge Q1008,"1,2,3",Merge Q1008,ID0280,"1, 5, 6, 7",jama,7.0,4.0
Merge Q101,"1,2,3,4,6,7,8,9,11,12,13,15,16,17,18",Merge Q101,ID1148,"1, 2, 3, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17",jama,18.0,13.0
Merge Q1012,"1,2,3,4,6",Merge Q1012,ID0395,"1, 3, 6",jama,6.0,3.0
Merge Q1017,"1,2,3,4,5,6,7,8,9,10,11,13,14,15",Merge Q1017,ID0172,"1, 2, 5, 6, 7, 8, 10, 11, 12, 14",jama,15.0,10.0
Merge Q1018,"1,2,3,4,5,6,7,8",Merge Q1018,ID0769,"1, 2, 4, 5, 6, 7, 8",jama,9.0,6.0
Merge Q1019,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1019,ID0809,"1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",jama,14.0,12.0
