QA_ID_std,14B_sentence_number
Merge Q1,"1,2,3,4,5,6"
Merge Q10,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q100,"1,2,3,5,6,7,8,10,11,12"
Merge Q1000,"1,2,3,4,5,6,7,8,9,10"
Merge Q1001,"1,2,3,4,6,7,8,9,10,12,13"
Merge Q1006,"1,2,3,5,6,8,9,10,12"
Merge Q1007,"1,2,4,5,6,9,10,12,13"
Merge Q1008,"1,2,3"
Merge Q101,"1,2,3,4,6,7,8,9,11,12,13,15,16,17,18"
Merge Q1012,"1,2,3,4,6"
Merge Q1017,"1,2,3,4,5,6,7,8,9,10,11,13,14,15"
Merge Q1018,"1,2,3,4,5,6,7,8"
Merge Q1019,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q102,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q1020,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q1023,"1,2,3,4,5,6,7,8,9,10,11,12,13,15"
Merge Q1025,"1,2,3,4,5,6,7,9,10,11,12,13,15"
Merge Q1027,"1,2,3,4,5,6,7,8,9,10"
Merge Q103,"1,2,3,4,5,6,7,10,11,12,13"
Merge Q1032,"1,2,3,4,5,6,7,8,10"
Merge Q1033,"1,2,3,4,5,6,7,8"
Merge Q1037,"1,2,3,4,5,6,7,8"
Merge Q1039,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q104,"1,2,3,4,6,7,8,9,10,11,12,13,15,16"
Merge Q1040,"1,2,3,4,5,6,7"
Merge Q1041,"1,2,3,4,5,6,7"
Merge Q1042,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1044,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1046,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1047,"1,2,3,4,5,6,7,8,9,10"
Merge Q1050,"1,2,3,4,5,6,7,8,9,10"
Merge Q1051,"1,2,3,4,5,6"
Merge Q1053,"1,2,3,4,5,6,7,8,9"
Merge Q1054,"1,2,3,4,5,6,7,8,9,10"
Merge Q1055,"1,2,3,4,5,6,7,8,9"
Merge Q1058,"1,2,3,4,5,6,7,8,9"
Merge Q1060,"1,2,3,4,5,6,7,8,9,10"
Merge Q1061,"1,2,3,4"
Merge Q1062,"1,2,3,4,5,6,7,8,9"
Merge Q1063,"1,2,3,4,5,6,7"
Merge Q1065,"1,2,3,4,5,6,7,8,9"
Merge Q1066,"1,2,3,4,5,6,7,8"
Merge Q1067,"1,2,3,4,5,6,7,8,9"
Merge Q1068,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1069,"1,2,3,4,5,6,7"
Merge Q107,"1,2,3,4,5,6,7,9,10,11,12,13,14,15"
Merge Q1070,"1,2,3,4,5,6,7,8"
Merge Q1072,"1,2,3,4,5,6,7,8,9"
Merge Q1074,"1,2,3,4,5,6,7,8"
Merge Q1076,"1,2,3,4,5,6,7,8,9"
Merge Q1077,"1,2,3,4,5,6,7,8,9"
