Origin,QA_ID,data_source,sentence_num,Score_raw,score_normalized,rank,trainee_High_K,is_selected_topK
ID0002,Merge Q229,jama,1,87.03992770628197,1.0,1,5,True
ID0002,Merge Q229,jama,2,0.0,0.018707758282839253,5,5,True
ID0002,Merge Q229,jama,3,7.299365995793895,0.10100115408272617,4,5,True
ID0002,Merge Q229,jama,4,24.023567512631416,0.28955058915081816,2,5,True
ID0002,Merge Q229,jama,5,0.0,0.018707758282839253,6,5,False
ID0002,Merge Q229,jama,6,0.0,0.018707758282839253,7,5,False
ID0002,Merge Q229,jama,7,0.0,0.018707758282839253,8,5,False
ID0002,Merge Q229,jama,8,0.0,0.018707758282839253,9,5,False
ID0002,Merge Q229,jama,9,-1.6593649264316308,0.0,11,5,False
ID0002,Merge Q229,jama,10,-0.0,0.018707758282839253,10,5,False
ID0002,Merge Q229,jama,11,15.669734272958149,0.19536908001224074,3,5,True
ID0003,Merge Q2235,medxpert,1,12.004177256832866,0.25898039669654077,2,6,True
ID0003,Merge Q2235,medxpert,2,8.981546150234257,0.19376957996950225,3,6,True
ID0003,Merge Q2235,medxpert,3,0.0,0.0,6,6,True
ID0003,Merge Q2235,medxpert,4,0.0,0.0,7,6,False
ID0003,Merge Q2235,medxpert,5,3.1789290738289333,0.06858281871352465,5,6,True
ID0003,Merge Q2235,medxpert,6,46.35168302293827,1.0,1,6,True
ID0003,Merge Q2235,medxpert,7,3.9062522815088783,0.08427422753076244,4,6,True
ID0010,Merge Q3192,medxpert,1,0.0693028043059231,1.0,1,4,True
ID0010,Merge Q3192,medxpert,2,-0.2628576007947257,0.0,7,4,False
ID0010,Merge Q3192,medxpert,3,-0.0,0.791357418760001,2,4,True
ID0010,Merge Q3192,medxpert,4,-0.0675011106619674,0.5881390049291481,6,4,False
ID0010,Merge Q3192,medxpert,5,-0.0,0.791357418760001,3,4,True
ID0010,Merge Q3192,medxpert,6,-0.0,0.791357418760001,4,4,True
ID0010,Merge Q3192,medxpert,7,-0.0,0.791357418760001,5,4,False
ID0013,Merge Q3811,mmlu,1,54.19793027005152,1.0,1,6,True
ID0013,Merge Q3811,mmlu,2,21.520531313145,0.37745469187517683,4,6,True
ID0013,Merge Q3811,mmlu,3,51.61446005105972,0.9507816621012418,2,6,True
ID0013,Merge Q3811,mmlu,4,32.38075975738927,0.584355622761509,3,6,True
ID0013,Merge Q3811,mmlu,5,1.7079371234730991,0.0,7,6,False
ID0013,Merge Q3811,mmlu,6,12.638450811965331,0.20823995267000223,6,6,True
ID0013,Merge Q3811,mmlu,7,15.917348670223957,0.27070705662069805,5,6,True
ID0016,Merge Q644,jama,1,0.2090592850438316,0.47548917271564556,4,6,True
ID0016,Merge Q644,jama,2,-0.8246020674393063,0.36665469280300694,6,6,True
ID0016,Merge Q644,jama,3,-4.306924819946289,0.0,7,6,False
ID0016,Merge Q644,jama,4,1.221182285716728,0.5820558738128995,2,6,True
ID0016,Merge Q644,jama,5,0.3796240941965603,0.4934479870322894,3,6,True
ID0016,Merge Q644,jama,6,-0.6133517024733378,0.3888973001590765,5,6,True
ID0016,Merge Q644,jama,7,5.190629202573573,1.0,1,6,True
ID0018,Merge Q319,jama,1,1.5686757403939744,0.3876280137084817,2,6,True
ID0018,Merge Q319,jama,2,0.653943800785381,0.2483452993611768,4,6,True
ID0018,Merge Q319,jama,3,-0.9770509600639344,0.0,12,6,False
ID0018,Merge Q319,jama,4,-0.631892592154317,0.05255593718823019,11,6,False
ID0018,Merge Q319,jama,5,0.1536585072554331,0.17216878183331474,6,6,True
ID0018,Merge Q319,jama,6,-0.2436115971387437,0.11167799095447582,9,6,False
ID0018,Merge Q319,jama,7,1.1687507527931258,0.32673297397455353,3,6,True
ID0018,Merge Q319,jama,8,0.0,0.14877179191050793,7,6,False
ID0018,Merge Q319,jama,9,0.5328458632527802,0.22990618216076705,5,6,True
ID0018,Merge Q319,jama,10,-0.2576389007441097,0.10954210738407692,10,6,False
ID0018,Merge Q319,jama,11,5.590396722838674,1.0,1,6,True
ID0018,Merge Q319,jama,12,0.0,0.14877179191050793,8,6,False
ID0021,Merge Q1000,jama,1,29.02838090547948,0.5418422231335835,2,6,True
ID0021,Merge Q1000,jama,2,11.188491775466678,0.20884379589997473,5,6,True
ID0021,Merge Q1000,jama,3,2.770449072122574,0.051713055895374054,7,6,False
ID0021,Merge Q1000,jama,4,6.538907739512919,0.12205490612720596,6,6,True
ID0021,Merge Q1000,jama,5,-0.0,-0.0,8,6,False
ID0021,Merge Q1000,jama,6,11.285673408926904,0.21065778313175665,4,6,True
ID0021,Merge Q1000,jama,7,0.0,0.0,9,6,False
ID0021,Merge Q1000,jama,8,-0.0,-0.0,10,6,False
ID0021,Merge Q1000,jama,9,53.57349365946873,1.0,1,6,True
ID0021,Merge Q1000,jama,10,11.833521634408951,0.22088388914164947,3,6,True
ID0021,Merge Q1000,jama,11,0.0,0.0,11,6,False
ID0024,Merge Q4048,mmlu,1,-0.2217188187967464,0.713012253522924,3,2,False
ID0024,Merge Q4048,mmlu,2,-0.7725724234517337,0.0,4,2,False
ID0024,Merge Q4048,mmlu,3,-0.1417225152254104,0.8165576314616353,2,2,True
ID0024,Merge Q4048,mmlu,4,-0.0,1.0,1,2,True
ID0025,Merge Q3272,medxpert,1,0.2509586426832302,0.0,5,3,False
ID0025,Merge Q3272,medxpert,2,0.3521391263847347,0.03628207407117931,4,3,False
ID0025,Merge Q3272,medxpert,3,1.0322412252426147,0.2801583022133779,2,3,True
ID0025,Merge Q3272,medxpert,4,0.3549371951612867,0.037285427038996795,3,3,True
ID0025,Merge Q3272,medxpert,5,3.0396769365438696,1.0,1,3,True
ID0027,Merge Q3993,mmlu,1,10.1282929922745,1.0,1,3,True
ID0027,Merge Q3993,mmlu,2,0.0,0.043961197118101654,5,3,False
ID0027,Merge Q3993,mmlu,3,0.5988149046897888,0.10048506397939198,3,3,True
ID0027,Merge Q3993,mmlu,4,-0.4657257460273503,0.0,8,3,False
ID0027,Merge Q3993,mmlu,5,0.2896601535751334,0.07130305488996774,4,3,False
ID0027,Merge Q3993,mmlu,6,1.956051112229811,0.22859850620250605,2,3,True
ID0027,Merge Q3993,mmlu,7,-0.3533082724312124,0.010611409737241758,7,3,False
ID0027,Merge Q3993,mmlu,8,-0.0305717608362628,0.04107544039145618,6,3,False
ID0028,Merge Q1318,medbullets,1,0.8708588968904071,1.0,1,3,True
ID0028,Merge Q1318,medbullets,2,-0.1765927077459174,0.0,6,3,False
ID0028,Merge Q1318,medbullets,3,0.002196192741394,0.1706894139031721,3,3,True
ID0028,Merge Q1318,medbullets,4,-0.1509742681959912,0.024457874174359528,5,3,False
ID0028,Merge Q1318,medbullets,5,-0.0,0.16859271298479747,4,3,False
ID0028,Merge Q1318,medbullets,6,0.0912135292872275,0.2556740911444088,2,3,True
ID0029,Merge Q1214,medbullets,1,2.5890483060091345,0.9380345899358148,2,2,True
ID0029,Merge Q1214,medbullets,2,0.0,0.1843336157764176,3,2,False
ID0029,Merge Q1214,medbullets,3,-0.5090017318725586,0.03615750787191945,9,2,False
ID0029,Merge Q1214,medbullets,4,-0.6332068711981541,0.0,12,2,False
ID0029,Merge Q1214,medbullets,5,-0.5922361876706999,0.011927025082903065,11,2,False
ID0029,Merge Q1214,medbullets,6,-0.0,0.1843336157764176,4,2,False
ID0029,Merge Q1214,medbullets,7,-0.1329018451257938,0.14564439939277446,6,2,False
ID0029,Merge Q1214,medbullets,8,0.0,0.1843336157764176,5,2,False
ID0029,Merge Q1214,medbullets,9,-0.4302345046394183,0.05908753036692769,8,2,False
ID0029,Merge Q1214,medbullets,10,-0.3850453834411751,0.0722425899266402,7,2,False
ID0029,Merge Q1214,medbullets,11,-0.5293490891966673,0.030234164147062734,10,2,False
ID0029,Merge Q1214,medbullets,12,2.801906515641634,1.0,1,2,True
ID0032,Merge Q1199,medbullets,1,3.780633360949391,1.0,1,5,True
ID0032,Merge Q1199,medbullets,2,1.7442988820443526,0.7865801621598462,4,5,True
ID0032,Merge Q1199,medbullets,3,2.296140670776367,0.8444164293765833,3,5,True
ID0032,Merge Q1199,medbullets,4,-1.3044725048234826,0.467050977864491,5,5,True
ID0032,Merge Q1199,medbullets,5,2.9198776504604056,0.9097877357302693,2,5,True
ID0032,Merge Q1199,medbullets,6,-5.760815547985696,0.0,7,5,False
ID0032,Merge Q1199,medbullets,7,-1.9105141914633987,0.4035342423640379,6,5,False
ID0034,Merge Q1218,medbullets,1,1.312934409727827,1.0,1,7,True
ID0034,Merge Q1218,medbullets,2,0.7937040652673671,0.7041373256417796,2,7,True
ID0034,Merge Q1218,medbullets,3,-0.0418424755334854,0.22803450008566403,8,7,False
ID0034,Merge Q1218,medbullets,4,0.6539395224876599,0.6244980829657247,3,7,True
ID0034,Merge Q1218,medbullets,5,0.4278539379718197,0.49567224221444,5,7,True
ID0034,Merge Q1218,medbullets,6,0.0305440303844223,0.26928105945340186,7,7,True
ID0034,Merge Q1218,medbullets,7,0.2927693687819206,0.418699695576047,6,7,True
ID0034,Merge Q1218,medbullets,8,-0.4420363569860356,0.0,11,7,False
ID0034,Merge Q1218,medbullets,9,-0.1644457185090735,0.1581739387014083,9,7,False
ID0034,Merge Q1218,medbullets,10,0.4849039900942204,0.5281799359062418,4,7,True
ID0034,Merge Q1218,medbullets,11,-0.3155513875753227,0.07207240816184804,10,7,False
ID0039,Merge Q3915,mmlu,1,1.7976762152113948,1.0,1,2,True
ID0039,Merge Q3915,mmlu,2,1.323970455759743,0.8456821359862186,2,2,True
ID0039,Merge Q3915,mmlu,3,-1.2719992399215698,0.0,4,2,False
ID0039,Merge Q3915,mmlu,4,0.9407616845189144,0.7208452348734169,3,2,False
ID0041,Merge Q715,jama,1,22.71344192119222,0.43111071514745325,4,7,True
ID0041,Merge Q715,jama,2,-0.3659472875421691,0.051756314772026656,12,7,False
ID0041,Merge Q715,jama,3,-1.891333445906639,0.02668364295156381,13,7,False
ID0041,Merge Q715,jama,4,36.69229646662507,0.660880226639165,3,7,True
ID0041,Merge Q715,jama,5,0.0,0.05777136623543521,9,7,False
ID0041,Merge Q715,jama,6,0.0,0.05777136623543521,10,7,False
ID0041,Merge Q715,jama,7,-3.5147288265232275,0.0,14,7,False
ID0041,Merge Q715,jama,8,57.32386744623376,1.0,1,7,True
ID0041,Merge Q715,jama,9,3.2164194814706835,0.11063944141341181,7,7,True
ID0041,Merge Q715,jama,10,4.185031516401006,0.12656045363709553,6,7,True
ID0041,Merge Q715,jama,11,1.9750871471750773,0.09023574359089212,8,7,False
ID0041,Merge Q715,jama,12,0.0,0.05777136623543521,11,7,False
ID0041,Merge Q715,jama,13,37.95852950090949,0.6816932156273976,2,7,True
ID0041,Merge Q715,jama,14,18.895444574433967,0.36835454421870484,5,7,True
ID0042,Merge Q1521,medxpert,1,0.9496365978247238,0.42679426057277803,4,7,True
ID0042,Merge Q1521,medxpert,2,-0.7315908805560235,0.0,8,7,False
ID0042,Merge Q1521,medxpert,3,-0.2431596368551254,0.12399253175230183,6,7,True
ID0042,Merge Q1521,medxpert,4,-0.1822835706288315,0.13944645217992557,5,7,True
ID0042,Merge Q1521,medxpert,5,1.3181577220179357,0.5203465625235977,3,7,True
ID0042,Merge Q1521,medxpert,6,2.6308557878410164,0.8535864170719406,2,7,True
ID0042,Merge Q1521,medxpert,7,3.207608011492011,1.0,1,7,True
ID0042,Merge Q1521,medxpert,8,-0.311894699082628,0.10654353663650394,7,7,True
ID0045,Merge Q1595,medxpert,1,0.1727539477358195,0.4826234466966595,2,1,False
ID0045,Merge Q1595,medxpert,2,0.0,0.0,3,1,False
ID0045,Merge Q1595,medxpert,3,0.3579476896910886,1.0,1,1,True
ID0046,Merge Q1115,medbullets,1,1.280231965898249,1.0,1,9,True
ID0046,Merge Q1115,medbullets,2,-0.1479649848206382,0.3666855465326867,12,9,False
ID0046,Merge Q1115,medbullets,3,-0.0,0.4322986004233377,8,9,True
ID0046,Merge Q1115,medbullets,4,0.7524144495909958,0.7659465232002178,3,9,True
ID0046,Merge Q1115,medbullets,5,0.3378684538854471,0.5821217568924802,5,9,True
ID0046,Merge Q1115,medbullets,6,0.0,0.4322986004233377,9,9,True
ID0046,Merge Q1115,medbullets,7,0.3510726696775839,0.5879769862455834,4,9,True
ID0046,Merge Q1115,medbullets,8,-0.2507194505846256,0.3211204805283872,13,9,False
ID0046,Merge Q1115,medbullets,9,-0.9748830767155692,0.0,14,9,False
ID0046,Merge Q1115,medbullets,10,-0.0,0.4322986004233377,10,9,False
ID0046,Merge Q1115,medbullets,11,0.0,0.4322986004233377,11,9,False
ID0046,Merge Q1115,medbullets,12,0.2623019994998105,0.54861284361857,7,9,True
ID0046,Merge Q1115,medbullets,13,0.8292587113263533,0.8000220627107387,2,9,True
ID0046,Merge Q1115,medbullets,14,0.3057319538140372,0.5678712643614378,6,9,True
ID0047,Merge Q249,jama,1,124.0068071722474,1.0,1,5,True
ID0047,Merge Q249,jama,2,0.0,0.0,7,5,False
ID0047,Merge Q249,jama,3,7.2301257736980915,0.05830426521388728,3,5,True
ID0047,Merge Q249,jama,4,5.392898449475233,0.0434887291468154,5,5,True
ID0047,Merge Q249,jama,5,0.8676024144338024,0.006996409586037393,6,5,False
ID0047,Merge Q249,jama,6,14.390972783759514,0.11604986139003019,2,5,True
ID0047,Merge Q249,jama,7,6.772020893338489,0.05461007381580307,4,5,True
ID0047,Merge Q249,jama,8,0.0,0.0,8,5,False
ID0048,Merge Q1110,medbullets,1,21.27365106747357,0.33150004285885065,3,5,True
ID0048,Merge Q1110,medbullets,2,12.971685250934703,0.20213334340201955,4,5,True
ID0048,Merge Q1110,medbullets,3,64.17390140891075,1.0,1,5,True
ID0048,Merge Q1110,medbullets,4,0.0,0.0,7,5,False
ID0048,Merge Q1110,medbullets,5,22.510759370787,0.3507774792645115,2,5,True
ID0048,Merge Q1110,medbullets,6,-0.0,-0.0,8,5,False
ID0048,Merge Q1110,medbullets,7,2.655511907535385,0.041379935600528384,5,5,True
ID0048,Merge Q1110,medbullets,8,-0.0,-0.0,9,5,False
ID0048,Merge Q1110,medbullets,9,0.0,0.0,10,5,False
ID0048,Merge Q1110,medbullets,10,1.593841364128791,0.02483628592210666,6,5,False
ID0056,Merge Q3184,medxpert,1,55.75209663714906,1.0,1,2,True
ID0056,Merge Q3184,medxpert,2,27.15821436839265,0.5042945255330091,2,2,True
ID0056,Merge Q3184,medxpert,3,-1.9311119243502617,0.0,4,2,False
ID0056,Merge Q3184,medxpert,4,3.538638934335063,0.09482397035618632,3,2,False
ID0057,Merge Q3862,mmlu,1,2.0300003185626228,1.0,1,2,True
ID0057,Merge Q3862,mmlu,2,0.9873378123106642,0.2757943644803409,2,2,True
ID0057,Merge Q3862,mmlu,3,0.5902676582336426,0.0,4,2,False
ID0057,Merge Q3862,mmlu,4,0.7922303100423119,0.1402778844806651,3,2,False
ID0059,Merge Q3956,mmlu,1,27.54407560422516,0.35222082178129477,2,2,True
ID0059,Merge Q3956,mmlu,2,-0.0,0.0,7,2,False
ID0059,Merge Q3956,mmlu,3,7.476745072752237,0.09560913684720193,4,2,False
ID0059,Merge Q3956,mmlu,4,4.540158829051852,0.05805743844026272,5,2,False
ID0059,Merge Q3956,mmlu,5,2.3352069377980507,0.02986153968203749,6,2,False
ID0059,Merge Q3956,mmlu,6,23.27537949098616,0.2976347222314873,3,2,False
ID0059,Merge Q3956,mmlu,7,78.20115649303709,1.0,1,2,True
ID0060,Merge Q689,jama,1,-1.8051737305708075,0.028981815388964015,6,2,False
ID0060,Merge Q689,jama,2,0.972811656193299,0.27207599302418517,2,2,True
ID0060,Merge Q689,jama,3,-2.136366605758667,0.0,7,2,False
ID0060,Merge Q689,jama,4,0.1728923058251902,0.20207715948865512,3,2,False
ID0060,Merge Q689,jama,5,-0.4485488800586986,0.14769647960787627,4,2,False
ID0060,Merge Q689,jama,6,-1.0362722215811615,0.09626635939732693,5,2,False
ID0060,Merge Q689,jama,7,9.291243112367354,1.0,1,2,True
ID0062,Merge Q670,jama,1,29.57152923282563,0.8643430014886537,2,3,True
ID0062,Merge Q670,jama,2,2.6853776121990154,0.07849060923376351,5,3,False
ID0062,Merge Q670,jama,3,0.0,0.0,7,3,False
ID0062,Merge Q670,jama,4,10.14799478277564,0.29661463228959206,4,3,False
ID0062,Merge Q670,jama,5,2.351556381599077,0.06873338490675443,6,3,False
ID0062,Merge Q670,jama,6,25.62334560832868,0.7489419731022714,3,3,True
ID0062,Merge Q670,jama,7,34.21272478853271,1.0,1,3,True
ID0062,Merge Q670,jama,8,0.0,0.0,8,3,False
ID0063,Merge Q1952,medxpert,1,0.6828499002903838,0.3140755042832203,4,3,False
ID0063,Merge Q1952,medxpert,2,1.1450704564281076,0.3901336918648379,3,3,True
ID0063,Merge Q1952,medxpert,3,-1.22584867477417,0.0,5,3,False
ID0063,Merge Q1952,medxpert,4,4.450196782948633,0.9339907635276977,2,3,True
ID0063,Merge Q1952,medxpert,5,4.851347887945884,1.0,1,3,True
ID0067,Merge Q1277,medbullets,1,-1.8023488788887736,0.0,3,3,True
ID0067,Merge Q1277,medbullets,2,0.1458364841829714,0.8301408427995102,2,3,True
ID0067,Merge Q1277,medbullets,3,0.5444641709327698,1.0,1,3,True
ID0069,Merge Q468,jama,1,0.0037596557511626,0.33207180168074274,4,5,True
ID0069,Merge Q468,jama,2,-0.1045472864834582,0.10359520735015916,11,5,False
ID0069,Merge Q468,jama,3,0.0604846328496933,0.451734764308542,3,5,True
ID0069,Merge Q468,jama,4,-0.0047121086689311,0.31420037217919694,9,5,False
ID0069,Merge Q468,jama,5,-0.0698481375627944,0.17679405506934817,10,5,False
ID0069,Merge Q468,jama,6,0.0790171554194863,0.4908296510603857,2,5,True
ID0069,Merge Q468,jama,7,-0.1536555120814942,0.0,12,5,False
ID0069,Merge Q468,jama,8,-0.0,0.3241407002743322,5,5,True
ID0069,Merge Q468,jama,9,-0.0,0.3241407002743322,6,5,False
ID0069,Merge Q468,jama,10,-0.0,0.3241407002743322,7,5,False
ID0069,Merge Q468,jama,11,0.0,0.3241407002743322,8,5,False
ID0069,Merge Q468,jama,12,0.3203840391117064,1.0,1,5,True
ID0071,Merge Q1749,medxpert,1,0.2105742809691444,1.0,1,3,True
ID0071,Merge Q1749,medxpert,2,-0.0133543774137415,0.42402461478846076,3,3,True
ID0071,Merge Q1749,medxpert,3,-0.0,0.4583739148319959,2,3,True
ID0071,Merge Q1749,medxpert,4,-0.1782073651434639,0.0,4,3,False
ID0073,Merge Q2456,medxpert,1,3.890435113258339,1.0,1,2,True
ID0073,Merge Q2456,medxpert,2,0.201114136354496,0.2995433841888158,5,2,False
ID0073,Merge Q2456,medxpert,3,2.5790719985961914,0.7510238401195629,2,2,True
ID0073,Merge Q2456,medxpert,4,0.2282122524312811,0.30468824818976076,4,2,False
