Origin,QA_ID,Score,Source_preview
ID0589,Merge Q10,0.2523608879244933,.
ID0021,Merge Q1000,-0.0,.
ID1148,Merge Q101,0.0809045881032943,.
ID0395,Merge Q1012,-0.0,.
ID0199,Merge Q1020,-0.0,"C, Magnetic resonance imaging of the brain showing a very small amount of residual tumor (arrowhead) in the right cavern"
ID0199,Merge Q1020,0.0,.
ID0199,Merge Q1020,0.0,"This modal can be closed by pressing the Escape key or activating the close button.A, Right eye esotropia after voluntar"
ID0199,Merge Q1020,0.0,Escape will cancel and close the window.This is a modal window.
ID0199,Merge Q1020,-0.1596145650429092,"B, Right upper eyelid retraction after downward gaze."
ID1032,Merge Q1023,0.0,.
ID0278,Merge Q1033,0.0,.
ID0321,Merge Q11,0.030127573964743,.
ID1193,Merge Q136,0.0,.
ID1070,Merge Q137,-0.0,.
ID1204,Merge Q138,-2.883295949338222,.
ID0698,Merge Q1401,-0.0,"The patient is alert and oriented, though has moderate discomfort with deep breaths."
ID0698,Merge Q1401,-0.0,| Heart rate | 68/min |
ID0698,Merge Q1401,-0.0,| Respiratory rate | 14/min |
ID0698,Merge Q1401,0.0,| Blood pressure | 128/76 mm Hg |
ID0698,Merge Q1401,-0.0,| --- | --- |
ID0698,Merge Q1401,-0.0295702946328093,| Temperature | 37.3°C (99.1°F) |
ID1713,Merge Q145,-0.0,.
ID0492,Merge Q146,0.0,.
ID1909,Merge Q154,0.0,Escape will cancel and close the window.This is a modal window.
ID1909,Merge Q154,-0.0,.
ID1909,Merge Q154,-0.1008042485984194,This modal can be closed by pressing the Escape key or activating the close button.
ID1416,Merge Q156,-0.0,.
ID1021,Merge Q159,-0.0675187401035058,.
ID0577,Merge Q164,0.0,.
ID1773,Merge Q1647,0.1149366050958633,| Calcium (mg/dL) | 14.4 | 9.0–10.5 |
ID1773,Merge Q1647,0.0,| Albumin (g/dL) | 3.6 | 3.5–5.5 |
ID1773,Merge Q1647,0.0,| Parathyroid hormone (pg/mL) | 3 | 10–60 |
ID1773,Merge Q1647,-0.0,Head MRI shows no ischemia or tumors.
ID1773,Merge Q1647,-0.0,| Blood urea nitrogen (mg/dL) | 13 | 10–20 |
ID1773,Merge Q1647,-0.0,| Ionized calcium (mg/dL) | 7.0 | 4.5–5.6 |
ID1773,Merge Q1647,-0.0,| Glucose (mg/dL) | 102 | 70–100 |
ID1773,Merge Q1647,0.0,| Creatinine (mg/dL) | 0.7 | 0.6–1.1 |
ID1773,Merge Q1647,0.0,| --- | --- | --- |
ID1773,Merge Q1647,0.0,| Sodium (mEq/liter) | 139 | 136–145 |
ID1773,Merge Q1647,-0.0174543979206947,|  | Patient value | Reference range |
ID1841,Merge Q165,0.0,.
ID1074,Merge Q1651,1.31723186480579,Gram stain results of the cerebrospinal fluid are pending.
ID1074,Merge Q1651,0.0,| Glucose | 22 mg/dL |
ID1074,Merge Q1651,-0.0,| Lymphocytes | 5% |
ID1074,Merge Q1651,0.0,| Protein | 86 mg/dL |
ID1074,Merge Q1651,0.0,| Leukocyte count | 710/mm3 |
ID1074,Merge Q1651,-0.0,| Erythrocytes | 2/mm3 |
ID1074,Merge Q1651,-0.0,| --- | --- |
ID1074,Merge Q1651,-0.0,| Segmented neutrophils | 95% |
ID1074,Merge Q1651,-0.0,| Pressure | 255 mm H2O |
ID0702,Merge Q1706,0.1624601554851028,"On physical examination, the patient appears mildly uncomfortable."
ID0702,Merge Q1706,0.0850537353837909,| Blood pressure | 112/72 mm Hg |
ID0702,Merge Q1706,0.0692701922506991,| Respiratory rate | 12/min |
ID0702,Merge Q1706,0.0578695960867847,| Heart rate | 72/min |
ID0702,Merge Q1706,0.0,| Temperature | 37.3°C (99.2°F) |
ID0702,Merge Q1706,-0.0,| --- | --- |
ID0116,Merge Q173,0.3677637174334781,This modal can be closed by pressing the Escape key or activating the close button.
ID0116,Merge Q173,-0.0,.
ID0116,Merge Q173,0.0,Escape will cancel and close the window.This is a modal window.
ID0407,Merge Q1750,1.4973226357168825,"His symptoms resolve after oral administration of 20g glucose, with glucose rising to 78 mg/dL."
ID0407,Merge Q1750,0.7388939351920955,| Glucose (mg/dL) | 55 | 70–100 |
ID0407,Merge Q1750,0.0710508678738126,|  | Patient value | Reference range |
ID0407,Merge Q1750,-0.0,| Insulin (μU/mL) | 25 | 2–20 |
ID0407,Merge Q1750,-0.0,| --- | --- | --- |
ID0407,Merge Q1750,-0.0121912090405729,| C-peptide (ng/mL) | 2.9 | 0.5–2.0 |
ID1558,Merge Q189,0.0,.
ID0965,Merge Q2002,0.7127393476340703,| **Finger-stick glucose** | **630 mg/dL** |
ID0965,Merge Q2002,0.5741211300513804,| Glucose | Positive |
ID0965,Merge Q2002,0.5260140394898402,| PO2 | 90 mm Hg |
ID0965,Merge Q2002,0.4509642244157508,| Ketones | Positive |
ID0965,Merge Q2002,0.364608453921901,| **Urinalysis** | |
ID0965,Merge Q2002,0.2995842099189758,| Sodium | 135 mEq/L |
ID0965,Merge Q2002,0.1959468614657364,| Leukocytes | Negative |
ID0965,Merge Q2002,-0.0,| Nitrite | Negative |
ID0965,Merge Q2002,-0.0,| RBCs | Negative |
ID0965,Merge Q2002,-0.0,| Casts | Negative |
ID0965,Merge Q2002,0.0,The patient is started on an intravenous bolus of normal saline (0.9% NaCl).
ID0965,Merge Q2002,-0.0,| Blood urea nitrogen | 20 mg/dL |
ID0965,Merge Q2002,0.0,| Potassium | 3.1 mEq/L |
ID0965,Merge Q2002,0.0,| Creatinine | 1.2 mg/dL |
ID0965,Merge Q2002,-0.0,| --- | --- |
ID0965,Merge Q2002,0.0,| **Arterial blood gas** | |
ID0965,Merge Q2002,0.0,| PCO2 | 33 mm Hg |
ID0965,Merge Q2002,-0.0229716512401526,| --- | --- |
ID0965,Merge Q2002,-0.0661099350706995,| Chloride | 136 mEq/L |
ID0965,Merge Q2002,-0.0792865367754563,| HCO3 | 8 mEq/L |
ID0965,Merge Q2002,-0.2621930221169946,| pH | 7.1 |
ID0965,Merge Q2002,-0.3283941149711609,| **Serum chemistry** | |
ID1171,Merge Q210,0.0,.
ID1925,Merge Q214,0.2560877767277562,.
ID1098,Merge Q216,-0.0,.
ID0150,Merge Q219,0.567986786365509,.
ID0627,Merge Q2197,38.71479266526982,"After initiating 0.9% saline through two large-bore IVs and performing an unremarkable esophagogastroduodenoscopy, his c"
ID0627,Merge Q2197,0.122183316608758,| Leukocyte count | 7800/mm3 |
ID0627,Merge Q2197,0.0278135238520883,| Prothrombin time | 14 seconds (INR = 0.9) |
ID0627,Merge Q2197,-0.0,| Creatinine | 0.7 mg/dL |
ID0627,Merge Q2197,0.0,| Glucose | 96 mg/dL |
ID0627,Merge Q2197,-0.0,| Urea nitrogen | 16 mg/dL |
ID0627,Merge Q2197,-0.0,| Cl- | 101 mEq/L |
ID0627,Merge Q2197,-0.0,"| Platelet count | 280,000/mm3 |"
ID0627,Merge Q2197,-0.0,| Serum |  |
ID0627,Merge Q2197,-0.0,| K+ | 4.1 mEq/L |
ID0627,Merge Q2197,0.0,| Na+ | 135 mEq/L |
ID0627,Merge Q2197,-0.0,| Hemoglobin | 9.8 g/dL |
ID0627,Merge Q2197,0.0,| --- | --- |
ID0723,Merge Q221,0.0,.
ID0345,Merge Q223,0.3709174273658714,.
ID0345,Merge Q223,0.0,"B, Peripheral blood smear showing small, bluish-purple punctate inclusions in erythrocytes (Giemsa stain, original magni"
ID1550,Merge Q224,0.0,.
ID0161,Merge Q226,0.0,.
ID0002,Merge Q229,-0.0,Margin-to-reflex distance 1 was 3.5 mm on the right and 0.5 mm on the left.
ID0002,Merge Q229,-0.0,.
ID0399,Merge Q236,0.3015331420303875,.
ID1588,Merge Q238,-0.0,.
ID0594,Merge Q2384,0.2833693939219168,| Total cholesterol | 196 mg/dL |
ID0594,Merge Q2384,0.0,| --- | --- |
ID0594,Merge Q2384,-0.0,| LDL | 110 mg/dL |
ID0594,Merge Q2384,-0.0,| HDL | 50 mg/dL |
ID0594,Merge Q2384,-0.3023030569677793,A resting ECG shows no abnormalities.
ID1037,Merge Q239,-0.0448621106802381,.
ID1761,Merge Q240,0.4335858205953683,.
ID0262,Merge Q2405,0.2341246758155781,| Thyroid-stimulating hormone (μU/mL) | 0.03 | 0.5–4.7 |
ID0262,Merge Q2405,0.1000475774292923,| Albumin (g/dL) | 3.8 | 3.5–5.5 |
ID0262,Merge Q2405,0.0972430322925698,| Phosphorus (mg/dL) | 3.6 | 3.0–4.5 |
ID0262,Merge Q2405,0.0,| --- | --- | --- |
ID0262,Merge Q2405,0.0,| Calcium (mg/dL) | 9.4 | 9.0–10.5 |
ID0262,Merge Q2405,-0.1586924960877132,|  | Patient value | Reference range |
ID0262,Merge Q2405,-0.1821215599775314,The complete blood count is within normal limits.
ID1975,Merge Q2435,0.0955303793020217,| Temperature | 37°C (98.8°F) |
ID1975,Merge Q2435,-0.0,| Body mass index | 40 kg/m2 |
ID1975,Merge Q2435,-0.0,| Blood pressure | 152/90 mm Hg |
ID1975,Merge Q2435,-0.0095849502345934,| Heart rate | 86/min |
ID1975,Merge Q2435,-0.1643621227088815,| --- | --- |
ID1975,Merge Q2435,-0.1805393438523537,"On physical examination, there is exquisite tenderness to palpation in the paravertebral musculature of the lower lumbar"
ID0047,Merge Q249,0.0,.
ID0870,Merge Q2495,15.7371573744931,Schistocytes are present on peripheral blood smear.
ID0870,Merge Q2495,8.756713385688577,| Antinuclear antibodies | positive |
ID0870,Merge Q2495,4.821633047158447,| Lactate dehydrogenase | 290 U/L |
ID0870,Merge Q2495,4.671482283622026,| Urea nitrogen | 42 mg/dL |
ID0870,Merge Q2495,1.4203141257166862,| Serum |  |
ID0870,Merge Q2495,0.0,| Creatinine | 3.0 mg/dL |
ID0870,Merge Q2495,-0.0,| Total bilirubin | 1.8 mg/dL |
ID0870,Merge Q2495,0.0,| RBC | 10–13/hpf |
ID0870,Merge Q2495,0.0,| Blood | 3+ |
ID0870,Merge Q2495,-0.0,| Casts | none |
ID0870,Merge Q2495,0.0,| Haptoglobin | 25 mg/dL (N = 41–165) |
ID0870,Merge Q2495,-0.0,| Hematocrit | 23% |
ID0870,Merge Q2495,0.0,| Leukocyte count | 9000/mm3 |
ID0870,Merge Q2495,0.0,"| Platelet count | 185,000/mm3 |"
ID0870,Merge Q2495,-0.9763876622294422,| Protein | 1+ |
ID0870,Merge Q2495,-1.7357453352432883,| --- | --- |
ID1540,Merge Q258,0.479546869249059,.
ID1392,Merge Q2594,0.050996806654316,- Hemoglobin: 6.0 g/dL (normal: 12.0-16.0)
ID1392,Merge Q2594,-0.0,"After initial stabilization with fluids and blood products, an urgent upper endoscopy is performed and is negative."
ID1392,Merge Q2594,-0.0,- Creatinine: 0.7 mg/dL (normal: 0.6-1.1)
ID1392,Merge Q2594,-0.0069126018643459,- BUN: 7 mg/dL (normal: 10-20)
ID1434,Merge Q2609,25.933909124731294,"Endoscopy reveals diffuse gastric mucosal erythema and a 1 cm lesion with a smooth, flat base in the proximal duodenum."
ID1434,Merge Q2609,0.0650573195011245,"- Leukocyte count: 11,000/mm^3"
ID1434,Merge Q2609,0.0,  - Basophils: 0.8%
ID1434,Merge Q2609,0.0,  - Eosinophils: 1%
ID1434,Merge Q2609,-0.0,  - Lymphocytes: 35%
ID1434,Merge Q2609,0.0,- Hemoglobin: 7.2 g/dL
ID1434,Merge Q2609,0.0,"- Platelets: 176,000/mm^3"
ID1434,Merge Q2609,-0.0,  - Segmented neutrophils: 56%
ID1434,Merge Q2609,0.0,  - Bands: 2%
ID1434,Merge Q2609,-0.4087981383999639,  - Monocytes: 5%
ID1434,Merge Q2609,-0.6066994260522123,- Positive heme occult stool test
ID0935,Merge Q266,-0.0,.
ID0094,Merge Q267,0.0,.
ID1820,Merge Q275,-0.462924135742016,.
ID1020,Merge Q276,-0.0,.
ID1858,Merge Q2820,-0.0,| Glucose (mg/dL) | 125 | 115 | 70–100 |
ID1858,Merge Q2820,-0.0,| Magnesium (mg/dL) | 2.0 | 2.2 | 1.8–3.0 |
ID1858,Merge Q2820,0.0,An electrocardiogram shows normal sinus rhythm with no abnormalities.
ID1858,Merge Q2820,-0.0,| Creatinine (mg/dL) | 1.4 | 1.5 | 0.6–1.1 |
ID1858,Merge Q2820,-0.0,| Carbon dioxide (mEq/liter) | 23 | 24 | 21–30 |
ID1858,Merge Q2820,-0.0,| Potassium (mEq/liter) | 5.7 | 5.4 | 3.5–5.0 |
ID1858,Merge Q2820,-0.0,| Chloride (mEq/liter) | 101 | 102 | 98–106 |
ID1858,Merge Q2820,-0.0,| Sodium (mEq/liter) | 136 | 134 | 136–145 |
ID1858,Merge Q2820,0.0,| --- | --- | --- | --- |
ID1858,Merge Q2820,0.0,|  | 2 weeks ago | Today | Reference range |
ID1858,Merge Q2820,-0.3268166407942772,| Blood urea nitrogen (mg/dL) | 26 | 22 | 10–20 |
ID1840,Merge Q2838,1.1655213676899998,| Serum creatinine | 1.4 mg/dL | Serum creatinine | 1.6 mg/dL |
ID1840,Merge Q2838,0.5631674588812267,| Serum blood urea nitrogen | 64 mg/dL | Serum blood urea nitrogen | 62 mg/dL |
ID1840,Merge Q2838,0.3593394068482369,| Serum potassium | 4.2 mmol/L | Serum potassium | 4.0 mmol/L |
ID1840,Merge Q2838,0.2920554390824664,The patient weighs 84 kg and is 175 centimeters tall.
