Origin,QA_ID,Score,Source_preview
ID0589,Merge Q10,-2.00164442895236,.
ID0021,Merge Q1000,-0.526919475991569,.
ID1148,Merge Q101,0.231928300112486,.
ID0395,Merge Q1012,-0.330214611083073,.
ID0199,Merge Q1020,0.425708433293042,"This modal can be closed by pressing the Escape key or activating the close button.A, Right eye esotropia after voluntar"
ID0199,Merge Q1020,0.11085701318809,"C, Magnetic resonance imaging of the brain showing a very small amount of residual tumor (arrowhead) in the right cavern"
ID0199,Merge Q1020,0.0,"B, Right upper eyelid retraction after downward gaze."
ID0199,Merge Q1020,0.0,Escape will cancel and close the window.This is a modal window.
ID0199,Merge Q1020,-0.835222044872549,.
ID1032,Merge Q1023,-0.618585124611855,.
ID0278,Merge Q1033,-0.124923360427364,.
ID0852,Merge Q1039,0.8359798353664802,.
ID1919,Merge Q1041,3.53238427740521,Laboratory testing reveals the following: Serum: Na+: 137 mEq/L Cl-: 102 mEq/L K+: 4.2 mEq/L HCO3-: 24 mEq/L Urea nitrog
ID1536,Merge Q1051,0.6522069746397617,.
ID1599,Merge Q1076,0.0,.
ID0496,Merge Q1082,-0.4551475265056118,"Hemoglobin: 9 g/dL Hematocrit: 33% Leukocyte count: 2,500/mm^3 with normal differential Platelet count: 107,000/mm^3 Ser"
ID1963,Merge Q1091,-4.383177534401414,Serum laboratory results are as follows: Hemoglobin: 12.0 g/dL Creatinine: 1.1 mg/dL Ca2+: 10.6 mg/dL.
ID1157,Merge Q1096,-0.6582300685539798,.
ID0321,Merge Q11,0.439542116318243,.
ID1508,Merge Q1103,1.353031214775187,She can follow the command to “give me the ball and then close the door.”
ID1200,Merge Q1108,24.45383320748806,17-hydroxyprogesterone: 214 ng/dL (Normal: < 200 ng/dL)
ID1200,Merge Q1108,11.53396162390709,Testosterone: 256 ng/dL
ID1200,Merge Q1108,6.084959968057389,Ultrasound findings are shown in Figure A.
ID1200,Merge Q1108,2.9832576647886717,DHEAS: 73 ug/dL (Normal: 145-395 ug/dL)
ID1200,Merge Q1108,0.0,"Leukocyte count: 8,000 cells/mm^3"
ID1200,Merge Q1108,0.0,"Platelet count: 142,000/mm^3"
ID1200,Merge Q1108,-0.0,Hemoglobin: 13.9 g/dL
ID0048,Merge Q1110,-1.173355402772515,The following laboratory studies are performed: Serum: Thyroid stimulating hormone (TSH): 28 µIU/mL (9-30 µIU/mL) Cycle 
ID1602,Merge Q1113,-0.0,"Hemoglobin: 12 g/dL Hematocrit: 36% Leukocyte count: 9,750/mm^3 with normal differential Platelet count: 197,000/mm^3 Se"
ID0974,Merge Q1143,2.843517335142048,"Laboratory workup is performed, and the results are shown below: Serum: Hemoglobin: 7.2 g/dL Total bilirubin: 2.1 mg/dL "
ID1895,Merge Q1150,3.690046052266153,.
ID1494,Merge Q1169,-0.1069236677626659,.
ID0152,Merge Q1171,0.7694525395250764,BUN: 7 mg/dL
ID0152,Merge Q1171,0.5742298965524509,Serum:
ID0152,Merge Q1171,0.0,Creatinine: 1.2 mg/dL
ID0152,Merge Q1171,0.0,Cl-: 100 mEq/L
ID0152,Merge Q1171,-0.0,HCO3-: 24 mEq/L
ID0152,Merge Q1171,-0.0,Glucose: 170 mg/dL
ID0152,Merge Q1171,-0.0,Laboratory values are obtained and the results are shown below:
ID0152,Merge Q1171,-0.0,Na+: 139 mEq/L
ID0152,Merge Q1171,-1.0054854405139573,K+: 4.3 mEq/L
ID1338,Merge Q1174,0.4275996820890492,.
ID0244,Merge Q1178,0.2241423712829456,.
ID0185,Merge Q1180,-0.0,Direct bilirubin: 0.7 mg/dL
ID0185,Merge Q1180,-0.0,Laboratory testing is performed and reveals the following:
ID0185,Merge Q1180,-0.3392748732055766,Total bilirubin: 5.5 mg/dL
ID1378,Merge Q1185,0.9511657098048,The patient is intubated.
ID1378,Merge Q1185,0.824932053330605,pH: 7.30
ID1378,Merge Q1185,0.324591561919343,PO2: 55 mmHg
ID1378,Merge Q1185,-0.0,PCO2: 60 mmHg
ID0885,Merge Q1191,1.576936945303507,Laboratory testing is performed and reveals the following:
ID0885,Merge Q1191,1.028425320982933,Luteinizing hormone (LH): 38 mIU/mL
ID0885,Merge Q1191,-4.709604939047794,Follicle-stimulating hormone (FSH): 42 mIU/mL
ID1704,Merge Q1192,0.9614500360635694,.
ID1413,Merge Q1194,0.2506199982300571,.
ID1142,Merge Q1195,1.9119013845920565,India ink stain: Positive
ID1142,Merge Q1195,0.0,Leukocyte count: 200/mm^3
