row_index,total_labels,matches,match_percentage,three_out_of_five_match,labels1,labels2
0,5,5,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']"
1,11,11,100.0,True,"['Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant']","['Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant']"
2,6,6,100.0,True,"['Irrelevant', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']","['Irrelevant', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']"
3,8,7,87.5,True,"['High Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance']"
4,6,6,100.0,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
5,8,8,100.0,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance']","['High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance']"
6,7,7,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
7,4,4,100.0,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance']"
8,8,8,100.0,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
9,5,5,100.0,True,"['Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance']"
10,14,9,64.28571428571429,True,"['Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
11,3,3,100.0,True,"['High Relevance', 'Irrelevant', 'Low Relevance']","['High Relevance', 'Irrelevant', 'Low Relevance']"
12,7,7,100.0,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']"
13,7,6,85.71428571428571,True,"['High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
14,10,10,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']"
15,6,6,100.0,True,"['High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']"
16,6,6,100.0,True,"['High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
17,0,0,0.0,False,[],[]
18,9,9,100.0,True,"['Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']"
19,4,4,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']"
20,7,7,100.0,True,"['Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
21,6,6,100.0,True,"['Low Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance']"
22,10,5,50.0,False,"['Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'Irrelevant']","['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']"
