Origin,data_source_corr_x,q1_majority,Correct answer,matches_correct
ID0002,jama,d,D,True
ID0003,medxpert,g,G,True
ID0010,medxpert,d,H,False
ID0013,mmlu,b,B,True
ID0016,jama,b,B,True
ID0018,jama,d,D,True
ID0021,jama,b,B,True
ID0024,mmlu,b,B,True
ID0025,medxpert,f,F,True
ID0027,mmlu,d,D,True
ID0028,medbullets,a,A,True
ID0029,medbullets,a,A,True
ID0032,medbullets,d,D,True
ID0034,medbullets,a,A,True
ID0039,mmlu,b,B,True
ID0041,jama,a,A,True
ID0042,medxpert,i,B,False
ID0045,medxpert,d,D,True
ID0046,medbullets,d,D,True
ID0047,jama,a,A,True
ID0048,medbullets,c,D,False
ID0056,medxpert,d,D,True
ID0057,mmlu,d,D,True
ID0059,mmlu,b,B,True
ID0060,jama,c,C,True
ID0062,jama,b,B,True
ID0063,medxpert,b,B,True
ID0067,medbullets,a,A,True
ID0069,jama,d,D,True
ID0071,medxpert,a,D,False
ID0073,medxpert,g,G,True
ID0074,mmlu,c,C,True
ID0082,medbullets,b,B,True
ID0085,medxpert,j,J,True
ID0092,medxpert,j,B,False
ID0093,jama,c,C,True
ID0094,jama,c,C,True
ID0096,medxpert,e,E,True
ID0098,mmlu,d,D,True
ID0110,jama,b,B,True
ID0111,medbullets,d,D,True
ID0112,medxpert,d,D,True
ID0113,mmlu,d,D,True
ID0115,medbullets,d,D,True
ID0116,jama,a,A,True
ID0117,mmlu,b,D,False
ID0122,mmlu,d,D,True
ID0127,jama,c,B,False
ID0129,mmlu,a,A,True
ID0133,jama,d,D,True
ID0136,mmlu,b,B,True
ID0137,medxpert,c,D,False
ID0140,medxpert,d,G,False
ID0141,medxpert,g,I,False
ID0148,medxpert,c,C,True
ID0149,jama,b,B,True
ID0150,jama,a,A,True
ID0151,medxpert,j,J,True
ID0152,medbullets,c,C,True
ID0153,jama,d,D,True
ID0154,mmlu,a,A,True
ID0155,jama,c,C,True
ID0161,jama,c,C,True
ID0162,medbullets,d,A,False
ID0164,mmlu,b,B,True
ID0165,medxpert,j,I,False
ID0166,medxpert,f,F,True
ID0168,mmlu,b,B,True
ID0169,jama,b,B,True
ID0170,medxpert,a,G,False
ID0177,medbullets,b,B,True
ID0182,medbullets,d,A,False
ID0184,mmlu,c,C,True
ID0185,medbullets,d,D,True
ID0186,jama,c,C,True
ID0189,mmlu,a,A,True
ID0190,mmlu,a,A,True
ID0193,medxpert,e,E,True
ID0198,medbullets,c,A,False
ID0199,jama,c,C,True
ID0207,medxpert,d,J,False
ID0209,mmlu,d,D,True
ID0211,medxpert,a,A,True
ID0215,jama,b,B,True
ID0216,medxpert,a,A,True
ID0217,mmlu,c,C,True
ID0220,mmlu,b,B,True
ID0221,medbullets,a,A,True
ID0229,medxpert,a,A,True
ID0232,jama,b,B,True
ID0233,medxpert,b,B,True
ID0235,medxpert,b,B,True
ID0236,jama,c,C,True
ID0237,mmlu,a,A,True
ID0238,medbullets,d,D,True
ID0242,medxpert,g,A,False
ID0243,jama,c,C,True
ID0244,medbullets,c,C,True
ID0247,medbullets,c,C,True
ID0249,medbullets,c,C,True
ID0251,mmlu,d,D,True
ID0253,mmlu,d,D,True
ID0254,jama,d,D,True
ID0256,mmlu,d,D,True
ID0262,medxpert,i,H,False
ID0265,mmlu,c,C,True
ID0268,jama,d,C,False
ID0270,mmlu,d,D,True
ID0275,medxpert,c,C,True
ID0278,jama,c,C,True
ID0281,medxpert,a,A,True
ID0284,medxpert,i,I,True
ID0291,medxpert,e,D,False
ID0292,medxpert,g,G,True
ID0293,medxpert,b,B,True
ID0296,jama,b,C,False
