Origin,data_source_corr,q1_majority,Correct answer,matches_correct
ID0001,medxpert,j,,False
ID0002,jama,d,D,True
ID0003,medxpert,g,G,True
ID0004,medbullets,c,,False
ID0005,medxpert,i,,False
ID0006,medxpert,e,,False
ID0007,medbullets,a,B,False
ID0008,medxpert,i,,False
ID0009,jama,d,D,True
ID0010,medxpert,h,H,True
ID0011,jama,d,,False
ID0012,medxpert,c,,False
ID0013,mmlu,b,B,True
ID0014,jama,c,,False
ID0015,jama,c,C,True
ID0016,jama,b,B,True
ID0017,jama,c,C,True
ID0018,jama,d,D,True
ID0019,medxpert,a,,False
ID0020,medxpert,h,,False
ID0021,jama,b,B,True
ID0022,medxpert,c,,False
ID0023,medxpert,h,,False
ID0024,mmlu,b,B,True
ID0025,medxpert,f,F,True
ID0026,jama,c,,False
ID0027,mmlu,d,D,True
ID0028,medbullets,a,A,True
ID0029,medbullets,a,A,True
ID0030,jama,b,B,True
ID0031,jama,b,,False
ID0032,medbullets,d,D,True
ID0033,jama,c,,False
ID0034,medbullets,a,A,True
ID0035,mmlu,d,,False
ID0036,jama,d,,False
ID0037,medxpert,b,,False
ID0038,medxpert,d,,False
ID0039,mmlu,b,B,True
ID0040,jama,a,,False
ID0041,jama,a,A,True
ID0042,medxpert,i,B,False
ID0043,jama,c,C,True
ID0044,jama,b,B,True
ID0045,medxpert,d,D,True
ID0046,medbullets,d,D,True
ID0047,jama,a,A,True
ID0048,medbullets,c,D,False
ID0049,jama,b,B,True
ID0050,medxpert,i,,False
ID0051,medxpert,b,,False
ID0052,jama,c,C,True
ID0053,medxpert,g,H,False
ID0054,jama,b,A,False
ID0055,medbullets,b,A,False
ID0056,medxpert,d,D,True
ID0057,mmlu,d,D,True
ID0058,medxpert,i,,False
ID0059,mmlu,b,B,True
ID0060,jama,c,C,True
ID0061,medxpert,h,,False
ID0062,jama,b,B,True
ID0063,medxpert,b,B,True
ID0064,mmlu,d,D,True
ID0065,medxpert,e,,False
ID0066,medxpert,g,,False
