Origin,Problem ID,Labeled date,Duration (s),Labeling state,# Qualified reads,Flag messages,Flag reasons,User ID,p,q1,Correct answer,Response correct,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,data_source_corr_x,data_source_corr_y,data_source_corr
ID1999,25261946,4/26/25,292.634,Labeled,13,,,579918,med student,e,C,False,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,4/27/25,203.529,Labeled,13,,,581304,med student,e,C,False,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,5/1/25,226.492,Labeled,13,,,579536,med student,e,C,False,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,5/1/25,217.128,Labeled,13,,,579516,med student,c,C,True,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,10/24/25,136.0,Labeled,13,,,615380,physician,e,C,False,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,11/10/25,94.0,Labeled,13,,,24708,physician,e,C,False,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,11/22/25,31.0,Labeled,13,,,423438,physician,e,C,False,high relevance,high relevance,not applicable,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,1/19/26,108.0,Labeled,13,,,639727,physician,e,C,False,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,2/15/26,129.0,Labeled,13,,,584340,med student,e,C,False,low relevance,high relevance,low relevance,not relevant,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,2/18/26,61.0,Labeled,13,,,133101,med student,h,C,False,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
