Origin,data_source_corr_x,n_rows,q1_votes,vote_count_map,majority_q1,is_tie,correct_answer,mv_correct,row_correct_count,row_accuracy,duration_mean_s,duration_median_s,duration_std_s,duration_min_s,duration_max_s,duration_sum_s
ID0002,jama,3,B;B;A,A:1;B:2,B,False,D,False,0,0.0,113.66666666666667,81.0,61.84927916583453,75.0,185.0,341.0
ID0003,medxpert,3,H;E;A,A:1;E:1;H:1,,True,G,False,0,0.0,175.33333333333334,153.0,39.55165398985652,152.0,221.0,526.0
ID0010,medxpert,3,H;H;H,H:3,H,False,H,True,3,1.0,92.0,88.0,11.532562594670797,83.0,105.0,276.0
ID0013,mmlu,3,B;B;B,B:3,B,False,B,True,3,1.0,62.333333333333336,66.0,10.016652800877813,51.0,70.0,187.0
ID0016,jama,3,B;A;A,A:2;B:1,A,False,B,False,1,0.3333333333333333,94.33333333333333,80.0,54.92115560813823,48.0,155.0,283.0
ID0018,jama,3,D;D;D,D:3,D,False,D,True,3,1.0,87.66666666666667,89.0,72.00925866396163,15.0,159.0,263.0
ID0021,jama,3,C;D;A,A:1;C:1;D:1,,True,B,False,0,0.0,110.33333333333333,102.0,32.316146634976974,83.0,146.0,331.0
ID0024,mmlu,3,B;B;B,B:3,B,False,B,True,3,1.0,99.33333333333333,52.0,94.36807369726974,38.0,208.0,298.0
ID0025,medxpert,4,C;E;B;A,A:1;B:1;C:1;E:1,,True,F,False,0,0.0,128.5,111.5,119.80678890057385,11.0,280.0,514.0
ID0027,mmlu,3,D;C;C,C:2;D:1,C,False,D,False,1,0.3333333333333333,57.666666666666664,60.0,4.932882862316248,52.0,61.0,173.0
ID0028,medbullets,3,D;A;A,A:2;D:1,A,False,A,True,2,0.6666666666666666,79.0,93.0,26.888659319497503,48.0,96.0,237.0
ID0029,medbullets,3,A;A;D,A:2;D:1,A,False,A,True,2,0.6666666666666666,149.33333333333334,118.0,75.0755175362337,95.0,235.0,448.0
ID0032,medbullets,3,D;B;D,B:1;D:2,D,False,D,True,2,0.6666666666666666,34.666666666666664,34.0,5.033222956847167,30.0,40.0,104.0
ID0034,medbullets,3,A;A;A,A:3,A,False,A,True,3,1.0,56.0,44.0,30.805843601498726,33.0,91.0,168.0
ID0039,mmlu,3,B;B;B,B:3,B,False,B,True,3,1.0,115.33333333333333,140.0,43.592812863284394,65.0,141.0,346.0
ID0041,jama,3,A;A;A,A:3,A,False,A,True,3,1.0,120.66666666666667,111.0,72.9817328742839,53.0,198.0,362.0
ID0042,medxpert,3,B;I;C,B:1;C:1;I:1,,True,B,False,1,0.3333333333333333,135.33333333333334,143.0,52.91817583149795,79.0,184.0,406.0
ID0045,medxpert,3,D;I;C,C:1;D:1;I:1,,True,D,False,1,0.3333333333333333,106.33333333333333,63.0,75.05553499465135,63.0,193.0,319.0
ID0046,medbullets,3,C;C;B,B:1;C:2,C,False,D,False,0,0.0,99.33333333333333,104.0,27.30079363925769,70.0,124.0,298.0
ID0047,jama,3,A;A;C,A:2;C:1,A,False,A,True,2,0.6666666666666666,129.0,135.0,61.220911460055866,65.0,187.0,387.0
ID0048,medbullets,3,A;B;D,A:1;B:1;D:1,,True,D,False,1,0.3333333333333333,55.333333333333336,55.0,16.502525059315417,39.0,72.0,166.0
ID0056,medxpert,3,D;D;I,D:2;I:1,D,False,D,True,2,0.6666666666666666,136.66666666666666,131.0,15.307950004273378,125.0,154.0,410.0
ID0057,mmlu,3,D;A;D,A:1;D:2,D,False,D,True,2,0.6666666666666666,101.66666666666667,87.0,49.652123150307816,61.0,157.0,305.0
ID0059,mmlu,3,B;B;B,B:3,B,False,B,True,3,1.0,65.0,55.0,31.22498999199199,40.0,100.0,195.0
ID0060,jama,3,C;C;C,C:3,C,False,C,True,3,1.0,57.666666666666664,67.0,17.925772879665004,37.0,69.0,173.0
ID0062,jama,3,B;B;B,B:3,B,False,B,True,3,1.0,58.0,55.0,7.937253933193772,52.0,67.0,174.0
ID0063,medxpert,3,D;I;D,D:2;I:1,D,False,B,False,0,0.0,36.333333333333336,35.0,3.2145502536643185,34.0,40.0,109.0
ID0067,medbullets,3,A;A;A,A:3,A,False,A,True,3,1.0,31.0,24.0,13.892443989449804,22.0,47.0,93.0
ID0069,jama,3,D;A;B,A:1;B:1;D:1,,True,D,False,1,0.3333333333333333,59.666666666666664,62.0,38.552993831002716,20.0,97.0,179.0
ID0071,medxpert,3,A;I;B,A:1;B:1;I:1,,True,D,False,0,0.0,65.66666666666667,52.0,41.23509831846328,33.0,112.0,197.0
ID0073,medxpert,3,J;D;G,D:1;G:1;J:1,,True,G,False,1,0.3333333333333333,163.33333333333334,142.0,82.10562303115015,94.0,254.0,490.0
ID0074,mmlu,3,C;C;C,C:3,C,False,C,True,3,1.0,66.66666666666667,43.0,58.22656896411923,24.0,133.0,200.0
ID0082,medbullets,3,B;B;B,B:3,B,False,B,True,3,1.0,55.0,36.0,33.77869150810907,35.0,94.0,165.0
ID0085,medxpert,3,E;E;E,E:3,E,False,J,False,0,0.0,93.66666666666667,98.0,47.64801499887832,44.0,139.0,281.0
ID0092,medxpert,3,J;B;J,B:1;J:2,J,False,B,False,1,0.3333333333333333,113.33333333333333,132.0,47.815618090048076,59.0,149.0,340.0
ID0093,jama,3,C;D;D,C:1;D:2,D,False,C,False,1,0.3333333333333333,145.0,165.0,83.80930735902786,53.0,217.0,435.0
ID0094,jama,3,A;C;B,A:1;B:1;C:1,,True,C,False,1,0.3333333333333333,71.66666666666667,67.0,16.502525059315417,58.0,90.0,215.0
ID0096,medxpert,3,C;D;E,C:1;D:1;E:1,,True,E,False,1,0.3333333333333333,235.0,242.0,135.63554106501732,96.0,367.0,705.0
ID0098,mmlu,3,D;D;D,D:3,D,False,D,True,3,1.0,62.0,65.0,22.64950330581225,38.0,83.0,186.0
ID0110,jama,3,B;C;C,B:1;C:2,C,False,B,False,1,0.3333333333333333,146.0,145.0,58.5064099052403,88.0,205.0,438.0
ID0111,medbullets,3,C;D;D,C:1;D:2,D,False,D,True,2,0.6666666666666666,82.66666666666667,99.0,46.69403959107986,30.0,119.0,248.0
ID0112,medxpert,3,A;E;G,A:1;E:1;G:1,,True,D,False,0,0.0,80.66666666666667,50.0,63.791326474163654,38.0,154.0,242.0
ID0113,mmlu,3,D;D;D,D:3,D,False,D,True,3,1.0,111.33333333333333,94.0,68.66100300267492,53.0,187.0,334.0
ID0115,medbullets,3,C;C;D,C:2;D:1,C,False,D,False,1,0.3333333333333333,120.0,119.0,47.50789408087881,73.0,168.0,360.0
ID0116,jama,3,C;C;C,C:3,C,False,A,False,0,0.0,77.66666666666667,78.0,8.504900548115383,69.0,86.0,233.0
ID0117,mmlu,3,B;D;B,B:2;D:1,B,False,D,False,1,0.3333333333333333,95.0,88.0,23.302360395462088,76.0,121.0,285.0
ID0122,mmlu,3,D;D;D,D:3,D,False,D,True,3,1.0,45.0,50.0,14.177446878757825,29.0,56.0,135.0
ID0127,jama,3,A;D;A,A:2;D:1,A,False,B,False,0,0.0,119.33333333333333,138.0,62.13962772123223,50.0,170.0,358.0
ID0129,mmlu,3,A;C;C,A:1;C:2,C,False,A,False,1,0.3333333333333333,144.66666666666666,100.0,114.71849603849125,59.0,275.0,434.0
ID0133,jama,3,C;D;C,C:2;D:1,C,False,D,False,1,0.3333333333333333,61.0,42.0,40.95119045888654,33.0,108.0,183.0
ID0136,mmlu,3,B;B;B,B:3,B,False,B,True,3,1.0,58.666666666666664,74.0,31.895663237081827,22.0,80.0,176.0
ID0137,medxpert,3,E;D;C,C:1;D:1;E:1,,True,D,False,1,0.3333333333333333,145.66666666666666,93.0,130.24720086563602,50.0,294.0,437.0
ID0140,medxpert,3,A;C;D,A:1;C:1;D:1,,True,G,False,0,0.0,149.0,143.0,22.60530911091463,130.0,174.0,447.0
ID0141,medxpert,3,A;E;F,A:1;E:1;F:1,,True,I,False,0,0.0,146.33333333333334,117.0,114.84482284079388,49.0,273.0,439.0
ID0148,medxpert,3,H;H;J,H:2;J:1,H,False,C,False,0,0.0,120.66666666666667,113.0,14.153915830374762,112.0,137.0,362.0
ID0149,jama,3,C;C;B,B:1;C:2,C,False,B,False,1,0.3333333333333333,79.33333333333333,70.0,25.32455988429677,60.0,108.0,238.0
ID0150,jama,3,A;A;A,A:3,A,False,A,True,3,1.0,107.66666666666667,45.0,109.40901851919398,44.0,234.0,323.0
ID0151,medxpert,3,G;I;J,G:1;I:1;J:1,,True,J,False,1,0.3333333333333333,184.0,167.0,131.32783406422266,62.0,323.0,552.0
ID0152,medbullets,3,A;A;A,A:3,A,False,C,False,0,0.0,101.66666666666667,113.0,48.01388688008224,49.0,143.0,305.0
ID0153,jama,3,A;D;D,A:1;D:2,D,False,D,True,2,0.6666666666666666,74.33333333333333,71.0,41.10150037812894,35.0,117.0,223.0
ID0154,mmlu,3,A;A;A,A:3,A,False,A,True,3,1.0,104.0,72.0,66.09084656743322,60.0,180.0,312.0
ID0155,jama,3,D;C;B,B:1;C:1;D:1,,True,C,False,1,0.3333333333333333,201.33333333333334,214.0,56.08327142146162,140.0,250.0,604.0
ID0161,jama,3,D;A;C,A:1;C:1;D:1,,True,C,False,1,0.3333333333333333,145.0,138.0,74.74623736349542,74.0,223.0,435.0
ID0162,medbullets,3,D;A;D,A:1;D:2,D,False,A,False,1,0.3333333333333333,81.0,80.0,21.517434791350013,60.0,103.0,243.0
ID0164,mmlu,3,B;B;B,B:3,B,False,B,True,3,1.0,61.0,55.0,38.353617821530214,26.0,102.0,183.0
ID0165,medxpert,3,J;I;I,I:2;J:1,I,False,I,True,2,0.6666666666666666,198.66666666666666,161.0,152.04056476260976,69.0,366.0,596.0
ID0166,medxpert,3,D;F;C,C:1;D:1;F:1,,True,F,False,1,0.3333333333333333,101.66666666666667,90.0,28.36077102854105,81.0,134.0,305.0
ID0168,mmlu,3,A;B;B,A:1;B:2,B,False,B,True,2,0.6666666666666666,66.33333333333333,68.0,48.52147290976783,17.0,114.0,199.0
ID0169,jama,3,B;B;B,B:3,B,False,B,True,3,1.0,130.66666666666666,110.0,58.79058881601147,85.0,197.0,392.0
ID0170,medxpert,3,G;C;H,C:1;G:1;H:1,,True,G,False,1,0.3333333333333333,93.33333333333333,111.0,35.92121007612819,52.0,117.0,280.0
ID0177,medbullets,3,B;B;D,B:2;D:1,B,False,B,True,2,0.6666666666666666,77.66666666666667,70.0,20.5993527406405,62.0,101.0,233.0
ID0182,medbullets,3,C;A;C,A:1;C:2,C,False,A,False,1,0.3333333333333333,81.66666666666667,96.0,37.60762334066503,39.0,110.0,245.0
ID0184,mmlu,3,C;C;C,C:3,C,False,C,True,3,1.0,96.0,77.0,41.86884283091664,67.0,144.0,288.0
ID0185,medbullets,3,D;D;D,D:3,D,False,D,True,3,1.0,29.666666666666668,29.0,12.013880860626733,18.0,42.0,89.0
ID0186,jama,3,B;A;C,A:1;B:1;C:1,,True,C,False,1,0.3333333333333333,154.0,214.0,118.94956914591998,17.0,231.0,462.0
ID0189,mmlu,3,A;A;A,A:3,A,False,A,True,3,1.0,121.0,99.0,83.21057625085888,51.0,213.0,363.0
ID0190,mmlu,3,A;A;B,A:2;B:1,A,False,A,True,2,0.6666666666666666,57.333333333333336,64.0,18.90326250501043,36.0,72.0,172.0
ID0193,medxpert,3,J;A;E,A:1;E:1;J:1,,True,E,False,1,0.3333333333333333,57.333333333333336,72.0,35.360052790307506,17.0,83.0,172.0
ID0198,medbullets,3,A;D;A,A:2;D:1,A,False,A,True,2,0.6666666666666666,176.33333333333334,226.0,97.5004273494908,64.0,239.0,529.0
ID0199,jama,3,D;D;B,B:1;D:2,D,False,C,False,0,0.0,96.33333333333333,87.0,28.18391976523729,74.0,128.0,289.0
ID0207,medxpert,3,C;C;D,C:2;D:1,C,False,J,False,0,0.0,86.33333333333333,81.0,22.479620400116488,67.0,111.0,259.0
ID0209,mmlu,3,D;D;D,D:3,D,False,D,True,3,1.0,36.666666666666664,35.0,14.571661996262929,23.0,52.0,110.0
ID0211,medxpert,3,H;A;D,A:1;D:1;H:1,,True,A,False,1,0.3333333333333333,111.66666666666667,100.0,23.75570107012911,96.0,139.0,335.0
ID0215,jama,3,B;B;B,B:3,B,False,B,True,3,1.0,186.0,139.0,116.82037493519698,100.0,319.0,558.0
ID0216,medxpert,3,A;I;I,A:1;I:2,I,False,A,False,1,0.3333333333333333,53.333333333333336,37.0,33.620430296671294,31.0,92.0,160.0
ID0217,mmlu,3,C;C;D,C:2;D:1,C,False,C,True,2,0.6666666666666666,81.0,98.0,40.28647415696737,35.0,110.0,243.0
ID0220,mmlu,3,D;B;C,B:1;C:1;D:1,,True,B,False,1,0.3333333333333333,110.66666666666667,134.0,85.42443054146356,16.0,182.0,332.0
ID0221,medbullets,3,A;A;A,A:3,A,False,A,True,3,1.0,83.33333333333333,79.0,25.77466456296441,60.0,111.0,250.0
ID0229,medxpert,3,G;A;A,A:2;G:1,A,False,A,True,2,0.6666666666666666,136.0,102.0,73.18469785412795,86.0,220.0,408.0
ID0232,jama,3,B;B;B,B:3,B,False,B,True,3,1.0,68.0,53.0,34.07345007480164,44.0,107.0,204.0
ID0233,medxpert,3,B;B;C,B:2;C:1,B,False,B,True,2,0.6666666666666666,134.33333333333334,157.0,94.07089525104635,31.0,215.0,403.0
