Origin,Problem ID,Labeled Date,Duration (s),Labeling state,User ID,Respondent type,q1,Correct answer,Response correct,data_source_corr_x
ID0002,37719333,5/7/26,185,Labeled,664833,med student,b',D,No,jama
ID0002,37719333,5/1/26,75,Labeled,668161,med student,b',D,No,jama
ID0002,37719333,5/5/26,81,Labeled,689336,med student,a',D,No,jama
ID0003,37719334,5/21/26,152,Labeled,348391,med student,h',G,No,medxpert
ID0003,37719334,5/1/26,153,Labeled,668161,med student,e',G,No,medxpert
ID0003,37719334,5/8/26,221,Labeled,689336,med student,a',G,No,medxpert
ID0010,37719335,5/8/26,88,Labeled,602648,med student,h',H,Yes,medxpert
ID0010,37719335,5/1/26,105,Labeled,668161,med student,h',H,Yes,medxpert
ID0010,37719335,5/13/26,83,Labeled,689336,med student,h',H,Yes,medxpert
ID0013,37719336,5/14/26,70,Labeled,664833,med student,b',B,Yes,mmlu
ID0013,37719336,5/1/26,66,Labeled,668161,med student,b',B,Yes,mmlu
ID0013,37719336,5/10/26,51,Labeled,689336,med student,b',B,Yes,mmlu
ID0016,37719337,5/16/26,155,Labeled,602648,med student,b',B,Yes,jama
ID0016,37719337,5/1/26,80,Labeled,668161,med student,a',B,No,jama
ID0016,37719337,5/13/26,48,Labeled,689336,med student,a',B,No,jama
ID0018,37719338,5/7/26,159,Labeled,664833,med student,d',D,Yes,jama
ID0018,37719338,5/1/26,89,Labeled,668161,med student,d',D,Yes,jama
ID0018,37719338,5/14/26,15,Labeled,689336,med student,d',D,Yes,jama
ID0021,37719339,5/14/26,102,Labeled,664833,med student,c',B,No,jama
ID0021,37719339,5/1/26,83,Labeled,668161,med student,d',B,No,jama
ID0021,37719339,5/14/26,146,Labeled,689336,med student,a',B,No,jama
ID0024,37719340,5/15/26,38,Labeled,664833,med student,b',B,Yes,mmlu
ID0024,37719340,5/1/26,52,Labeled,668161,med student,b',B,Yes,mmlu
ID0024,37719340,5/14/26,208,Labeled,689336,med student,b',B,Yes,mmlu
ID0025,37719341,5/16/26,58,Labeled,348391,med student,c',F,No,medxpert
ID0025,37719341,5/18/26,11,Labeled,602648,med student,e',F,No,medxpert
ID0025,37719341,5/20/26,280,Labeled,657088,med student,b',F,No,medxpert
ID0025,37719341,5/1/26,165,Labeled,668161,med student,a',F,No,medxpert
ID0027,37719342,5/12/26,60,Labeled,602648,med student,d',D,Yes,mmlu
ID0027,37719342,5/1/26,61,Labeled,668161,med student,c',D,No,mmlu
ID0027,37719342,5/14/26,52,Labeled,689336,med student,c',D,No,mmlu
ID0028,37719343,5/14/26,93,Labeled,664833,med student,d',A,No,medbullets
ID0028,37719343,5/1/26,96,Labeled,668161,med student,a',A,Yes,medbullets
ID0028,37719343,5/12/26,48,Labeled,689336,med student,a',A,Yes,medbullets
ID0029,37719344,5/15/26,118,Labeled,664833,med student,a',A,Yes,medbullets
ID0029,37719344,5/1/26,235,Labeled,668161,med student,a',A,Yes,medbullets
ID0029,37719344,5/12/26,95,Labeled,689336,med student,d',A,No,medbullets
ID0032,37719345,5/16/26,30,Labeled,664833,med student,d',D,Yes,medbullets
ID0032,37719345,5/1/26,34,Labeled,668161,med student,b',D,No,medbullets
ID0032,37719345,5/12/26,40,Labeled,689336,med student,d',D,Yes,medbullets
ID0034,37719346,5/18/26,33,Labeled,602648,med student,a',A,Yes,medbullets
ID0034,37719346,5/12/26,44,Labeled,664833,med student,a',A,Yes,medbullets
ID0034,37719346,5/1/26,91,Labeled,668161,med student,a',A,Yes,medbullets
ID0039,37719347,5/19/26,140,Labeled,602648,med student,b',B,Yes,mmlu
ID0039,37719347,5/4/26,65,Labeled,664833,med student,b',B,Yes,mmlu
ID0039,37719347,5/1/26,141,Labeled,668161,med student,b',B,Yes,mmlu
ID0041,37719348,5/21/26,111,Labeled,664833,med student,a',A,Yes,jama
ID0041,37719348,5/1/26,53,Labeled,668161,med student,a',A,Yes,jama
ID0041,37719348,5/7/26,198,Labeled,689336,med student,a',A,Yes,jama
ID0042,37719349,5/21/26,143,Labeled,664811,med student,b',B,Yes,medxpert
ID0042,37719349,5/1/26,184,Labeled,668161,med student,i',B,No,medxpert
ID0042,37719349,5/11/26,79,Labeled,689336,med student,c',B,No,medxpert
ID0045,37719350,5/1/26,193,Labeled,668161,med student,d',D,Yes,medxpert
ID0045,37719350,5/26/26,63,Labeled,672563,med student,i',D,No,medxpert
ID0045,37719350,5/9/26,63,Labeled,689336,med student,c',D,No,medxpert
ID0046,37719351,5/16/26,70,Labeled,664833,med student,c',D,No,medbullets
ID0046,37719351,5/1/26,104,Labeled,668161,med student,c',D,No,medbullets
ID0046,37719351,5/5/26,124,Labeled,689336,med student,b',D,No,medbullets
ID0047,37719352,5/15/26,187,Labeled,664833,med student,a',A,Yes,jama
ID0047,37719352,5/1/26,65,Labeled,668161,med student,a',A,Yes,jama
ID0047,37719352,5/14/26,135,Labeled,689336,med student,c',A,No,jama
ID0048,37719353,5/16/26,72,Labeled,664833,med student,a',D,No,medbullets
ID0048,37719353,5/1/26,55,Labeled,668161,med student,b',D,No,medbullets
ID0048,37719353,5/11/26,39,Labeled,689336,med student,d',D,Yes,medbullets
ID0056,37719354,5/5/26,125,Labeled,602648,med student,d',D,Yes,medxpert
ID0056,37719354,5/1/26,154,Labeled,668161,med student,d',D,Yes,medxpert
ID0056,37719354,5/8/26,131,Labeled,689336,med student,i',D,No,medxpert
ID0057,37719355,5/9/26,87,Labeled,664833,med student,d',D,Yes,mmlu
ID0057,37719355,5/1/26,61,Labeled,668161,med student,a',D,No,mmlu
ID0057,37719355,5/14/26,157,Labeled,689336,med student,d',D,Yes,mmlu
ID0059,37719356,5/16/26,55,Labeled,664833,med student,b',B,Yes,mmlu
ID0059,37719356,5/1/26,100,Labeled,668161,med student,b',B,Yes,mmlu
ID0059,37719356,5/15/26,40,Labeled,689336,med student,b',B,Yes,mmlu
ID0060,37719357,5/8/26,37,Labeled,664833,med student,c',C,Yes,jama
ID0060,37719357,5/1/26,67,Labeled,668161,med student,c',C,Yes,jama
ID0060,37719357,5/4/26,69,Labeled,689336,med student,c',C,Yes,jama
ID0062,37719358,5/16/26,55,Labeled,664833,med student,b',B,Yes,jama
ID0062,37719358,5/1/26,67,Labeled,668161,med student,b',B,Yes,jama
ID0062,37719358,5/12/26,52,Labeled,689336,med student,b',B,Yes,jama
ID0063,37719359,5/17/26,34,Labeled,664811,med student,d',B,No,medxpert
ID0063,37719359,5/13/26,40,Labeled,664833,med student,i',B,No,medxpert
ID0063,37719359,5/1/26,35,Labeled,668161,med student,d',B,No,medxpert
ID0067,37719360,5/22/26,47,Labeled,664811,med student,a',A,Yes,medbullets
ID0067,37719360,5/1/26,24,Labeled,668161,med student,a',A,Yes,medbullets
ID0067,37719360,5/12/26,22,Labeled,689336,med student,a',A,Yes,medbullets
ID0069,37719361,5/12/26,62,Labeled,664833,med student,d',D,Yes,jama
ID0069,37719361,5/1/26,20,Labeled,668161,med student,a',D,No,jama
ID0069,37719361,5/14/26,97,Labeled,689336,med student,b',D,No,jama
ID0071,37719362,5/26/26,112,Labeled,602648,med student,a',D,No,medxpert
ID0071,37719362,5/12/26,52,Labeled,664833,med student,i',D,No,medxpert
ID0071,37719362,5/4/26,33,Labeled,689336,med student,b',D,No,medxpert
