Origin,Problem ID,Labeled Date,Duration (s),Labeling state,User ID,Respondent type,q1,Correct answer,Response correct
ID0002-phase5,39547043,6/12/26,107,Labeled,584340,med student,a',D,No
ID0002-phase5,39547043,6/11/26,50,Labeled,586841,med student,d',D,Yes
ID0002-phase5,39547043,5/29/26,75,Labeled,664867,med student,d',D,Yes
ID0003-phase5,39547044,6/2/26,43,Labeled,579547,med student,d',G,No
ID0003-phase5,39547044,6/9/26,114,Labeled,584340,med student,a',G,No
ID0003-phase5,39547044,5/29/26,85,Labeled,664867,med student,f',G,No
ID0010-phase5,39547045,5/29/26,89,Labeled,584340,med student,e',H,No
ID0010-phase5,39547045,6/11/26,39,Labeled,586841,med student,d',H,No
ID0010-phase5,39547045,5/28/26,124,Labeled,618830,med student,d',H,No
ID0013-phase5,39547046,5/30/26,106,Labeled,584340,med student,b',B,Yes
ID0013-phase5,39547046,5/28/26,43,Labeled,672563,med student,b',B,Yes
ID0013-phase5,39547046,6/1/26,20,Labeled,680819,med student,b',B,Yes
ID0016-phase5,39547047,6/2/26,69,Labeled,579547,med student,b',B,Yes
ID0016-phase5,39547047,6/3/26,152,Labeled,603017,med student,a',B,No
ID0016-phase5,39547047,5/29/26,125,Labeled,664867,med student,a',B,No
ID0018-phase5,39547048,6/1/26,56,Labeled,579474,med student,c',D,No
ID0018-phase5,39547048,6/1/26,135,Labeled,601253,med student,b',D,No
ID0018-phase5,39547048,5/29/26,194,Labeled,664867,med student,d',D,Yes
ID0021-phase5,39547049,6/10/26,132,Labeled,584340,med student,d',B,No
ID0021-phase5,39547049,5/29/26,72,Labeled,586841,med student,b',B,Yes
ID0021-phase5,39547049,5/28/26,83,Labeled,618830,med student,b',B,Yes
ID0024-phase5,39547050,6/3/26,119,Labeled,584340,med student,b',B,Yes
ID0024-phase5,39547050,6/4/26,173,Labeled,601253,med student,d',B,No
ID0024-phase5,39547050,5/29/26,95,Labeled,664867,med student,b',B,Yes
ID0025-phase5,39547051,6/8/26,26,Labeled,579547,med student,a',F,No
ID0025-phase5,39547051,5/31/26,95,Labeled,584340,med student,c',F,No
