User ID,"Of the questions you have just labeled, what percentage of them have you seen verbatim beforehand (e.g. in your classes, or when preparing for USMLE)?","Of the questions you have just labeled, what do you think your accuracy (percentage) was in answering the multiple choice questions?","Suppose we were to give the same clinical questions to the current best LLM (e.g. GPT o3, Claude 3.7 Sonnet), what do you think its accuracy would be on the multiple choice questions?","How confident were you, on average, in your answers for the sentence relevance scores?",Please rate the degree of ambiguity you perceive in the true relevance labels on a scale from 1 to 5.,To what degree do you think the process of answering multiple choice clinical QAs correlates with real-world day-to-day medical practice?,Approximately what percentage of questions did you skip?
616951,0,40,70,Moderately Confident,2: High ambiguity,Slightly aligned,61 - 70
580,0,70,80,Moderately Confident,3: Moderate ambiguity,Slightly aligned,21 - 30
423438,0,90,80,Extremely Confident,5: No ambiguity at all,Not at all aligned,0 -10
24708,0,60,90,Moderately Confident,3: Moderate ambiguity,Strongly aligned,31 - 40
615169,0,30,40,Slightly confident,2: High ambiguity,Not at all aligned,11 - 20
615380,0,70,90,Moderately Confident,4: Slight ambiguity,Moderately aligned,31 - 40
622145,0,60,40,Moderately Confident,2: High ambiguity,Slightly aligned,0 -10
639727,0,30,70,Moderately Confident,4: Slight ambiguity,Slightly aligned,0 -10
625076,80,80,100,Moderately Confident,3: Moderate ambiguity,Not at all aligned,0 -10
584340,0,30,70,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
579474,0,70,90,Very Confident,3: Moderate ambiguity,Slightly aligned,21 - 30
133101,10,60,70,Moderately Confident,3: Moderate ambiguity,Moderately aligned,0 -10
639794,0,20,90,Moderately Confident,3: Moderate ambiguity,Moderately aligned,0 -10
639800,0,60,80,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
642036,60,80,60,Moderately Confident,3: Moderate ambiguity,Moderately aligned,0 -10
656346,0,70,60,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
622535,0,50,80,Moderately Confident,4: Slight ambiguity,Slightly aligned,0 -10
622622,0,30,70,Not Confident,3: Moderate ambiguity,Slightly aligned,0 -10
579918,0,70,90,Very Confident,3: Moderate ambiguity,Moderately aligned,0 -10
349529,0,50,90,Slightly confident,3: Moderate ambiguity,Strongly aligned,0 -10
601253,0,60,90,Moderately Confident,4: Slight ambiguity,Slightly aligned,0 -10
547079,10,70,90,Moderately Confident,4: Slight ambiguity,Moderately aligned,0 -10
579547,50,70,90,,4: Slight ambiguity,Strongly aligned,11 - 20
584340,0,60,80,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
603017,0,70,70,Slightly confident,3: Moderate ambiguity,Slightly aligned,0 -10
592450,0,60,80,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
400160,0,20,80,Slightly confident,3: Moderate ambiguity,Strongly aligned,0 -10
664740,0,60,90,Slightly confident,4: Slight ambiguity,Moderately aligned,0 -10
692357,10,10,20,Not Confident,2: High ambiguity,Not at all aligned,0 -10
348391,0,20,80,Slightly confident,2: High ambiguity,Not at all aligned,0 -10
664811,10,60,90,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
689336,0,60,70,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
657088,30,80,80,Slightly confident,3: Moderate ambiguity,Slightly aligned,0 -10
664833,10,80,80,Moderately Confident,3: Moderate ambiguity,Slightly aligned,11 - 20
602648,60,60,80,Moderately Confident,3: Moderate ambiguity,Moderately aligned,0 -10
586841,20,70,90,Moderately Confident,3: Moderate ambiguity,Slightly aligned,0 -10
579474,10,60,90,,,Slightly aligned,0 -10
618830,0,70,60,Slightly confident,2: High ambiguity,Slightly aligned,0 -10
664867,0,30,90,Not Confident,2: High ambiguity,Slightly aligned,0 -10
672563,20,30,80,Moderately Confident,3: Moderate ambiguity,Moderately aligned,0 -10
586831,10,10,10,Slightly confident,2: High ambiguity,Moderately aligned,0 -10
