User ID,Notes,Age,Gender,Which year of medical school are you in?,Have you passed USMLE Step 1?,What is the highest USMLE Step exam you have passed?,What is your current PGY (Postgraduate Year) level? (Enter 0 if you have not yet graduated from medical school),How many previous studies/tasks have you done with Centaur Labs?,Which medical school do you attend?,Are you familiar with any of the following clinical challenges? [JAMA Clinical Challenge],Are you familiar with any of the following clinical challenges? [NEJM Image Challenge],Are you familiar with any of the following clinical challenges? [NEJM Resident 360],"If you are familiar with these challenges, how regularly do you follow them?",Are you familiar with the MedBullets website?,"If you are familiar with MedBullets, how regularly do you follow the clinical challenges released there?",Which of the following best describes your experience with large language models (LLMs) in clinical or healthcare-related contexts?,Which of the following best reflects your view on the readiness of LLMs for clinical deployment?
580,,41,Male,N/A,Yes,3,PGY-15,2,University of Rochester,Some familiarity,Some familiarity,Some familiarity,Occasionally,Some familiarity,Occasionally,"I have a technical understanding of how LLMs work (e.g., architecture, training, fine-tuning).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
24708,,53,Female,N/A,Yes,3,24,I believe 6 or 7 but unsure,Wright State University School of Medicine now Boonshoft School of Medicine,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
616951,Dropped out after submitting a couple dozen reads,38,Male,N/A,No,UK based,12,0,Norwich Medical School (UK),Some familiarity,Some familiarity,Some familiarity,Not at all,Some familiarity,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
615169,,44,Female,N/A,Yes,3,PGY17,1,RWJMS New Brunswick,Some familiarity,High familiarity,High familiarity,Occasionally,Not familiar,Not at all,I am aware of LLMs but have not used them in any clinical or technical setting.,"Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
423438,,42,Female,N/A,Yes,3,PGY17,Several,Brown Medical School,Some familiarity,Some familiarity,Some familiarity,Occasionally,Some familiarity,Occasionally,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
615380,Recruited for fourth read,41,Male,N/A,No,UK based,Pgy17,Zero,I have attended zagazig university faculty of medicine and graduated in 2008,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
622145,Recruited for fourth read (for ophthalmology expertise),45,Male,N/A,Yes,3,attending,none,Universidad Anahuac,Some familiarity,Some familiarity,Not familiar,Not at all,Not familiar,Not at all,I am aware of LLMs but have not used them in any clinical or technical setting.,"Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
625076,Recruited for fifth read (for osteopathic manipulation expertise),45,Female,N/A,Yes,3,,1,Rowan School of Osteopathic Medicine,Some familiarity,Some familiarity,Not familiar,Not at all,Some familiarity,Occasionally,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
639727,Recruited for fifth read ,37,Male,N/A,Yes,3,11,2,Loma Linda University School of Medicine,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
584340,Med student,31,Male,M4,Yes,2,0,4,University of North Carolina at Chapel Hill,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,I am not familiar with LLMs.,
133101,Med student,27,Female,M4,Yes,2,0,0,University of North Dakota School of Medicine & Health Sciences,Some familiarity,Some familiarity,Some familiarity,Not at all,Some familiarity,Not at all,I am aware of LLMs but have not used them in any clinical or technical setting.,"Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
579474,Med student,28,Female,M3,Yes,1,0,10+,University of North Carolina,Not familiar,Not familiar,Not familiar,,Some familiarity,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
639794,Med student,25,Female,M2,No,,0,0,University of Toledo College of Medicine,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,"I have a technical understanding of how LLMs work (e.g., architecture, training, fine-tuning).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
656346,Med student,41,Female,,Yes,3,Graduated 10 years ago,None ,,Some familiarity,Some familiarity,Not familiar,Occasionally,Not familiar,,I am not familiar with LLMs.,
639800,Recruited for sixth read,27,Male,M4,Yes,2,0,Yes ,Case western reserve university,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Occasionally,"I have a technical understanding of how LLMs work (e.g., architecture, training, fine-tuning).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
642036,Recruited for sixth read,35,Female,,Yes,3,Graduated ,First one ,Jordan University of Science and Technology ,High familiarity,High familiarity,High familiarity,Occasionally,Some familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
579547,Med student recruited for QA correctness,27,Male,M3,Yes,2,0,5,Harvard,High familiarity,High familiarity,Not familiar,Occasionally,High familiarity,,"I have a technical understanding of how LLMs work (e.g., architecture, training, fine-tuning).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
622535,Med student recruited for QA correctness,28,Male,M4,Yes,2,0,2,UNC Chapel Hill,Not familiar,Not familiar,,Occasionally,Some familiarity,Occasionally,I am not familiar with LLMs.,"Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
584340,Med student recruited for QA correctness,31,Female,M4,Yes,2,0,4,UNC Chapel Hill,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,I am not familiar with LLMs.,Not ready at all – LLMs are unreliable and unsafe for any clinical use.
579918,Med student recruited for QA correctness,26,Male,M4,Yes,2,0,7,UNC School of Medicine,Some familiarity,Some familiarity,Some familiarity,Occasionally,High familiarity,Occasionally,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
603017,Med student recruited for QA correctness,27,Male,M3,Yes,1,0,8,Rush Medical College,Not familiar,Not familiar,Not familiar,,Some familiarity,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
601253,Med student recruited for QA correctness,27,Male,M4,Yes,2,0,7,Texas Tech University Health Sciences Center SOM,Not familiar,Some familiarity,Not familiar,Occasionally,Some familiarity,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
349529,Med student recruited for QA correctness,29,Female,M4,Yes,2,0,10,Dartmouth,Not familiar,Not familiar,Not familiar,,Some familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
622622,Med student recruited for QA correctness,27,Female,M4,Yes,2,0,0,Dartmouth,Some familiarity,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,I am aware of LLMs but have not used them in any clinical or technical setting.,"Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
547079,Med student recruited for QA correctness,24,Female,M4,Yes,1,,3,WashU,Some familiarity,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have a technical understanding of how LLMs work (e.g., architecture, training, fine-tuning).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
592450,Med student recruited for QA correctness,26,Male,M4,Yes,1,0,5,University of Maryland,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have a technical understanding of how LLMs work (e.g., architecture, training, fine-tuning).","Ready for autonomous use in select areas – e.g., triage or patient education."
400160,Med student recruited for QA correctness Round 2,30,Female,M4,Yes,2,0,,,Not familiar,Some familiarity,Not familiar,Occasionally,High familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
664740,Med student recruited for QA correctness Round 2,27,Male,M4,Yes,2,0,0,Indiana University School of Medicine,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
602648,Med student recruited for QA correctness Round 2,25,Male,M3,Yes,2,0,0,Case Western Reserve SOM,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
664833,Med student recruited for QA correctness Round 2,29,Male,M4,Yes,2,0,0,Brown,Some familiarity,Some familiarity,Some familiarity,Not at all,Some familiarity,Occasionally,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
665011,Med student recruited for QA correctness Round 2,26,Male,M3,Yes,1,0,0,Loma Linda University,High familiarity,Some familiarity,Not familiar,Occasionally,Not familiar,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
668161,Med student recruited for QA correctness Round 2,28,Male,M4,Yes,2,0,0,UCLA,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have a technical understanding of how LLMs work (e.g., architecture, training, fine-tuning).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
689336,Med student recruited for QA correctness Round 2,27,Female,M4,Yes,2,0,0,Texas Tech University Health Sciences Center SOM,Some familiarity,Not familiar,Not familiar,Not at all,Not familiar,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
692357,Med student recruited for QA correctness Round 2,27,Female,M4,Yes,1,0,0,CUNY School of Medicine,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Occasionally,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
348391,Med student recruited for QA correctness Round 2,,Female,M4,Yes,1,0,5,,Not familiar,Not familiar,Not familiar,Not at all,Not familiar,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
664811,Med student recruited for QA correctness Round 2,24,Female,M1,,,0,0,University of Texas Rio Grande Valley School of Medicine,Some familiarity,Some familiarity,Some familiarity,Not at all,Not familiar,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
657088,Med student recruited for QA correctness Round 2,31,Female,M3,Yes,1,0,0,Trinity School of Medicine,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
618830,Med student recruited for QA correctness Round 3,,,M3,,2,0,1,Brown,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
579474,Med student recruited for QA correctness Round 3,29,Female,M4,Yes,1,0,Many,UNC School of Medicine,Some familiarity,Some familiarity,Not familiar,Occasionally,High familiarity,Occasionally,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for clinician-in-the-loop tasks – e.g., decision support with human oversight."
586841,Med student recruited for QA correctness Round 3,27,Male,,Yes,2,1,10,Unc som graduate,Some familiarity,Some familiarity,,Not at all,High familiarity,Not at all,"I have used LLMs in clinical workflows or research (e.g., for documentation, decision support, or data analysis).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
672563,Med student recruited for QA correctness Round 4,28,Male,M4,Yes,1,0,No,Dartmouth College,Some familiarity,Some familiarity,Not familiar,Occasionally,High familiarity,Occasionally,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
680819,Med student recruited for QA correctness Round 4,26,Female,M4,Yes,1,0,0,Geisel Dartmouth School of Med,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
664867,Med student recruited for QA correctness Round 4,27,Female,M4,Yes,1,0,0,Temple Lewis Katz School of Medicine,Not familiar,Not familiar,Not familiar,Not at all,Some familiarity,Not at all,"I have interacted with LLMs for general or clinical questions (e.g., using ChatGPT to look up clinical facts or guidelines).","Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
586831,Med student recruited for QA correctness Round 4,23,Male,M2,No,,,4,University of Pittsburgh School of Medicine,Not familiar,Not familiar,Not familiar,,High familiarity,,I am not familiar with LLMs.,"Ready for limited, low-risk tasks – e.g., documentation assistance, summarization."
