Origin,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,ID_corr,sentence_number_corr,answer_corr,data_source_corr,REMOVED_Sentences,sentence_number_df3,step1_excerpts,question_options,Filtered_Sentences,New_Sentences,Redundant Clinical Details,"Negative Result or vital signs, Not essential for diagnosis; Was the clinical information removed because it was negative and did not add meaningful value?","History (Medical, Surgical, Medication, Social) with No/Very Low Clinical Information",Low-yield diagnostic/interventional detail (Patient did X test; without result),"Low Relevant / Irrelevant Temporal Information (Patient did X, Y happened, etc. that is less relevant to current medical problem)",Did the labeler simply missed the important information and mislabeled relevant info to be irrelevant?,"Removed other relevant info? (Yes - they did remove, No - they didn't remove)","Using only filtered sentences, can you solve the question?",Sentences that needs further screening,ETC
ID0002,1,0.833333333,REMOVED,1,REMOVED,0.833333333,REMOVED,REMOVED,REMOVED,REMOVED,0.75,,,,,,,,,,ID0002,11,D,jama,6,11,"1. A woman in her 60s with a history of hyperlipidemia, hypothyroidism, and chronic migraines presented with 9 months of progressively worsening left-sided ptosis, which was more notable at night and with fatigue.
2. She denied experiencing pain, diplopia, muscle weakness, dysarthria, dysphagia, difficulty breathing, or other neurologic deficits.
3. On examination, corrected visual acuity was 20/20 bilaterally, with normal color vision, visual fields, intraocular pressure, extraocular movements, alignment, and pupils.
4. External examination was notable for left upper eyelid ptosis (Figure 1), with a margin-to-reflex distance 1 of 3.5 mm on the right and 0.5 mm on the left, intact levator function, and no fatiguability on sustained upgaze.
5. There was no evidence of eyelid edema, erythema, or tenderness to palpation.
6. There were no palpable adnexal masses or orbital rim deformities, but there was mild fullness in the left superior sulcus and mildly increased left-sided resistance to retropulsion.
7. However, Hertel exophthalmometry did not reveal any relative proptosis.
8. No lacrimal gland abnormalities or conjunctival masses were seen with upper eyelid eversion.
9. There was no palpable preauricular or cervical lymphadenopathy.
10. Slitlamp and fundus examination findings were normal.
11. Serological testing results for antiacetylcholine receptor antibody were negative.","What Would You Do Next?

A: Perform left upper eyelid ptosis repair  
B: Request single-fiber electromyography  
C: Biopsy the left levator palpebrae superioris  
D: Obtain orbital imaging with intravenous contrast","['3. On examination, corrected visual acuity was 20/20 bilaterally, with normal color vision, visual fields, intraocular pressure, extraocular movements, alignment, and pupils.', '5. There was no evidence of eyelid edema, erythema, or tenderness to palpation.', '7. However, Hertel exophthalmometry did not reveal any relative proptosis.', '8. No lacrimal gland abnormalities or conjunctival masses were seen with upper eyelid eversion.', '9. There was no palpable preauricular or cervical lymphadenopathy.', '10. Slitlamp and fundus examination findings were normal.']","['1. A woman in her 60s with a history of hyperlipidemia, hypothyroidism, and chronic migraines presented with 9 months of progressively worsening left-sided ptosis, which was more notable at night and with fatigue.', '2. She denied experiencing pain, diplopia, muscle weakness, dysarthria, dysphagia, difficulty breathing, or other neurologic deficits.', '4. External examination was notable for left upper eyelid ptosis (Figure 1), with a margin-to-reflex distance 1 of 3.5 mm on the right and 0.5 mm on the left, intact levator function, and no fatiguability on sustained upgaze.', '6. There were no palpable adnexal masses or orbital rim deformities, but there was mild fullness in the left superior sulcus and mildly increased left-sided resistance to retropulsion.', '11. Serological testing results for antiacetylcholine receptor antibody were negative.']",Yes,"Yes, does add clue to differential diagnose with other conditions but sufficient with chosen sentences",No,No,No,No,"Yes, Relevant but not crucial information. ",Yes,,I don't have enough ophthalmologic experience to answer this question; answered based on googling and teaching myself regarding orbital mass. 
ID0003,1,1,REMOVED,1,1,1,REMOVED,,,,,,,,,,,,,,ID0003,7,G,medxpert,2,7,"1. A 20-year-old woman comes to the primary care clinic with complaints of a progressively worsening sore throat, dry cough, and ear pain.
2. She reports feeling mildly unwell for two weeks prior, with symptoms including fever, fatigue, muscle aches, and headache.
3. Her medical history is unremarkable, and her only daily medication is a combined oral contraceptive pill.
4. She works as a waitress at a local diner and mentions exposure to sick patrons.
5. On examination, her temperature is 101.5 ¬∫F, blood pressure is 118/76 mmHg, pulse is 78/min, and respiratory rate is 14/min.
6. Chest auscultation is unremarkable, but a chest X-ray reveals bilateral multifocal opacities in the lungs.
7. Sputum culture and Gram stain are negative.","Which of the following components is essential for culturing the most likely causative organism?

A. Iron  
B. Urea  
C. Magnesium  
D. Cysteine  
E. Glucose  
F. Nicotinamide  
G. Cholesterol  
H. Hemin  
I. Sulfate  
J. Pyridoxine","['3. Her medical history is unremarkable, and her only daily medication is a combined oral contraceptive pill.', '7. Sputum culture and Gram stain are negative.']","['1. A 20-year-old woman comes to the primary care clinic with complaints of a progressively worsening sore throat, dry cough, and ear pain.', '2. She reports feeling mildly unwell for two weeks prior, with symptoms including fever, fatigue, muscle aches, and headache.', '4. She works as a waitress at a local diner and mentions exposure to sick patrons.', '5. On examination, her temperature is 101.5 ¬∫F, blood pressure is 118/76 mmHg, pulse is 78/min, and respiratory rate is 14/min.', '6. Chest auscultation is unremarkable, but a chest X-ray reveals bilateral multifocal opacities in the lungs.']",No,Yes,Yes,No,No,No,No,Yes,,
ID0007,REMOVED,1,1,1,1,REMOVED,1,,,,,,,,,,,,,,ID0007,7,B,medbullets,2,7,"1. A 72-year-old man presents to his primary care physician with weakness.
2. He has felt very weak every morning with his symptoms persisting throughout the day.
3. He notes minor improvement when he rides his bike but otherwise has not noticed any change in his symptoms with rest or ibuprofen use.
4. The patient has lost 12 pounds recently and has had a chronic cough.
5. The patient lives alone and drinks 7 alcoholic beverages per day and smokes 1-2 packs of cigarettes per day for the past 40 years.
6. His temperature is 99.5¬∞F (37.5¬∞C), blood pressure is 177/108 mmHg, pulse is 93/min, respirations are 17/min, and oxygen saturation is 92% on room air.
7. A chest radiograph is ordered as seen in Figure A.","Which of the following diagnostic tests would most likely elucidate the cause of this patient's weakness?

A. CT scan of the chest  
B. Electromyography  
C. Lung biopsy  
D. Muscle biopsy","['1. A 72-year-old man presents to his primary care physician with weakness.', '6. His temperature is 99.5¬∞F (37.5¬∞C), blood pressure is 177/108 mmHg, pulse is 93/min, respirations are 17/min, and oxygen saturation is 92% on room air.']","['2. He has felt very weak every morning with his symptoms persisting throughout the day.', '3. He notes minor improvement when he rides his bike but otherwise has not noticed any change in his symptoms with rest or ibuprofen use.', '4. The patient has lost 12 pounds recently and has had a chronic cough.', '5. The patient lives alone and drinks 7 alcoholic beverages per day and smokes 1-2 packs of cigarettes per day for the past 40 years.', '7. A chest radiograph is ordered as seen in Figure A.']",Yes,Yes,No,No,No,No,No,Yes,,
ID0009,REMOVED,1,1,1,1,1,REMOVED,REMOVED,,,,,,,,,,,,,ID0009,8,D,jama,3,8,"1. A woman in her 30s presented with multiple discrete and clustered blue papules on her face and extremities.
2. The lesions had been present since childhood, but the size of the lesions and the intensity of pain associated with them had recently increased with even light touch causing paroxysms of pain.
3. The pain associated with these papules worsened as the day progressed, and she could not tolerate elastic compression due to excessive pain on compression.
4. Her medical and family histories were unremarkable.
5. Physical examination revealed multiple discrete and agminated blue papules on the face, arms, hands, and thighs with a cobblestoned appearance (Figure 1).
6. On palpation, the papules were exquisitely tender and partially compressible.
7. The patient underwent duplex ultrasonography of representative papules on the thigh, and a skin biopsy specimen of a papule on the thigh was obtained for histopathologic evaluation.
8. Clinically, multiple discrete and agminated blue papules are apparent, nodular, blue cutaneous lesions cobblestone-like in appearance, on the thigh (A) and hand and thigh (B).","What Is Your Diagnosis?

A: Blue rubber bleb nevus syndrome  
B: Venous malformation  
C: Hemangioma  
D: Glomuvenous malformation","['1. A woman in her 30s presented with multiple discrete and clustered blue papules on her face and extremities.', '7. The patient underwent duplex ultrasonography of representative papules on the thigh, and a skin biopsy specimen of a papule on the thigh was obtained for histopathologic evaluation.', '8. Clinically, multiple discrete and agminated blue papules are apparent, nodular, blue cutaneous lesions cobblestone-like in appearance, on the thigh (A) and hand and thigh (B).']","['2. The lesions had been present since childhood, but the size of the lesions and the intensity of pain associated with them had recently increased with even light touch causing paroxysms of pain.', '3. The pain associated with these papules worsened as the day progressed, and she could not tolerate elastic compression due to excessive pain on compression.', '4. Her medical and family histories were unremarkable.', '5. Physical examination revealed multiple discrete and agminated blue papules on the face, arms, hands, and thighs with a cobblestoned appearance (Figure 1).', '6. On palpation, the papules were exquisitely tender and partially compressible.']",Yes,No,Yes; Medical history (#1) is redundant to #5,Yes,No,No,"Yes, Relevant but redundant",Yes,,
ID0010,1,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,1,,,,,,,,,,,,,,ID0010,7,H,medxpert,5,7,"1. A 17-year-old high school student accidentally amputated part of his right index finger during shop class.  
2. His teacher applied dressings and pressure to the wound and transported him to the emergency department within 20 minutes of the incident.  
3. The patient‚Äôs medical history includes asthma, and his only medication is albuterol.  
4. Vital signs show a temperature of 98.0¬∞F (36.6¬∞C), blood pressure of 120/70 mmHg, pulse of 105/min, and respirations of 17/min.  
5. Examination reveals pulsatile bleeding from a clean-cut wound at the distal interphalangeal joint of the right second finger.  
6. The wound was cleaned, compression applied, analgesics given, and hand surgeons were notified.  
7. The amputated finger was left in the classroom, but the principal is bringing it to the hospital.","What is the proper method for transporting the amputated finger?

A. Wrap the finger in moist gauze and place in a plastic bag  
B. Rinse the finger with hydrogen peroxide, wrap the finger in moist gauze, and place on ice  
C. Rinse the finger with tap water, wrap in moist gauze, and place directly on ice  
D. Wrap the finger in dry gauze, place in a plastic bag, and submerge the bag in ice water  
E. Rinse the finger in sterile water, wrap in dry gauze, and place directly on ice  
F. Submerge the finger in sterile saline and place the container on ice  
G. Place the finger in a sealed plastic bag without rinsing and keep it on ice  
H. Rinse the finger in normal saline, wrap the finger in moist gauze, put in a plastic bag, and place the bag in ice water  
I. Rinse the finger in normal saline, place in a dry plastic container, and keep at room temperature  
J. Submerge the finger directly in ice water","['2. His teacher applied dressings and pressure to the wound and transported him to the emergency department within 20 minutes of the incident.  ', '3. The patient‚Äôs medical history includes asthma, and his only medication is albuterol.  ', '4. Vital signs show a temperature of 98.0¬∞F (36.6¬∞C), blood pressure of 120/70 mmHg, pulse of 105/min, and respirations of 17/min.  ', '5. Examination reveals pulsatile bleeding from a clean-cut wound at the distal interphalangeal joint of the right second finger.  ', '6. The wound was cleaned, compression applied, analgesics given, and hand surgeons were notified.  ']","['1. A 17-year-old high school student accidentally amputated part of his right index finger during shop class.  ', '7. The amputated finger was left in the classroom, but the principal is bringing it to the hospital.']",No,No,Yes,Yes,No,No,No,Yes,,
ID0013,1,0.833333333,1,REMOVED,REMOVED,0.666666667,1,,,,,,,,,,,,,,ID0013,7,B,mmlu,2,7,"1. A 3-year-old white girl is brought to the office by her parents for a follow-up visit 48 hours after receiving a 5-TU PPD skin test.
2. The test was done as part of a routine screening for enrollment in a homeless shelter.
3. Physical examination shows 10 mm of induration at the puncture site; the examination is otherwise normal.
4. The parents tell you they are shocked by this finding since both of their skin tests were nonreactive.
5. They say they were born in this country and tell you that their daughter has always been in good health.
6. She has not had much medical care in the past 2 years but she has been healthy.
7. Until moving into this shelter they had been ""squatters"" in vacant buildings.","Which of the following is the most appropriate step at this time?

A. Call her previous physician to obtain more history

B. Order a chest x-ray

C. Order a test for HIV antibody

D. Repeat the PPD skin test","['4. The parents tell you they are shocked by this finding since both of their skin tests were nonreactive.', '5. They say they were born in this country and tell you that their daughter has always been in good health.']","['1. A 3-year-old white girl is brought to the office by her parents for a follow-up visit 48 hours after receiving a 5-TU PPD skin test.', '2. The test was done as part of a routine screening for enrollment in a homeless shelter.', '3. Physical examination shows 10 mm of induration at the puncture site; the examination is otherwise normal.', '6. She has not had much medical care in the past 2 years but she has been healthy.', '7. Until moving into this shelter they had been ""squatters"" in vacant buildings.']",No,No,No,No,Yes,No,No,Yes,#7,
ID0015,1,0.75,REMOVED,0.75,REMOVED,1,REMOVED,REMOVED,REMOVED,REMOVED,,,,,,,,,,,ID0015,10,C,jama,6,10,"1. A 60-year-old man with a history of IgA kappa multiple myeloma was referred to our department.
2. He had been diagnosed with multiple myeloma 2 years earlier after discovery of osteolytic bone lesions of the skull and the findings of a bone marrow biopsy.
3. The patient had been treated with bortezomib and dexamethasone followed by autologous blood progenitor cell transplantation, which resulted in complete response.
4. At the time of the consultation, he was free of disease.The patient was referred for evaluation of an indolent, erythematous papule on his glans penis of 2 weeks‚Äô duration.
5. He denied sexual risk behavior and reported no recent changes in medication.
6. Careful physical examination revealed a shiny, tense, erythematous, hemispherical papule measuring 5 mm in diameter located on the lateral aspect of the glans (Figure 1A).
7. There were no other skin lesions.
8. The lymph nodes were not palpable, and there was no organomegaly.
9. A punch biopsy was performed for histopathological evaluation (Figure 1B and C).A, Shiny, erythematous, hemispherical papule on the lateral aspect of the glans penis.
10. B and C, Hematoxylin-eosin stain was performed for evaluation.","What Is Your Diagnosis?

A: Primary penile B-cell non-Hodgkin lymphoma  
B: Kaposi sarcoma of the penis  
C: Plasmacytoma  
D: Primary nodular amyloidosis of the glans penis","['3. The patient had been treated with bortezomib and dexamethasone followed by autologous blood progenitor cell transplantation, which resulted in complete response.', '5. He denied sexual risk behavior and reported no recent changes in medication.', '7. There were no other skin lesions.', '8. The lymph nodes were not palpable, and there was no organomegaly.', '9. A punch biopsy was performed for histopathological evaluation (Figure 1B and C).A, Shiny, erythematous, hemispherical papule on the lateral aspect of the glans penis.', '10. B and C, Hematoxylin-eosin stain was performed for evaluation.']","['1. A 60-year-old man with a history of IgA kappa multiple myeloma was referred to our department.', '2. He had been diagnosed with multiple myeloma 2 years earlier after discovery of osteolytic bone lesions of the skull and the findings of a bone marrow biopsy.', '4. At the time of the consultation, he was free of disease.The patient was referred for evaluation of an indolent, erythematous papule on his glans penis of 2 weeks‚Äô duration.', '6. Careful physical examination revealed a shiny, tense, erythematous, hemispherical papule measuring 5 mm in diameter located on the lateral aspect of the glans (Figure 1A).']",Yes,Yes,Yes,Yes,Yes,No,"Yes, but low relevant",Yes,,
ID0016,1,REMOVED,1,REMOVED,REMOVED,REMOVED,REMOVED,,,,,,,,,,,,,,ID0016,7,B,jama,5,7,"1. A previously healthy man in his 50s presented with a 1-day history of sudden painful decreased vision in the right eye.
2. On examination, his visual acuity was counting fingers at 3 ft OD and 20/20 OS.
3. A slitlamp examination of the right eye revealed conjunctival hyperemia, nongranulomatous keratic precipitates in the inferior half of the corneal endothelium, and 3+ cells in the anterior chamber, while results of a dilated fundus examination showed 1+ vitritis, 360¬∞ of optic nerve swelling, intraretinal hemorrhages predominantly along the distribution of the retinal arteries and arterioles, and perivascular sheathing, as well as macula involving retinal whitening, thickening, and subretinal fluid (Figure, A).
4. Fluorescein angiography revealed late vascular leakage with both arterial and venous involvement (Figure, B) and peripheral ischemia.
5. Examination of the left eye revealed no abnormalities.A, Wide-field photograph of the right eye demonstrates optic nerve edema (white arrowhead), scattered intraretinal hemorrhages (red arrowheads), perivascular sheathing (yellow arrowheads), and retinal whitening and thickening with subretinal fluid in the macula extending inferiorly (blue arrowheads).
6. B, Fluorescein angiograph shows arterial and venous vasculitis and peripheral ischemia.
7. The black arrowhead points to leakage from the cilioretinal artery.Initiate uveitis workup and start topical corticosteroid therapyObtain aqueous sample through needle aspirate for viral polymerase chain reaction, and start intravitreal and systemic antiviral therapy","What Would You Do Next?

A: Initiate uveitis workup and start topical corticosteroid therapy  
B: Obtain aqueous sample through needle aspirate for viral polymerase chain reaction, and start intravitreal and systemic antiviral therapy  
C: Perform a lumbar puncture  
D: Perform pars plana vitrectomy","['2. On examination, his visual acuity was counting fingers at 3 ft OD and 20/20 OS.', '4. Fluorescein angiography revealed late vascular leakage with both arterial and venous involvement (Figure, B) and peripheral ischemia.', '5. Examination of the left eye revealed no abnormalities.A, Wide-field photograph of the right eye demonstrates optic nerve edema (white arrowhead), scattered intraretinal hemorrhages (red arrowheads), perivascular sheathing (yellow arrowheads), and retinal whitening and thickening with subretinal fluid in the macula extending inferiorly (blue arrowheads).', '6. B, Fluorescein angiograph shows arterial and venous vasculitis and peripheral ischemia.', '7. The black arrowhead points to leakage from the cilioretinal artery.Initiate uveitis workup and start topical corticosteroid therapyObtain aqueous sample through needle aspirate for viral polymerase chain reaction, and start intravitreal and systemic antiviral therapy']","['1. A previously healthy man in his 50s presented with a 1-day history of sudden painful decreased vision in the right eye.', '3. A slitlamp examination of the right eye revealed conjunctival hyperemia, nongranulomatous keratic precipitates in the inferior half of the corneal endothelium, and 3+ cells in the anterior chamber, while results of a dilated fundus examination showed 1+ vitritis, 360¬∞ of optic nerve swelling, intraretinal hemorrhages predominantly along the distribution of the retinal arteries and arterioles, and perivascular sheathing, as well as macula involving retinal whitening, thickening, and subretinal fluid (Figure, A).']","Yes, #4","Yes, #2, #5",No,No,Yes,No,"Yes, but low relevant",Yes,,
ID0017,0.75,0.75,0.75,1,REMOVED,REMOVED,,,,,,,,,,,,,,,ID0017,6,C,jama,2,6,"1. A man in his 60s with a known history of a large cyst on the right kidney sustained blunt trauma in a skiing crash.
2. Computed tomography (CT) showed a right-sided grade IV renal injury involving his known renal cyst with active arterial extravasation (Figure, A).
3. The patient underwent selective angioembolization of the renal laceration.A, Abdominal computed tomography (CT) with contrast demonstrating grade IV laceration of the right kidney and active extravasation.
4. B, Abdominal CT obtained on day 2 of hospitalization showing large right-sided retroperitoneal hematoma and grade IV renal laceration displacing the patient‚Äôs abdominal viscera to the left, with contrast-filled structure medial to the liver.In the 24 hours after embolization, the patient required 2 U of red blood cells via transfusion for anemia.
5. On examination, the patient reported moderate pain in the abdomen and right side and demonstrated a distended abdomen in the absence of any peritoneal signs.
6. Contrast-enhanced CT of the abdomen and pelvis was performed to assess for a source of continued bleeding (Figure, B).","What Is Your Diagnosis?

A: Hepatic artery injury  
B: Jejunal injury with intraluminal contrast extravasation  
C: Contrast-enhancing gallbladder  
D: Rupture of a peripancreatic pseudoaneurysm","['5. On examination, the patient reported moderate pain in the abdomen and right side and demonstrated a distended abdomen in the absence of any peritoneal signs.', '6. Contrast-enhanced CT of the abdomen and pelvis was performed to assess for a source of continued bleeding (Figure, B).']","['1. A man in his 60s with a known history of a large cyst on the right kidney sustained blunt trauma in a skiing crash.', '2. Computed tomography (CT) showed a right-sided grade IV renal injury involving his known renal cyst with active arterial extravasation (Figure, A).', '3. The patient underwent selective angioembolization of the renal laceration.A, Abdominal computed tomography (CT) with contrast demonstrating grade IV laceration of the right kidney and active extravasation.', '4. B, Abdominal CT obtained on day 2 of hospitalization showing large right-sided retroperitoneal hematoma and grade IV renal laceration displacing the patient‚Äôs abdominal viscera to the left, with contrast-filled structure medial to the liver.In the 24 hours after embolization, the patient required 2 U of red blood cells via transfusion for anemia.']","Yes, #5",No,No,"Yes, #6",No,"Yes, but it is also redundant and moderately useful context (#5)",No,Yes,,
ID0021,1,1,REMOVED,0.666666667,0.833333333,0.833333333,REMOVED,0.666666667,0.833333333,0.666666667,1,,,,,,,,,,ID0021,11,B,jama,2,11,"1. An adolescent boy was referred to the emergency department for suspected herpes zoster infection by his pediatrician.
2. He presented with a 2-day history of painful, left-sided vesicular rash around his eyelid and forehead.
3. Medical history was significant for a heart murmur with no known history of chickenpox.
4. His pediatrician prescribed oral acyclovir and ibuprofen as needed for pain.
5. Best-corrected visual acuity was 20/20 OD and 20/25-2 OS.
6. On examination, clear vesicles on erythematous bases were noted in the V1 distribution with left upper eyelid edema and erythema.
7. Pupils were equally reactive with no relative afferent pupillary defect.
8. Visual fields were full in both eyes.
9. Anterior examination was significant for left-sided conjunctivitis, dendritic keratitis (Figure), and anterior uveitis.
10. The findings of the remainder of the examination, including the anterior segment of the right eye and the dilated fundus examination of both eyes, were unremarkable.
11. Slitlamp photograph showing branching corneal pseudodendrites with minimal fluorescein uptake.","What Would You Do Next?

A: Obtain a corneal culture  
B: Human immunodeficiency virus testing and lymphocyte analysis  
C: Discontinue oral acyclovir and start topical trifluridine  
D: Perform corneal topography","['3. Medical history was significant for a heart murmur with no known history of chickenpox.', '7. Pupils were equally reactive with no relative afferent pupillary defect.']","['1. An adolescent boy was referred to the emergency department for suspected herpes zoster infection by his pediatrician.', '2. He presented with a 2-day history of painful, left-sided vesicular rash around his eyelid and forehead.', '4. His pediatrician prescribed oral acyclovir and ibuprofen as needed for pain.', '5. Best-corrected visual acuity was 20/20 OD and 20/25-2 OS.', '6. On examination, clear vesicles on erythematous bases were noted in the V1 distribution with left upper eyelid edema and erythema.', '8. Visual fields were full in both eyes.', '9. Anterior examination was significant for left-sided conjunctivitis, dendritic keratitis (Figure), and anterior uveitis.', '10. The findings of the remainder of the examination, including the anterior segment of the right eye and the dilated fundus examination of both eyes, were unremarkable.', '11. Slitlamp photograph showing branching corneal pseudodendrites with minimal fluorescein uptake.']",No,Yes,Yes,No,No,No,No,Yes,,
