ID_corr,separate_relevant,combined_relevant,delta,combined_more_relevance
ID1463,0.0,0,0.0,False
ID0293,0.0,0,0.0,False
ID1605,0.0,7,7.0,True
ID0301,0.0,0,0.0,False
ID1072,0.0,6,6.0,True
ID0195,0.0,0,0.0,False
ID1183,0.0,0,0.0,False
ID1227,0.0,7,7.0,True
ID0352,0.0,7,7.0,True
ID0783,0.0,0,0.0,False
ID0900,0.0,0,0.0,False
ID1330,0.0,1,1.0,True
ID1093,0.0,9,9.0,True
ID1983,0.0,2,2.0,True
ID1941,0.0,0,0.0,False
ID1979,0.0,5,5.0,True
ID1396,0.0,2,2.0,True
ID0998,0.0,0,0.0,False
ID0626,0.0,0,0.0,False
ID1193,0.0,2,2.0,True
ID1194,0.0,4,4.0,True
ID0967,0.0,0,0.0,False
ID1559,0.0,1,1.0,True
ID0400,0.0,2,2.0,True
ID0357,0.0,2,2.0,True
ID0382,0.0,8,8.0,True
ID1307,0.0,3,3.0,True
ID0843,0.0,2,2.0,True
7022,0.0,5,5.0,True
7091,0.0,0,0.0,False
7094,0.0,0,0.0,False
ID0122,0.0,0,0.0,False
ID0911,0.0,10,10.0,True
ID1166,0.0,0,0.0,False
ID1137,0.0,4,4.0,True
ID1580,0.0,4,4.0,True
ID0046,0.0,10,10.0,True
ID0280,0.0,2,2.0,True
ID0830,0.0,0,0.0,False
ID1378,0.0,8,8.0,True
ID1531,0.0,0,0.0,False
ID1586,0.0,11,11.0,True
ID1261,0.0,0,0.0,False
ID1171,0.0,0,0.0,False
ID1587,0.0,0,0.0,False
ID1871,0.0,0,0.0,False
ID0778,0.0,6,6.0,True
ID1874,0.0,0,0.0,False
7002,0.0,0,0.0,False
7055,0.0,0,0.0,False
ID0073,0.0,0,0.0,False
ID1394,0.0,11,11.0,True
ID0217,0.0,0,0.0,False
ID1480,0.0,0,0.0,False
7030,0.0,2,2.0,True
ID1339,0.0,1,1.0,True
ID0861,0.0,6,6.0,True
ID1022,0.0,0,0.0,False
ID1653,0.0,0,0.0,False
7044,0.0,7,7.0,True
ID1654,0.0,0,0.0,False
ID1932,0.0,0,0.0,False
7065,0.0,0,0.0,False
ID1185,0.0,10,10.0,True
ID1714,0.0,1,1.0,True
ID0244,0.0,5,5.0,True
ID0617,0.0,3,3.0,True
ID0744,0.0,0,0.0,False
ID1200,0.0,10,10.0,True
ID1802,0.0,0,0.0,False
ID0353,0.0,8,8.0,True
ID1510,0.0,0,0.0,False
ID0133,0.0,0,0.0,False
ID1082,0.0,0,0.0,False
ID0409,0.0,0,0.0,False
7092,0.0,0,0.0,False
ID1118,0.0,0,0.0,False
ID1457,0.0,5,5.0,True
ID0672,0.0,0,0.0,False
ID0177,0.0,0,0.0,False
7087,0.0,0,0.0,False
ID1866,0.0,2,2.0,True
ID0569,0.0,2,2.0,True
ID1089,0.0,0,0.0,False
ID1209,0.0,4,4.0,True
ID1271,0.0,7,7.0,True
ID1888,0.0,0,0.0,False
ID1569,0.0,0,0.0,False
ID1229,0.0,0,0.0,False
ID0792,0.0,4,4.0,True
7096,0.0,0,0.0,False
ID0816,0.0,7,7.0,True
ID1481,0.0,0,0.0,False
ID1500,0.0,1,1.0,True
ID1656,0.0,3,3.0,True
ID1766,0.0,3,3.0,True
ID1411,0.0,9,9.0,True
ID1678,0.0,0,0.0,False
7082,0.0,0,0.0,False
ID0097,0.0,0,0.0,False
ID1009,0.0,0,0.0,False
ID0919,0.0,9,9.0,True
ID0841,0.0,7,7.0,True
ID0866,0.0,0,0.0,False
ID0852,0.0,0,0.0,False
ID1899,0.0,0,0.0,False
ID1910,0.0,0,0.0,False
ID1724,0.0,11,11.0,True
ID1993,0.0,5,5.0,True
ID0625,0.0,0,0.0,False
ID0684,0.0,6,6.0,True
ID0141,0.0,0,0.0,False
ID1513,0.0,0,0.0,False
ID1809,0.0,0,0.0,False
ID1697,0.0,0,0.0,False
ID0377,0.0,0,0.0,False
ID1452,0.0,4,4.0,True
ID0063,0.0,2,2.0,True
ID1439,0.0,8,8.0,True
ID1834,0.0,0,0.0,False
ID0982,0.0,0,0.0,False
ID1533,0.0,0,0.0,False
ID1431,0.0,11,11.0,True
ID1534,0.0,0,0.0,False
ID1557,0.0,0,0.0,False
ID1890,0.0,1,1.0,True
ID1940,0.0,3,3.0,True
ID1953,0.0,0,0.0,False
ID1280,0.0,0,0.0,False
ID0305,0.0,0,0.0,False
ID1479,0.0,0,0.0,False
ID0320,0.0,0,0.0,False
ID0740,0.0,0,0.0,False
ID1125,0.0,6,6.0,True
ID1388,0.0,11,11.0,True
7061,0.0,0,0.0,False
ID0695,0.0,4,4.0,True
ID0129,0.0,0,0.0,False
ID0799,0.0,0,0.0,False
7021,0.0,0,0.0,False
ID0743,0.0,0,0.0,False
ID1972,0.0,5,5.0,True
ID1843,0.0,1,1.0,True
ID1865,0.0,0,0.0,False
ID1689,0.0,0,0.0,False
ID1915,0.0,3,3.0,True
ID0810,0.0,4,4.0,True
7093,0.0,0,0.0,False
ID0233,0.0,7,7.0,True
ID0407,0.0,0,0.0,False
ID0613,0.0,4,4.0,True
ID1398,0.0,0,0.0,False
7083,0.0,0,0.0,False
ID1998,0.0,0,0.0,False
ID1541,0.0,0,0.0,False
ID0062,0.0,0,0.0,False
ID1685,0.0,0,0.0,False
ID0605,0.0,8,8.0,True
ID1163,0.0,9,9.0,True
ID1269,0.0,11,11.0,True
ID0150,0.0,0,0.0,False
ID0542,0.0,2,2.0,True
ID0692,0.0,0,0.0,False
ID0752,0.0,3,3.0,True
ID1356,0.0,0,0.0,False
ID0336,0.0,0,0.0,False
ID1674,0.0,0,0.0,False
7068,0.0,0,0.0,False
7020,0.0,0,0.0,False
ID0060,0.0,5,5.0,True
ID1817,0.0,5,5.0,True
ID1381,0.0,0,0.0,False
ID1466,0.0,9,9.0,True
ID1812,0.0,0,0.0,False
7036,0.0,0,0.0,False
ID1117,0.0,7,7.0,True
ID1666,0.0,0,0.0,False
7008,0.0,0,0.0,False
ID0715,0.0,0,0.0,False
ID1035,0.0,1,1.0,True
ID1353,0.0,10,10.0,True
ID1663,0.0,6,6.0,True
ID0747,0.0,0,0.0,False
ID0901,0.0,13,13.0,True
ID0784,0.0,8,8.0,True
ID1331,0.0,0,0.0,False
ID1068,0.0,0,0.0,False
ID1793,0.0,6,6.0,True
ID1174,0.0,0,0.0,False
ID0164,0.0,0,0.0,False
ID0248,0.0,3,3.0,True
ID0880,0.0,0,0.0,False
ID1823,0.0,0,0.0,False
ID1904,0.0,7,7.0,True
ID0623,0.0,6,6.0,True
ID0708,0.0,0,0.0,False
ID0781,0.0,0,0.0,False
ID1852,0.0,0,0.0,False
ID0991,0.0,0,0.0,False
ID0762,0.0,0,0.0,False
7042,0.0,6,6.0,True
ID1051,0.0,6,6.0,True
7062,0.0,7,7.0,True
ID1687,0.0,3,3.0,True
ID1254,0.0,3,3.0,True
ID1318,0.0,0,0.0,False
ID1701,0.0,0,0.0,False
7086,0.0,0,0.0,False
ID0581,0.0,0,0.0,False
ID1155,0.0,7,7.0,True
ID1199,0.0,0,0.0,False
ID0334,0.0,0,0.0,False
ID0732,0.0,0,0.0,False
ID0099,0.0,11,11.0,True
ID1845,0.0,9,9.0,True
ID0859,0.0,0,0.0,False
ID0492,0.0,0,0.0,False
ID1446,0.0,8,8.0,True
ID1679,0.0,0,0.0,False
ID1170,0.0,0,0.0,False
ID1172,0.0,3,3.0,True
ID0951,0.0,0,0.0,False
ID0862,0.0,0,0.0,False
ID1588,0.0,1,1.0,True
ID1152,0.0,0,0.0,False
ID1938,0.0,10,10.0,True
7004,0.0,6,6.0,True
ID0220,0.0,0,0.0,False
ID1999,0.0,4,4.0,True
7045,0.0,7,7.0,True
ID0111,0.0,0,0.0,False
ID0782,0.0,0,0.0,False
ID0619,0.0,0,0.0,False
ID0833,0.0,9,9.0,True
ID0246,0.0,20,20.0,True
ID0659,0.0,0,0.0,False
ID1514,0.0,0,0.0,False
ID0206,0.0,0,0.0,False
ID1875,0.0,8,8.0,True
ID0373,0.0,0,0.0,False
ID1140,0.0,0,0.0,False
ID0498,0.0,0,0.0,False
ID0044,0.0,0,0.0,False
ID0416,0.0,5,5.0,True
ID0801,0.0,6,6.0,True
ID1667,0.0,9,9.0,True
ID1071,0.0,0,0.0,False
ID0780,0.0,0,0.0,False
ID1150,0.0,12,12.0,True
ID1302,0.0,6,6.0,True
7069,0.0,0,0.0,False
ID0699,0.0,0,0.0,False
ID0510,0.0,0,0.0,False
ID0119,0.0,0,0.0,False
ID1154,0.0,0,0.0,False
ID0831,0.0,10,10.0,True
ID1923,0.0,0,0.0,False
ID0788,0.0,7,7.0,True
ID1132,0.0,0,0.0,False
ID0639,0.0,0,0.0,False
ID0092,0.0,1,1.0,True
ID1127,0.0,0,0.0,False
7032,0.0,1,1.0,True
ID0910,0.0,0,0.0,False
ID0240,0.0,0,0.0,False
7080,0.0,0,0.0,False
ID1246,0.0,11,11.0,True
ID0815,0.0,2,2.0,True
ID0221,0.0,2,2.0,True
ID0079,0.0,0,0.0,False
7016,0.0,0,0.0,False
ID0140,0.0,0,0.0,False
ID1315,0.0,0,0.0,False
ID1346,0.0,7,7.0,True
ID0937,0.0,0,0.0,False
ID0776,0.0,0,0.0,False
ID1506,0.0,0,0.0,False
ID0438,0.0,6,6.0,True
ID1328,0.0,0,0.0,False
ID0514,0.0,0,0.0,False
ID0992,0.0,4,4.0,True
ID1273,0.0,8,8.0,True
ID0591,0.0,0,0.0,False
ID1949,0.0,0,0.0,False
ID0854,0.0,0,0.0,False
ID1651,0.0,0,0.0,False
ID1945,0.0,9,9.0,True
7026,0.0,0,0.0,False
ID1067,0.0,6,6.0,True
ID0463,0.0,11,11.0,True
ID0535,0.0,0,0.0,False
ID1881,0.0,0,0.0,False
ID0701,0.0,0,0.0,False
ID0151,0.0,0,0.0,False
