Model,SDoH Dimension,Total Sentences,Irrelevant,Irrelevant (%),Low Relevance,Low Relevance (%),High Relevance,High Relevance (%)
gpt4o,Household Income,14288,13756,96.28,394,2.76,138,0.97
gpt4o,Housing Status,11916,11320,95.0,466,3.91,130,1.09
gpt4o,Insurance Status,13225,11559,87.4,1489,11.26,177,1.34
gpt4o,Race,9391,8267,88.03,934,9.95,190,2.02
gpt5,Household Income,8666,8566,98.85,50,0.58,50,0.58
gpt5,Housing Status,5616,5481,97.6,70,1.25,65,1.16
gpt5,Insurance Status,7168,6698,93.44,259,3.61,211,2.94
gpt5,Race,5670,5229,92.22,199,3.51,242,4.27
llama,Household Income,10396,9811,94.37,507,4.88,78,0.75
llama,Housing Status,11859,10676,90.02,1108,9.34,75,0.63
llama,Insurance Status,12397,9900,79.86,2420,19.52,77,0.62
llama,Race,8826,3109,35.23,5595,63.39,122,1.38
medgemma,Household Income,12689,12452,98.13,162,1.28,75,0.59
medgemma,Housing Status,11397,8999,78.96,2196,19.27,202,1.77
medgemma,Insurance Status,12711,10959,86.22,1647,12.96,105,0.83
medgemma,Race,9025,4249,47.08,4349,48.19,427,4.73
qwen,Household Income,6924,1097,15.84,4463,64.46,1364,19.7
qwen,Housing Status,10414,5303,50.92,5052,48.51,59,0.57
qwen,Insurance Status,12859,688,5.35,12095,94.06,76,0.59
qwen,Race,8286,264,3.19,7947,95.91,75,0.91
gpt4o,All Questions,8254,4098,49.65,3998,48.44,158,1.91
gpt5,All Questions,8544,7608,89.04,660,7.72,276,3.23
llama,All Questions,8190,5992,73.16,1916,23.39,282,3.44
medgemma,All Questions,8111,7303,90.04,594,7.32,214,2.64
qwen,All Questions,8480,432,5.09,7938,93.61,110,1.3
