QA_ID,Mean_Score,Std_Score,Extracted_Answer,Upper_Threshold,Lower_Threshold,Highly Relevant,Low Relevant,Irrelevant,QA_Index,Ground_Truth_Answer,Answer_Match
MedBullets_df_op4_Q1,0.0,0.0,B,0.0,0.0,0.0,0.0,1.0,0,C,False
MedBullets_df_op4_Q2,31.92748628109924,21.444823815925364,C,53.37231009702461,10.482662465173878,0.2222222222222222,0.7777777777777778,0.0,1,B,False
MedBullets_df_op4_Q3,13.464284267273221,22.675430932369025,C,36.13971519964225,-9.211146665095804,0.5,0.125,0.375,2,A,False
MedBullets_df_op4_Q4,26.083098404418465,24.010467227076656,C,50.093565631495125,2.0726311773418082,0.16666666666666666,0.8333333333333334,0.0,3,D,False
MedBullets_df_op4_Q5,11.955318802061084,23.860513638212336,NONE,35.81583244027342,-11.905194836151251,0.36363636363636365,0.45454545454545453,0.18181818181818182,4,A,False
MedBullets_df_op4_Q6,31.5529847209235,30.73427903444622,C,62.28726375536972,0.8187056864772799,0.14285714285714285,0.7142857142857143,0.14285714285714285,5,C,True
MedBullets_df_op4_Q7,22.108021879779596,25.951212233023913,C,48.05923411280351,-3.8431903532443172,0.42857142857142855,0.5714285714285714,0.0,6,C,True
MedBullets_df_op4_Q8,13.033055767922015,12.724766009555799,B,25.757821777477815,0.3082897583662163,0.09090909090909091,0.18181818181818182,0.7272727272727273,7,B,True
MedBullets_df_op4_Q9,24.82048594871978,13.776859664377513,B,38.597345613097296,11.043626284342269,0.8333333333333334,0.16666666666666666,0.0,8,A,False
MedBullets_df_op4_Q11,19.390464713325745,25.89687789248325,C,45.287342605808995,-6.506413179157505,0.09090909090909091,0.45454545454545453,0.45454545454545453,10,A,False
MedBullets_df_op4_Q12,32.34227089099371,13.727101073749724,D,46.06937196474343,18.615169817243988,0.6,0.4,0.0,11,C,False
MedBullets_df_op4_Q13,21.351562938376613,19.807086102428986,C,41.1586490408056,1.544476835947627,0.5,0.25,0.25,12,D,False
MedBullets_df_op4_Q15,16.155161528683784,24.080656075409696,D,40.235817604093484,-7.925494546725911,0.5,0.4,0.1,14,B,False
MedBullets_df_op4_Q16,30.836076619677737,34.57420152171668,C,65.41027814139441,-3.738124902038944,0.2857142857142857,0.5714285714285714,0.14285714285714285,15,C,True
MedBullets_df_op4_Q17,10.117725417512746,15.143316902761695,NONE,25.26104232027444,-5.025591485248949,0.42857142857142855,0.14285714285714285,0.42857142857142855,16,A,False
MedBullets_df_op4_Q19,2.644974988842298,5.502768196119752,B,8.14774318496205,-2.857793207277454,0.7,0.3,0.0,18,A,False
MedBullets_df_op4_Q20,39.42626704707435,24.09678881087519,A,63.52305585794954,15.329478236199158,0.3333333333333333,0.6666666666666666,0.0,19,D,False
MedBullets_df_op4_Q21,15.846867239915058,24.04255109843832,C,39.88941833835338,-8.195683858523262,0.2222222222222222,0.2222222222222222,0.5555555555555556,20,A,False
MedBullets_df_op4_Q22,8.736055109719821,12.998741100954854,B,21.734796210674673,-4.262685991235033,0.5555555555555556,0.2222222222222222,0.2222222222222222,21,A,False
MedBullets_df_op4_Q23,17.999443282860632,41.93725201365437,D,59.936695296515005,-23.93780873079374,0.1,0.7,0.2,22,D,True
MedBullets_df_op4_Q24,11.265340524311657,10.063574237682444,A,21.3289147619941,1.2017662866292138,0.8888888888888888,0.1111111111111111,0.0,23,D,False
MedBullets_df_op4_Q25,37.085774416383146,20.52855809040499,C,57.61433250678813,16.557216325978157,0.25,0.75,0.0,24,C,True
MedBullets_df_op4_Q26,1.2973715098094585,3.200474215775143,B,4.497845725584601,-1.9031027059656844,0.6666666666666666,0.08333333333333333,0.25,25,C,False
MedBullets_df_op4_Q27,15.522454591736183,30.922897184232863,B,46.445351775969044,-15.40044259249668,0.2222222222222222,0.6666666666666666,0.1111111111111111,26,A,False
MedBullets_df_op4_Q28,27.68304902400804,32.62216681749467,NONE,60.305215841502715,-4.939117793486634,0.2,0.6,0.2,27,A,False
MedBullets_df_op4_Q30,12.54217404841182,17.35072395530761,C,29.89289800371943,-4.8085499068957915,0.0,0.2,0.8,29,A,False
MedBullets_df_op4_Q31,24.843691289445147,10.339595419967607,A,35.183286709412755,14.50409586947754,1.0,0.0,0.0,30,A,True
MedBullets_df_op4_Q32,7.484533737366811,8.406595560579422,D,15.891129297946232,-0.9220618232126112,0.2222222222222222,0.1111111111111111,0.6666666666666666,31,A,False
MedBullets_df_op4_Q33,25.242229453459334,19.421148440186094,A,44.66337789364543,5.82108101327324,0.42857142857142855,0.42857142857142855,0.14285714285714285,32,D,False
MedBullets_df_op4_Q34,19.740298063698585,20.45798072840239,C,40.19827879210098,-0.7176826647038048,0.2727272727272727,0.6363636363636364,0.09090909090909091,33,B,False
MedBullets_df_op4_Q35,17.48866928452607,19.003768144321587,C,36.49243742884765,-1.5150988597955184,0.1111111111111111,0.3333333333333333,0.5555555555555556,34,B,False
MedBullets_df_op4_Q36,25.500390427191185,25.38259054597708,B,50.882980973168266,0.11779988121410412,0.125,0.5,0.375,35,B,True
MedBullets_df_op4_Q38,15.201896355946186,26.241543907095295,C,41.44344026304148,-11.039647551149109,0.2222222222222222,0.1111111111111111,0.6666666666666666,37,A,False
MedBullets_df_op4_Q39,12.90716177271068,13.95448189988369,B,26.86164367259437,-1.0473201271730108,0.18181818181818182,0.5454545454545454,0.2727272727272727,38,C,False
MedBullets_df_op4_Q40,50.58659544975304,21.80483842850394,C,72.39143387825698,28.781757021249103,0.8,0.2,0.0,39,A,False
MedBullets_df_op4_Q41,16.320685631278845,17.318451316667684,B,33.639136947946525,-0.9977656853888384,0.375,0.5,0.125,40,A,False
MedBullets_df_op4_Q42,25.121455317559015,24.33045441533133,D,49.45190973289034,0.7910009022276832,0.14285714285714285,0.7142857142857143,0.14285714285714285,41,B,False
MedBullets_df_op4_Q44,21.28202556555418,27.6810441638742,A,48.96306972942838,-6.399018598320023,0.3333333333333333,0.6666666666666666,0.0,43,D,False
MedBullets_df_op4_Q47,37.46664103171696,41.87011305236785,A,79.33675408408482,-4.403472020650888,0.3333333333333333,0.5555555555555556,0.1111111111111111,46,D,False
MedBullets_df_op4_Q48,15.999615293487537,14.174905857765669,C,30.174521151253206,1.8247094357218678,0.375,0.0,0.625,47,C,True
MedBullets_df_op4_Q49,30.613864969573342,29.572971499614205,A,60.18683646918755,1.040893469959137,0.16666666666666666,0.8333333333333334,0.0,48,C,False
MedBullets_df_op4_Q50,33.01070904093617,19.402736513789154,B,52.41344555472533,13.607972527147016,0.5555555555555556,0.4444444444444444,0.0,49,D,False
MedBullets_df_op4_Q51,21.80489825176778,19.435667377752143,A,41.24056562951992,2.3692308740156385,0.4444444444444444,0.4444444444444444,0.1111111111111111,50,C,False
MedBullets_df_op4_Q53,9.194741577603091,15.964602538280241,D,25.159344115883332,-6.76986096067715,0.5555555555555556,0.3333333333333333,0.1111111111111111,52,C,False
MedBullets_df_op4_Q54,28.473463195748188,12.184475199461186,D,40.65793839520937,16.288987996287002,0.3333333333333333,0.5555555555555556,0.1111111111111111,53,D,True
MedBullets_df_op4_Q55,22.106947917329027,19.88417274504694,D,41.99112066237596,2.2227751722820877,0.14285714285714285,0.42857142857142855,0.42857142857142855,54,B,False
MedBullets_df_op4_Q56,7.302809679449017,7.798767924064782,A,15.1015776035138,-0.4959582446157649,0.25,0.25,0.5,55,D,False
MedBullets_df_op4_Q57,27.106487656574632,33.07205534566578,A,60.17854300224042,-5.965567689091149,0.16666666666666666,0.5,0.3333333333333333,56,B,False
MedBullets_df_op4_Q58,24.506579648007346,19.477971703677774,A,43.98455135168512,5.028607944329572,0.3333333333333333,0.5555555555555556,0.1111111111111111,57,C,False
MedBullets_df_op4_Q59,10.696473271636316,13.954335641388479,D,24.650808913024797,-3.2578623697521625,0.4166666666666667,0.4166666666666667,0.16666666666666666,58,C,False
MedBullets_df_op4_Q60,20.04410518511653,28.092353320938027,C,48.13645850605455,-8.048248135821499,0.5,0.375,0.125,59,C,True
MedBullets_df_op4_Q61,0.0,0.0,NONE,0.0,0.0,0.3,0.0,0.7,60,D,False
MedBullets_df_op4_Q62,20.650162445934022,25.1722268584437,C,45.82238930437772,-4.522064412509678,0.375,0.375,0.25,61,C,True
MedBullets_df_op4_Q63,15.582579103336787,17.19300845259476,D,32.77558755593155,-1.6104293492579735,0.45454545454545453,0.36363636363636365,0.18181818181818182,62,A,False
MedBullets_df_op4_Q64,19.299999555717466,24.482020861929254,B,43.78202041764672,-5.182021306211787,0.1,0.5,0.4,63,A,False
MedBullets_df_op4_Q65,20.92377083945429,27.207846506342662,D,48.131617345796954,-6.2840756668883735,0.2857142857142857,0.5714285714285714,0.14285714285714285,64,A,False
MedBullets_df_op4_Q66,24.46571540035659,32.614075585886724,B,57.07979098624331,-8.148360185530134,0.09090909090909091,0.36363636363636365,0.5454545454545454,65,D,False
MedBullets_df_op4_Q67,18.80350433140835,19.299225380268062,C,38.10272971167642,-0.4957210488597106,0.5714285714285714,0.0,0.42857142857142855,66,C,True
MedBullets_df_op4_Q68,40.20836491664416,20.547266289127855,B,60.75563120577201,19.661098627516303,0.5,0.5,0.0,67,B,True
MedBullets_df_op4_Q69,19.38111290989902,26.819235212212302,C,46.20034812211132,-7.438122302313282,0.08333333333333333,0.4166666666666667,0.5,68,D,False
MedBullets_df_op4_Q70,18.020390254135332,50.932229283908704,D,68.95261953804403,-32.911839029773375,0.06666666666666667,0.26666666666666666,0.6666666666666666,69,D,True
MedBullets_df_op4_Q71,16.877578495284762,39.76519341183021,C,56.64277190711498,-22.88761491654545,0.2727272727272727,0.45454545454545453,0.2727272727272727,70,B,False
MedBullets_df_op4_Q72,32.43044242638784,23.495456490008156,A,55.925898916395994,8.934985936379686,0.6666666666666666,0.16666666666666666,0.16666666666666666,71,D,False
MedBullets_df_op4_Q73,15.750737080262104,18.127407534316614,C,33.878144614578716,-2.3766704540545103,0.18181818181818182,0.6363636363636364,0.18181818181818182,72,C,True
MedBullets_df_op4_Q74,8.499186635932382,14.17079508262657,A,22.66998171855895,-5.671608446694188,0.875,0.0,0.125,73,C,False
MedBullets_df_op4_Q75,28.96422598563147,18.087775113323534,B,47.052001098955,10.876450872307935,0.16666666666666666,0.8333333333333334,0.0,74,A,False
MedBullets_df_op4_Q76,14.524480224959964,9.756787231642171,C,24.281267456602137,4.767692993317793,0.6,0.3,0.1,75,D,False
MedBullets_df_op4_Q77,7.425316660066192,10.922805376903103,A,18.348122036969293,-3.4974887168369104,0.5,0.25,0.25,76,A,True
MedBullets_df_op4_Q78,15.195391176247933,19.62929727394561,D,34.82468845019354,-4.433906097697678,0.4166666666666667,0.5833333333333334,0.0,77,B,False
MedBullets_df_op4_Q79,6.455220880944112,12.830095485127515,D,19.285316366071626,-6.374874604183403,0.7142857142857143,0.14285714285714285,0.14285714285714285,78,A,False
MedBullets_df_op4_Q80,11.949869229976123,13.594890202102912,B,25.544759432079033,-1.6450209721267885,0.3,0.2,0.5,79,C,False
MedBullets_df_op4_Q81,13.074351563062931,19.562552155118336,B,32.636903718181266,-6.488200592055405,0.4166666666666667,0.5833333333333334,0.0,80,D,False
MedBullets_df_op4_Q82,3.675292827772238,4.821176197591146,A,8.496469025363384,-1.1458833698189075,0.7692307692307693,0.0,0.23076923076923078,81,D,False
MedBullets_df_op4_Q83,6.925937538600009,13.545682093185482,C,20.47161963178549,-6.6197445545854725,0.35294117647058826,0.35294117647058826,0.29411764705882354,82,D,False
MedBullets_df_op4_Q84,15.557356805159412,15.463354903494235,C,31.020711708653646,0.09400190166517675,0.5,0.5,0.0,83,C,True
MedBullets_df_op4_Q85,17.70779492210386,32.47066193623555,D,50.178456858339416,-14.76286701413169,0.1,0.4,0.5,84,B,False
MedBullets_df_op4_Q86,22.43046912006881,18.395434548708426,A,40.82590366877724,4.035034571360384,0.0,0.4444444444444444,0.5555555555555556,85,B,False
MedBullets_df_op4_Q87,14.449655641691573,16.12176999377142,A,30.571425635462994,-1.6721143520798467,0.25,0.6666666666666666,0.08333333333333333,86,B,False
MedBullets_df_op4_Q88,27.200443859499448,25.302988099046154,D,52.503431958545605,1.897455760453294,0.125,0.625,0.25,87,A,False
MedBullets_df_op4_Q89,7.190496853074119,10.592399543316091,C,17.78289639639021,-3.401902690241972,0.25,0.16666666666666666,0.5833333333333334,88,D,False
MedBullets_df_op4_Q90,10.343955667585563,10.130493960360022,D,20.474449627945585,0.21346170722554092,0.42857142857142855,0.2857142857142857,0.2857142857142857,89,A,False
MedBullets_df_op4_Q91,35.276144218919576,23.514709892213595,D,58.79085411113317,11.76143432670598,0.2857142857142857,0.7142857142857143,0.0,90,A,False
MedBullets_df_op4_Q92,22.80343635742202,15.477941382396324,D,38.28137773981834,7.325494975025695,0.5,0.5,0.0,91,A,False
MedBullets_df_op4_Q93,23.77361091436389,24.706903101998773,B,48.48051401636266,-0.9332921876348834,0.1111111111111111,0.6666666666666666,0.2222222222222222,92,B,True
MedBullets_df_op4_Q94,12.479229481178706,17.751933315959214,NONE,30.23116279713792,-5.272703834780508,0.2,0.7,0.1,93,D,False
MedBullets_df_op4_Q95,10.472680760736763,11.38320957929203,B,21.855890340028793,-0.9105288185552673,0.45454545454545453,0.36363636363636365,0.18181818181818182,94,A,False
MedBullets_df_op4_Q96,27.07446478307352,23.32340864281279,B,50.39787342588631,3.7510561402607294,0.3333333333333333,0.5,0.16666666666666666,95,C,False
MedBullets_df_op4_Q97,18.997021251274955,21.53500735078373,A,40.53202860205869,-2.5379860995087746,0.18181818181818182,0.6363636363636364,0.18181818181818182,96,B,False
MedBullets_df_op4_Q98,29.646535076825494,29.69183666207442,A,59.33837173889991,-0.045301585248925136,0.2222222222222222,0.7777777777777778,0.0,97,B,False
MedBullets_df_op4_Q99,19.507778879585782,25.78961841941067,C,45.29739729899645,-6.281839539824887,0.25,0.625,0.125,98,C,True
MedBullets_df_op4_Q100,11.491411117650992,25.073758117667627,A,36.56516923531862,-13.582347000016634,0.4166666666666667,0.4166666666666667,0.16666666666666666,99,B,False
